	fastq_input1	fastq_input11	fastq_input11_filetype	fastq_input12	fastq_input12_filetype	fastq_input1_filetype	fastq_input2	fastq_input2_filetype	parameters.analysis_type.algorithmic_options.algorithmic_options_selector	parameters.analysis_type.analysis_type_selector	parameters.analysis_type.io_options.io_options_selector	parameters.analysis_type.scoring_options.A	parameters.analysis_type.scoring_options.B	parameters.analysis_type.scoring_options.E	parameters.analysis_type.scoring_options.O	parameters.analysis_type.scoring_options.U	parameters.analysis_type.scoring_options.scoring_options_selector	parameters.fastq_input.fastq_input_selector	parameters.reference_source.index_a	parameters.reference_source.ref_file	parameters.rg.rg_selector	ref_file	ref_file_filetype	runtime
0	3120090064.0		none		none	uncompressed	3023664700.0	uncompressed		illumina								paired	auto		do_not_set	60497880.0	uncompressed	1849.0
1	44791916.0		none		none	uncompressed	44791916.0	uncompressed	do_not_set	full	do_not_set	1.0	1.0	10,10	10	17.0	set	paired	auto		do_not_set	9303.0	uncompressed	16.0
2	404151117.0		none		none	uncompressed		none		illumina								single		hg19	set		none	131.0
3	42234704.0		none		none	uncompressed	42234704.0	uncompressed	do_not_set	full	do_not_set	1.0	1.0	10,10	10	17.0	set	paired	auto		do_not_set	9303.0	uncompressed	14.0
4	43027222.0		none		none	uncompressed	43027222.0	uncompressed	do_not_set	full	do_not_set	1.0	1.0	10,10	10	17.0	set	paired	auto		do_not_set	9303.0	uncompressed	13.0
5		16678186.0	uncompressed	16678186.0	uncompressed	none		none		illumina								paired_collection		dm6	do_not_set		none	8.0
6		16523806.0	uncompressed	16523806.0	uncompressed	none		none		illumina								paired_collection		dm6	do_not_set		none	7.0
7		14023514.0	uncompressed	14023514.0	uncompressed	none		none		illumina								paired_collection		dm6	do_not_set		none	18.0
8		14110166.0	uncompressed	14110166.0	uncompressed	none		none		illumina								paired_collection		dm6	do_not_set		none	11.0
9		14422744.0	uncompressed	14422744.0	uncompressed	none		none		illumina								paired_collection		dm6	do_not_set		none	20.0
10		16683166.0	uncompressed	16683166.0	uncompressed	none		none		illumina								paired_collection		dm6	do_not_set		none	11.0
11	7942159.0		none		none	uncompressed	7942159.0	uncompressed		illumina								paired		hg38	do_not_set		none	80.0
12	5852002.0		none		none	uncompressed	5852002.0	uncompressed		illumina								paired		hg38	do_not_set		none	30.0
13	74537.0		none		none	uncompressed	74537.0	uncompressed	do_not_set	full	do_not_set	1.0	4.0	1,1	3,3	17.0	set	paired	auto		do_not_set	10673.0	uncompressed	8.0
14		74537.0	uncompressed	74537.0	uncompressed	none		none	do_not_set	full	do_not_set	1.0	4.0	1,1	3,3	17.0	set	paired_collection	auto		do_not_set	10673.0	uncompressed	8.0
15	12567981.0		none		none	uncompressed	12567981.0	uncompressed	do_not_set	full	do_not_set	1.0	4.0	1,1	3,3	17.0	set	paired	auto		do_not_set	10673.0	uncompressed	9.0
