bgzip,bgzip_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.bgzip,parameters.bgzip.values,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2412,bgzip,,,2015-04-09 13:37:39.903757,slurm_normal,1428586693.0,0.0,,1.0,main_w1_handler0,2264816,9180228,False,,5395,interval,3459437.roundup,slurm,,132112168.0,corral-repl,,19206999,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",19206815,,32.0,,22346652,1428586690.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-04-09 13:38:15.375972,60948.0,3.0
7575699,bgzip,,,2017-11-30 02:22:38.724040,slurm_normal,1512008591.0,0.0,,1.0,main_w3_handler0,3345754,17644296,False,,37848192,interval,11703839,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 32636242}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 32636203}]",32.0,,42297837,1512008587.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2017-11-30 02:23:12.521953,109425.0,4.0
10916723,bgzip,,,2015-01-15 21:50:46.084327,rodeo_normal,1421366787.0,0.0,,1.0,main_w1_handler0,2175032,8554580,False,,75888458,interval,2483466.roundup,slurm,,132112264.0,corral-repl,,18220938,,"""/galaxy-repl/localdata/chrom/nemVec1.len""","""nemVec1""",18220582,,32.0,,20515251,1421366783.0,ok,1023992.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-01-16 00:06:35.863406,58337.0,4.0
226,bgzip,,,2015-03-31 21:21:31.889851,rodeo_normal,1427836911.0,0.0,,1.0,main_w2_handler1,2201854,9106815,False,,382,chrint,3392089.roundup,slurm,,132112168.0,corral-repl,,19093169,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19092946,,32.0,,21176682,1427836905.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-03-31 21:21:55.890124,59462.0,6.0
59700677,bgzip,,,2017-06-02 17:31:37.075864,slurm_normal,1496424741.0,0.0,,1.0,main_w3_handler1,3136382,16001366,False,,316124418,interval,10095565.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29868949}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 29868439}]",32.0,,38377048,1496424733.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2017-06-02 17:32:26.435306,95098.0,8.0
237,bgzip,,,2015-04-02 15:49:21.960667,slurm_normal,1427989780.0,0.0,,1.0,main_w1_handler0,2201854,9125292,False,,391,chrint,3410253.roundup,slurm,,132112168.0,corral-repl,,19124735,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19124690,,32.0,,21176682,1427989776.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-04-02 15:49:46.253808,59462.0,4.0
12707,bgzip,,,2015-10-06 19:26:06.774821,slurm_normal,1444160190.0,0.0,,1.0,main_w2_handler0,1844004,10513081,False,,41713,interval,4788279.roundup,slurm,,132112168.0,corral-repl,,21420504,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",21420244,,32.0,,24961013,1444160186.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-10-06 19:36:32.461420,46626.0,4.0
4701,bgzip,,,2015-09-22 03:03:20.049444,slurm_normal,1442891026.0,0.0,,1.0,main_w2_handler1,2446923,10378985,False,,24367,interval,4660094.roundup,slurm,,132112168.0,corral-repl,,21203264,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21203245,,32.0,,25314817,1442891021.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-09-22 03:03:50.638215,8678.0,5.0
22261,bgzip,,,2015-10-06 19:18:42.475626,slurm_normal,1444159439.0,0.0,,1.0,main_w2_handler0,1844004,10512989,False,,93573,interval,4788087.roundup,slurm,,132112168.0,corral-repl,,21420454,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",21420357,,32.0,,24961013,1444159435.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-10-06 19:24:02.484033,46626.0,4.0
2133621,bgzip,,,2016-09-14 13:58:42.813598,slurm_normal,1473861858.0,0.0,,1.0,main_w4_handler0,2764306,13849356,False,,12648333,interval,8072337.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5846057b9a3e76381'}]","""/galaxy-repl/localdata/chrom/ce6.len""","""ce6""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d6e13af1c91e991f'}]",32.0,,32951533,1473861845.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2016-09-14 14:04:19.776087,86868.0,13.0
