chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-06-14 15:11:06.060259,slurm_normal,1434294695.0,0.0,,1.0,main_w1_handler1,2104786,9650726,False,,108522412,vcf,3961831.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/011/550/dataset_11550195.dat""","""Psc_contigs_v1""",20003325,,32.0,,23552149,1434294683.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-06-14 15:11:37.836312,52881.0,12.0
70554.0,len,2015-09-29 17:44:06.272383,slurm_normal,1443548684.0,0.0,,1.0,main_w1_handler2,2446524,10461601,False,,7034708,vcf,4738218.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/012/629/dataset_12629819.dat""","""?""",21330151,,32.0,,25400876,1443548663.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-09-29 17:44:50.166823,69779.0,21.0
,,2015-04-02 11:09:01.242251,slurm_normal,1427972956.0,0.0,,1.0,main_w1_handler0,2249769,9123230,False,,221254,vcf,3408160.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19119911,,32.0,,22031885,1427972952.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-04-02 11:09:21.132967,61465.0,4.0
,,2015-09-29 02:55:30.933110,slurm_normal,1443496312.0,0.0,,1.0,main_w1_handler0,2453689,10456169,False,,52707,vcf,4733269.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",21205099,,32.0,,25412385,1443496308.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-09-29 03:11:55.993664,64300.0,4.0
37.0,len,2015-02-19 14:36:35.083603,rodeo_normal,1424356605.0,0.0,,1.0,main_w2_handler0,2193512,8766708,False,,28819,vcf,2832076.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/010/398/dataset_10398723.dat""","""wolbEndo_OF_DROSOPHIL""",18572453,,32.0,,20396310,1424356603.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-02-19 14:36:47.258348,55105.0,2.0
,,2015-12-18 10:18:28.839572,slurm_normal,1450434108.0,0.0,,1.0,main_w2_handler0,2538949,11220239,False,,45002,vcf,5495551.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",22494324,,32.0,,26891869,1450433933.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-12-18 10:21:54.432940,75401.0,175.0
,,2015-08-05 07:23:20.790836,slurm_normal,1438759429.0,0.0,,1.0,main_w2_handler1,2400270,10065507,False,,44619,vcf,4344109.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20691082,,32.0,,24498527,1438759421.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-08-05 07:23:51.548460,66675.0,8.0
,,2015-08-21 22:35:34.834549,slurm_normal,1440196560.0,0.0,,1.0,main_w1_handler2,2248472,10169031,False,,146,vcf,4437664.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20857234,,32.0,,24669501,1440196556.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-08-21 22:36:05.471731,61429.0,4.0
,,2015-03-26 08:15:32.065491,rodeo_normal,1427358706.0,0.0,,1.0,main_w1_handler1,2239868,9043120,False,,7572857398,vcf,3328759.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19001045,,32.0,,22027185,1427357746.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2015-03-26 08:31:49.778773,60400.0,960.0
,,2016-06-09 21:53:28.945117,slurm_normal,1465509298.0,0.0,,1.0,main_w1_handler1,2727809,13127348,False,,7094,vcf,7311817.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b565c74b44200a7059'}]",32.0,,30742719,1465509294.0,ok,1023996.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2016-06-09 21:55:01.994944,84291.0,4.0
,,2014-10-01 15:20:01.169399,roundup_single,1412176880.0,0.0,,1.0,main_w1_handler0,2071519,7911688,False,,193729077,vcf,1890442,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/vb_agamp4.len""","""vb_agamp4""",17112944,,32.0,,17331964,1412176825.0,ok,1023992.0,CONVERTER_vcf_to_bgzip_0,1.0.0,,2014-10-01 15:21:22.737133,53636.0,55.0
