bgzip,bgzip_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.bgzip,parameters.bgzip.values,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
248264,bgzip,,,2015-03-10 12:41:46.750162,rodeo_normal,1425991322.0,0.0,,1.0,main_w2_handler0,2232555,8907167,False,,1137617,vcf,3090294.roundup,slurm,,132112168.0,corral-repl,,18801641,,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",18800080,,32.0,,21688422,1425991318.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2015-03-10 12:42:05.474691,59768,4.0
1835,bgzip,,,2015-03-10 14:29:33.104161,rodeo_normal,1425997784.0,0.0,,1.0,main_w1_handler1,2146214,8908168,False,,8403,vcf,3091982.roundup,slurm,,132112168.0,corral-repl,,18804202,,"""/galaxy-repl/localdata/chrom/synePCC6.len""","""synePCC6""",18803859,,32.0,,20017281,1425997781.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2015-03-10 14:29:45.905285,57365,3.0
15200,bgzip,,,2015-03-11 15:33:22.207017,rodeo_normal,1426088013.0,0.0,,1.0,main_w1_handler0,1768718,8917363,False,,100493,vcf,3110399.roundup,slurm,,132112168.0,corral-repl,,18816811,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18815735,,32.0,,20754464,1426088009.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2015-03-11 15:33:36.577515,7115,4.0
37553579,bgzip,,,2015-03-11 15:57:03.907866,rodeo_normal,1426089435.0,0.0,,1.0,main_w2_handler0,2233695,8917546,False,,169251610,vcf,3110812.roundup,slurm,,132112168.0,corral-repl,,18817017,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",18815957,,32.0,,21199985,1426089431.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2015-03-11 15:57:18.186681,58185,4.0
1297783,bgzip,,,2015-03-12 19:25:29.934115,rodeo_normal,1426188348.0,0.0,,1.0,main_w2_handler0,2235890,8935544,False,,7358295,vcf,3144686.roundup,slurm,,132112168.0,corral-repl,,18840526,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18840294,,32.0,,21506664,1426188345.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2015-03-12 19:25:51.187265,50992,3.0
1296600,bgzip,,,2015-03-12 19:39:28.431833,rodeo_normal,1426189183.0,0.0,,1.0,main_w2_handler0,2235890,8935607,False,,7358295,vcf,3144902.roundup,slurm,,132112168.0,corral-repl,,18840613,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18840606,,32.0,,21506664,1426189180.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2015-03-12 19:39:47.191391,50992,3.0
1297783,bgzip,,,2015-03-12 19:45:10.441436,rodeo_normal,1426189530.0,0.0,,1.0,main_w1_handler0,2235890,8935630,False,,7358295,vcf,3144948.roundup,slurm,,132112168.0,corral-repl,,18840638,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18840294,,32.0,,21506664,1426189527.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2015-03-12 19:45:33.400157,50992,3.0
851914,bgzip,,,2015-03-12 21:13:01.044725,rodeo_normal,1426194794.0,0.0,,1.0,main_w1_handler0,2235890,8936940,False,,3708629,tabular,3147283.roundup,slurm,,132112168.0,corral-repl,,18842146,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18841260,,32.0,,21506664,1426194791.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2015-03-12 21:13:17.931602,50992,3.0
8723,bgzip,,,2015-03-13 10:49:57.559020,rodeo_normal,1426243810.0,0.0,,1.0,main_w1_handler1,2235233,8941813,False,,32771,vcf,3155390.roundup,slurm,,132112168.0,corral-repl,,18848262,,"""/galaxy-repl/main/files/010/671/dataset_10671134.dat""","""hg19mito""",18848255,,32.0,,21774264,1426243807.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2015-03-13 10:50:12.868645,60824,3.0
8723,bgzip,,,2015-03-13 10:49:58.515998,rodeo_normal,1426243807.0,0.0,,1.0,main_w1_handler0,2235233,8941814,False,,32771,vcf,3155388.roundup,slurm,,132112168.0,corral-repl,,18848262,,"""/galaxy-repl/main/files/010/671/dataset_10671134.dat""","""hg19mito""",18848255,,32.0,,21774264,1426243804.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2015-03-13 10:50:09.502650,60824,3.0
8655,bgzip,,,2015-03-13 15:06:03.512451,rodeo_normal,1426259176.0,0.0,,1.0,main_w2_handler0,2229438,8943179,False,,29932,vcf,3157807.roundup,slurm,,132112168.0,corral-repl,,18850130,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",18850086,,32.0,,21357914,1426259172.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2015-03-13 15:06:21.362545,24603,4.0
2392,bgzip,,,2017-04-04 02:43:36.949037,slurm_normal,1491273942.0,0.0,,1.0,main_w4_handler0,3056381,15478147,False,,9254,vcf,9607002.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29055302}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29034248}]",32.0,,36160054,1491273938.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-04 02:47:48.475300,100469,4.0
6050,bgzip,,,2017-03-07 06:17:53.913612,slurm_normal,1488867480.0,0.0,,1.0,main_w3_handler1,3010156,15226520,False,,23705,vcf,9374924.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 28649168}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28439185}]",32.0,,36475242,1488867476.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-03-07 06:18:03.139740,99316,4.0
135087,bgzip,,,2017-03-07 06:14:19.979413,slurm_normal,1488867266.0,0.0,,1.0,main_w4_handler1,3014570,15226483,False,,987933,vcf,9374901.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 28649123}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 28598803}]",32.0,,36475766,1488867262.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-03-07 06:14:28.538861,100272,4.0
124638,bgzip,,,2017-03-07 06:16:30.738155,slurm_normal,1488867398.0,0.0,,1.0,main_w4_handler0,3003543,15226514,False,,691759,vcf,9374915.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 28649164}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28566411}]",32.0,,36475785,1488867394.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-03-07 06:16:40.911765,99287,4.0
242286,bgzip,20.0,len,2017-03-18 01:24:00.043315,slurm_normal,1489800279.0,0.0,,1.0,main_w3_handler0,3033211,15328837,False,,1087207,vcf,9469615.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 28813576}]","""/galaxy-repl/main/files/019/245/dataset_19245144.dat""","""?""",,"[{'src': 'hda', 'id': 28772950}]",32.0,,36573049,1489800272.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-03-18 01:24:41.865652,98016,7.0
17837,bgzip,,,2017-04-07 08:14:56.318145,slurm_normal,1491552905.0,0.0,,1.0,main_w4_handler1,3062551,15515992,False,,87029,vcf,9642720.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29112427}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29108485}]",32.0,,37158171,1491552901.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-07 08:15:09.716494,103716,4.0
14038,bgzip,194156.0,len,2017-03-17 02:40:45.529305,slurm_normal,1489718454.0,0.0,,1.0,main_w4_handler0,3025527,15319641,False,,63748,vcf,9460841.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 28798191}]","""/galaxy-repl/main/files/019/195/dataset_19195778.dat""","""?""",,"[{'src': 'hda', 'id': 28798177}]",32.0,,36540680,1489718450.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-03-17 02:40:55.449498,97878,4.0
15445,bgzip,,,2017-04-06 21:36:10.394141,slurm_normal,1491514580.0,0.0,,1.0,main_w3_handler0,3062458,15512752,False,,75383,vcf,9639445.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29108070}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29108063}]",32.0,,37158171,1491514575.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-06 21:36:22.856968,103716,5.0
5779364,bgzip,,,2017-04-07 08:07:03.353655,slurm_normal,1491552432.0,0.0,,1.0,main_w3_handler0,3062551,15515911,False,,24227069,vcf,9642640.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29112223}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29108484}]",32.0,,37158171,1491552425.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-07 08:07:12.810561,103716,7.0
5233291,bgzip,,,2017-04-06 21:38:49.635135,slurm_normal,1491514738.0,0.0,,1.0,main_w3_handler0,3062458,15512774,False,,21881977,vcf,9639498.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29108098}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29108062}]",32.0,,37158171,1491514734.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-06 21:39:01.000633,103716,4.0
40973645,bgzip,,,2017-04-06 23:12:08.579174,slurm_normal,1491520341.0,0.0,,1.0,main_w3_handler1,3059523,15513447,False,,621263185,vcf,9640295.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29108949}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29108889}]",32.0,,36570217,1491520333.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-06 23:12:25.361433,101848,8.0
11269,bgzip,,,2017-04-07 08:14:56.699152,slurm_normal,1491552905.0,0.0,,1.0,main_w4_handler1,3062551,15515993,False,,44997,vcf,9642721.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29112426}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29108487}]",32.0,,37158171,1491552901.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-07 08:15:10.230873,103716,4.0
6831,bgzip,20.0,len,2017-03-18 01:33:08.859558,slurm_normal,1489801747.0,0.0,,1.0,main_w3_handler1,3033211,15328868,False,,33286,vcf,9469662.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 28813575}]","""/galaxy-repl/main/files/019/245/dataset_19245144.dat""","""?""",,"[{'src': 'hda', 'id': 28773185}]",32.0,,36573049,1489801743.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-03-18 01:49:10.197012,98016,4.0
649,bgzip,,,2017-04-12 11:55:31.037853,slurm_normal,1491998144.0,0.0,,1.0,main_w4_handler1,3069540,15564622,False,,1452,vcf,9688167.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29185960}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29178785}]",32.0,,37269918,1491998140.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-12 11:55:46.532024,39464,4.0
69488,bgzip,,,2017-04-18 14:17:04.400688,slurm_normal,1492525047.0,0.0,,1.0,main_w4_handler1,3036901,15614328,False,,272384,vcf,9732899.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29259803}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29070010}]",32.0,,36936535,1492525042.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-18 14:17:29.968654,102326,5.0
6260518,bgzip,,,2017-04-21 08:14:15.042568,slurm_normal,1492762468.0,0.0,,1.0,main_w3_handler1,3080253,15642495,False,,32242405,vcf,9760088.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29304406}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29290923}]",32.0,,37454828,1492762463.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-21 08:14:32.453433,102541,5.0
6260518,bgzip,,,2017-04-21 08:38:51.731926,slurm_normal,1492763943.0,0.0,,1.0,main_w3_handler0,3080243,15642594,False,,32242405,vcf,9760171.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29304548}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29290923}]",32.0,,37472255,1492763939.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-21 08:39:04.047048,102541,4.0
62516,bgzip,,,2017-04-25 13:35:39.228803,slurm_normal,1493127532.0,0.0,,1.0,main_w4_handler0,3068629,15672163,False,,238904,vcf,9787646.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29352101}]","""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",,"[{'src': 'hda', 'id': 29351802}]",32.0,,37546421,1493127528.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-25 13:41:45.075727,98449,4.0
62197,bgzip,,,2017-04-25 01:25:39.510360,slurm_normal,1493083552.0,0.0,,1.0,main_w3_handler1,2976579,15668168,False,,236723,vcf,9784144.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29346044}]","""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",,"[{'src': 'hda', 'id': 29344851}]",32.0,,37516669,1493083548.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-25 01:25:53.697144,98449,4.0
1831,bgzip,,,2017-04-25 12:06:46.886595,slurm_normal,1493122350.0,0.0,,1.0,main_w4_handler1,3067858,15671518,False,,7406,vcf,9787119.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29351223}]","""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",,"[{'src': 'hda', 'id': 29351217}]",32.0,,37543579,1493122237.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-25 12:12:39.493682,98449,113.0
62336,bgzip,,,2017-04-25 16:29:56.764064,slurm_normal,1493137835.0,0.0,,1.0,main_w3_handler1,3053279,15673654,False,,236775,vcf,9788991.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29354205}]","""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",,"[{'src': 'hda', 'id': 29353859}]",32.0,,37550490,1493137830.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-25 16:30:39.103997,98449,5.0
19604,bgzip,,,2017-04-28 07:43:39.802635,slurm_normal,1493365429.0,0.0,,1.0,main_w4_handler1,3071614,15698600,False,,78424,vcf,9811563.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29394117}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29289630}]",32.0,,37623187,1493365425.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-28 07:43:52.980465,103908,4.0
1831,bgzip,,,2017-04-28 07:36:24.459361,slurm_normal,1493364997.0,0.0,,1.0,main_w4_handler1,3084278,15698567,False,,7394,vcf,9811522.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29394072}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29362743}]",32.0,,37623187,1493364988.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-28 07:36:38.478752,103908,9.0
5338,bgzip,,,2017-04-28 07:40:09.839340,slurm_normal,1493365228.0,0.0,,1.0,main_w4_handler0,3070201,15698584,False,,52651,vcf,9811543.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29394090}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29244486}]",32.0,,37623229,1493365215.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-04-28 07:40:30.082395,103907,13.0
4394511,bgzip,,,2017-05-08 14:20:59.516611,slurm_normal,1494253271.0,0.0,,1.0,main_w4_handler0,2648985,15780032,False,,47187987,vcf,9886171.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29517078}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29342371}]",32.0,,37531658,1494253264.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-05-08 14:21:15.346430,47259,7.0
101834,bgzip,,,2017-06-08 13:30:59.156166,slurm_normal,1496928686.0,0.0,,1.0,main_w3_handler1,2616633,16053244,False,,572967,vcf,10143005.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29951550}]","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",,"[{'src': 'hda', 'id': 23966593}]",32.0,,38528677,1496928682.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-06-08 13:31:27.169689,79526,4.0
5424,bgzip,,,2017-05-07 07:30:23.949745,slurm_normal,1494142231.0,0.0,,1.0,main_w4_handler1,3089239,15770937,False,,26715,vcf,9878030.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29503697}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29502616}]",32.0,,37649684,1494142227.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-05-07 07:30:33.585673,101094,4.0
137706199,bgzip,,,2017-05-10 20:51:01.724675,slurm_normal,1494449793.0,0.0,,1.0,main_w4_handler0,3102589,15805722,False,,654910793,vcf,9910354.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29554299}]","""/galaxy-repl/localdata/chrom/baciSubt.len""","""baciSubt""",,"[{'src': 'hda', 'id': 29546634}]",32.0,,37834762,1494449785.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-05-10 20:56:36.118093,105484,8.0
27188,bgzip,,,2017-05-15 09:24:33.120476,slurm_normal,1494840280.0,0.0,,1.0,main_w3_handler1,635720,15836522,False,,120908,vcf,9937660.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29598923}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29598914}]",32.0,,37974977,1494840276.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-05-15 09:24:41.666073,13899,4.0
7492,bgzip,,,2017-06-21 23:30:08.600567,slurm_normal,1498087840.0,0.0,,1.0,main_w3_handler0,3133203,16158300,False,,31866,vcf,10236542.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 30118513}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29813274}]",32.0,,38380383,1498087835.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-06-21 23:30:41.093903,106132,5.0
7440,bgzip,,,2017-06-21 23:30:08.100136,slurm_normal,1498087827.0,0.0,,1.0,main_w3_handler0,3133203,16158299,False,,30640,vcf,10236539.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 30118512}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29813189}]",32.0,,38380383,1498087823.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-06-21 23:30:30.470006,106132,4.0
30751,bgzip,8.0,len,2017-06-27 15:10:58.997340,slurm_normal,1498576371.0,0.0,,1.0,main_w3_handler0,3172232,16200932,False,,173051,vcf,10276933.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 30181527}]","""/galaxy-repl/main/files/020/421/dataset_20421334.dat""","""?""",,"[{'src': 'hda', 'id': 30167110}]",32.0,,38921053,1498576311.0,ok,1023996.0,CONVERTER_vcf_to_tabix_0,1.0.0,,2017-06-27 15:13:14.782809,108180,60.0
