create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.complete_blocks,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.remove_gaps,parameters.species,parameters.species.__class__,parameters.species.value,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-31 07:33:14.443719,rodeo_normal,1427838103.0,0.0,1.0,main_w1_handler0,2218384,9098700,False,,692091813,maf,3392163.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""partial_allowed""","""mm9""",19076796,,"""keep_gaps""",,,,32.0,,20701309,1427837378.0,ok,1023996.0,MAF_To_Interval1,1.0.0,,2015-03-31 21:41:44.278714,,725.0
2015-04-15 11:52:23.578874,slurm_normal,1429098762.0,0.0,1.0,main_w1_handler0,2270669,9235805,False,,42553,maf,3517078.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""partial_allowed""","""?""",19295011,,"""keep_gaps""",,,,32.0,,22485745,1429098757.0,ok,1023996.0,MAF_To_Interval1,1.0.0,,2015-04-15 11:52:44.493917,,5.0
2015-06-05 01:15:57.506833,slurm_normal,1433466997.0,0.0,1.0,main_w2_handler1,2331016,9601178,False,,409843,maf,3912513.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""partial_allowed""","""mm10""",19919115,,"""keep_gaps""",,,,32.0,,23461726,1433466991.0,ok,1023996.0,MAF_To_Interval1,1.0.0,,2015-06-05 01:16:39.338127,,6.0
2015-07-01 06:33:14.641001,slurm_normal,1435732417.0,0.0,1.0,main_w1_handler0,2361051,9772576,False,,24795,maf,4075183.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""partial_allowed""","""?""",20199238,,"""keep_gaps""","[""chr11"", ""gi|171846277|ref|NM_198578""]",,,32.0,,23923100,1435732407.0,ok,1023996.0,MAF_To_Interval1,1.0.0,,2015-07-01 06:33:40.213735,,10.0
2015-06-05 01:00:53.262279,slurm_normal,1433466097.0,0.0,1.0,main_w1_handler0,2331016,9601107,False,,1201983,maf,3912461.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""partial_allowed""","""mm10""",19917204,,"""keep_gaps""","[""latCha1""]",,,32.0,,23461726,1433466087.0,ok,1023996.0,MAF_To_Interval1,1.0.0,,2015-06-05 01:01:41.454617,,10.0
2015-06-05 12:42:35.913278,slurm_normal,1433508192.0,0.0,1.0,main_w2_handler1,2331016,9603727,False,,1007516,maf,3915328.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""partial_allowed""","""mm10""",19923026,,"""remove_gaps""","[""hg19"", ""galGal4"", ""latCha1""]",,,32.0,,23461726,1433508184.0,ok,1023996.0,MAF_To_Interval1,1.0.0,,2015-06-05 12:43:18.790597,,8.0
2015-07-16 08:43:03.425449,slurm_normal,1437036240.0,0.0,1.0,main_w1_handler1,2313342,9879291,False,,17209280,maf,4169531.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""partial_allowed""","""hg19""",20374202,,"""keep_gaps""","[""rheMac2""]",,,32.0,,23200807,1437036224.0,ok,1023996.0,MAF_To_Interval1,1.0.0,,2015-07-16 08:44:10.455203,,16.0
2015-07-16 09:20:12.370683,slurm_normal,1437038474.0,0.0,1.0,main_w1_handler1,2313342,9879640,False,,17209280,maf,4169867.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""partial_disallowed""","""hg19""",20374202,,"""keep_gaps""","[""rheMac2""]",,,32.0,,23200807,1437038456.0,ok,1023996.0,MAF_To_Interval1,1.0.0,,2015-07-16 09:21:26.168586,,18.0
2015-10-05 18:52:12.780730,slurm_normal,1444071165.0,0.0,1.0,main_w1_handler2,2461247,10505039,False,,7033,maf,4780715.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""partial_allowed""","""mm10""",21404405,,"""keep_gaps""",,,,32.0,,25515176,1444071150.0,ok,1023996.0,MAF_To_Interval1,1.0.0,,2015-10-05 18:52:47.731130,,15.0
2015-10-05 18:43:22.184474,slurm_normal,1444070626.0,0.0,1.0,main_w1_handler1,2461247,10504971,False,,6836,maf,4780653.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""partial_allowed""","""mm10""",21404322,,"""keep_gaps""","[""hg19"", ""galGal4"", ""latCha1""]",,,32.0,,25515176,1444070620.0,ok,1023996.0,MAF_To_Interval1,1.0.0,,2015-10-05 18:43:49.581180,,6.0
2015-10-30 19:07:51.490261,slurm_normal,1446232185.0,0.0,1.0,main_w2_handler0,2472376,10776032,False,,92573629,maf,5034256.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""partial_allowed""","""?""",21816113,,"""keep_gaps""","[""mm10"", ""hg38""]",,,32.0,,25700858,1446232087.0,ok,1023996.0,MAF_To_Interval1,1.0.0,,2015-10-30 19:10:32.709164,,98.0
2015-11-10 09:27:29.702755,slurm_normal,1447147663.0,0.0,1.0,main_w1_handler2,2501277,10861320,False,,25881,maf,5114885.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""partial_allowed""","""hg38""",21939845,,"""keep_gaps""","[""panPan1"", ""gorGor3"", ""rheMac3"", ""macFas5"", ""papAnu2"", ""chlSab2"", ""calJac3"", ""ponAbe2""]",,,32.0,,25684589,1447147657.0,ok,1023996.0,MAF_To_Interval1,1.0.0,,2015-11-10 09:27:54.672717,69813.0,6.0
2016-06-17 12:46:25.719710,slurm_normal,1466167652.0,0.0,1.0,main_w1_handler1,2741810,13192672,False,,313626976,maf,7377416.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""partial_allowed""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cf91e2c8d7c38a1f'}]","""keep_gaps""","[""uncinata"", ""gansuensis"", ""festucae"", ""sylvatica"", ""bromicola"", ""elymi"", ""c_paspali""]",,,32.0,,30924761,1466167598.0,ok,1023996.0,MAF_To_Interval1,1.0.0,,2016-06-17 12:50:03.945029,,54.0
