Tabixized_input,Tabixized_input_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.Tabixized_input,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.filterList,parameters.input1,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
15886,tabix,,,2015-03-15 01:02:36.606674,rodeo_normal,1426381388.0,0,1.0,main_w1_handler0,2125374,8950016,False,,2112202,vcf_bgzip,3169679.roundup,slurm,,132112168.0,corral-repl,,18859959,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-g \""GT = 1/1\""""",18859958,32.0,,21653965,1426381378.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 01:03:09.522132,56280.0,10.0
15493,tabix,,,2015-03-15 01:02:37.691637,rodeo_normal,1426381402.0,0,1.0,main_w1_handler0,2125374,8950018,False,,1604031,vcf_bgzip,3169685.roundup,slurm,,132112168.0,corral-repl,,18859965,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-g \""GT = 1/1\""""",18859964,32.0,,21653965,1426381392.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 01:03:23.560904,56280.0,10.0
15770,tabix,,,2015-03-15 00:52:58.512764,rodeo_normal,1426380869.0,0,1.0,main_w1_handler0,2125374,8949919,False,Job output deleted by user before job completed.,2152150,vcf_bgzip,3169496.roundup,slurm,,132112168.0,corral-repl,,18859896,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""QUAL > 60\""""",18859895,32.0,,21653965,1426380859.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:54:30.159365,56280.0,10.0
17045,tabix,,,2015-03-15 00:51:02.771963,rodeo_normal,1426380685.0,0,1.0,main_w1_handler1,2125374,8949891,False,,5600442,vcf_bgzip,3169426.roundup,slurm,,132112168.0,corral-repl,,18859857,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 20\""""",18859856,32.0,,21653965,1426380675.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:51:27.106871,56280.0,10.0
17430,tabix,,,2015-03-15 00:55:50.211867,rodeo_normal,1426380978.0,0,1.0,main_w1_handler1,2125374,8949933,False,,6788325,vcf_bgzip,3169510.roundup,slurm,,132112168.0,corral-repl,,18859850,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""QUAL > 20\""""",18859849,32.0,,21653965,1426380959.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:56:20.068759,56280.0,19.0
16530,tabix,,,2015-03-15 00:57:03.022015,rodeo_normal,1426381104.0,0,1.0,main_w2_handler1,2125374,8949945,False,,3928928,vcf_bgzip,3169570.roundup,slurm,,132112168.0,corral-repl,,18859922,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\""""",18859921,32.0,,21653965,1426381094.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:58:28.126674,56280.0,10.0
17201,tabix,,,2015-03-15 00:55:49.570406,rodeo_normal,1426380979.0,0,1.0,main_w1_handler0,2125374,8949932,False,,5815458,vcf_bgzip,3169512.roundup,slurm,,132112168.0,corral-repl,,18859847,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""QUAL > 20\""""",18859846,32.0,,21653965,1426380962.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:56:21.450274,56280.0,17.0
17654,tabix,,,2015-03-15 00:55:50.808581,rodeo_normal,1426380981.0,0,1.0,main_w1_handler0,2125374,8949934,False,,7921453,vcf_bgzip,3169514.roundup,slurm,,132112168.0,corral-repl,,18859854,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""QUAL > 20\""""",18859852,32.0,,21653965,1426380962.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:56:22.924580,56280.0,19.0
16604,tabix,,,2015-03-15 01:02:35.553490,rodeo_normal,1426381383.0,0,1.0,main_w2_handler1,2125374,8950014,False,,4301314,vcf_bgzip,3169673.roundup,slurm,,132112168.0,corral-repl,,18859953,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-g \""GT = 1/1\""""",18859952,32.0,,21653965,1426381367.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 01:03:05.074938,56280.0,16.0
17045,tabix,,,2015-03-15 00:55:51.485728,rodeo_normal,1426381002.0,0,1.0,main_w2_handler1,2125374,8949935,False,,5600442,vcf_bgzip,3169525.roundup,slurm,,132112168.0,corral-repl,,18859857,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""QUAL > 20\""""",18859856,32.0,,21653965,1426380984.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:56:44.682602,56280.0,18.0
17654,tabix,,,2015-03-15 00:51:02.313477,rodeo_normal,1426380714.0,0,1.0,main_w2_handler1,2125374,8949890,False,,7921453,vcf_bgzip,3169436.roundup,slurm,,132112168.0,corral-repl,,18859854,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 20\""""",18859852,32.0,,21653965,1426380699.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:51:59.135824,56280.0,15.0
15968,tabix,,,2015-03-15 00:52:54.482598,rodeo_normal,1426380834.0,0,1.0,main_w1_handler1,2125374,8949909,False,,2583378,vcf_bgzip,3169476.roundup,slurm,,132112168.0,corral-repl,,18859887,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""QUAL > 60\""""",18859886,32.0,,21653965,1426380824.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:53:57.214130,56280.0,10.0
15436,tabix,,,2015-03-15 01:02:36.081023,rodeo_normal,1426381373.0,0,1.0,main_w1_handler1,2125374,8950015,False,,1378527,vcf_bgzip,3169671.roundup,slurm,,132112168.0,corral-repl,,18859956,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-g \""GT = 1/1\""""",18859955,32.0,,21653965,1426381365.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 01:02:54.011099,56280.0,8.0
17686,tabix,,,2015-03-15 00:55:47.762234,rodeo_normal,1426380984.0,0,1.0,main_w2_handler0,2125374,8949928,False,,7933304,vcf_bgzip,3169518.roundup,slurm,,132112168.0,corral-repl,,18859838,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""QUAL > 20\""""",18859837,32.0,,21653965,1426380965.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:56:28.049940,56280.0,19.0
17910,tabix,,,2015-03-15 00:55:48.915719,rodeo_normal,1426380987.0,0,1.0,main_w2_handler1,2125374,8949930,False,,8671630,vcf_bgzip,3169516.roundup,slurm,,132112168.0,corral-repl,,18859844,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""QUAL > 20\""""",18859843,32.0,,21653965,1426380965.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:56:30.805835,56280.0,22.0
16632,tabix,,,2015-03-15 00:57:05.791919,rodeo_normal,1426381098.0,0,1.0,main_w1_handler0,2125374,8949951,False,,4174215,vcf_bgzip,3169566.roundup,slurm,,132112168.0,corral-repl,,18859928,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 10\""""",18859927,32.0,,21653965,1426381087.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:58:19.402774,56280.0,11.0
16305,tabix,,,2015-03-15 01:02:37.289302,rodeo_normal,1426381399.0,0,1.0,main_w1_handler0,2125374,8950017,False,,3470164,vcf_bgzip,3169681.roundup,slurm,,132112168.0,corral-repl,,18859962,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-g \""GT = 1/1\""""",18859961,32.0,,21653965,1426381385.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 01:03:20.514924,56280.0,14.0
17430,tabix,,,2015-03-15 00:51:01.920671,rodeo_normal,1426380705.0,0,1.0,main_w1_handler0,2125374,8949889,False,,6788325,vcf_bgzip,3169430.roundup,slurm,,132112168.0,corral-repl,,18859850,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 20\""""",18859849,32.0,,21653965,1426380690.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:51:47.519500,56280.0,15.0
17910,tabix,,,2015-03-15 00:51:01.055306,rodeo_normal,1426380686.0,0,1.0,main_w1_handler0,2125374,8949887,False,,8671630,vcf_bgzip,3169422.roundup,slurm,,132112168.0,corral-repl,,18859844,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 20\""""",18859843,32.0,,21653965,1426380669.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:51:29.121014,56280.0,17.0
17686,tabix,,,2015-03-15 00:51:00.240181,rodeo_normal,1426380690.0,0,1.0,main_w2_handler0,2125374,8949885,False,,7933304,vcf_bgzip,3169424.roundup,slurm,,132112168.0,corral-repl,,18859838,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""DP > 20\""""",18859837,32.0,,21653965,1426380672.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:51:33.452178,56280.0,18.0
15776,tabix,,,2015-03-15 00:52:52.138135,rodeo_normal,1426380824.0,0,1.0,main_w1_handler0,2125374,8949903,False,,2192262,vcf_bgzip,3169472.roundup,slurm,,132112168.0,corral-repl,,18859881,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""QUAL > 60\""""",18859880,32.0,,21653965,1426380815.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.2,0.0.2,,2015-03-15 00:53:46.533369,56280.0,9.0
