chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_vcf,input_vcf_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.output_option,parameters.reference_source.__current_case__,parameters.reference_source.input_vcf,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.window_size,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-07-27 06:41:55.823493,slurm_normal,1437979342.0,0,1.0,main_w1_handler0,2360023,10003848,False,,7770486,vcf,4286311.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",0,20574882,hg19,cached,"""30""",32.0,,,,23907168,1437979331.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfgeno2haplo/vcfgeno2haplo/0.0.2,0.0.2,,2015-07-27 06:42:24.248322,,11.0
,,2015-03-24 01:29:55.495919,rodeo_normal,1427160639.0,0,1.0,main_w1_handler1,2244419,9019897,False,,100595486,vcf,3301653.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",1,18947218,18962327,history,"""30""",32.0,230256682.0,fasta,,21943139,1427160608.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfgeno2haplo/vcfgeno2haplo/0.0.2,0.0.2,,2015-03-24 01:30:40.237782,,31.0
,,2015-04-01 07:10:38.037799,rodeo_normal,1427872252.0,0,1.0,main_w2_handler0,2238351,9110835,False,,24102,vcf,3395994.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""False""",0,19024141,hg38,cached,"""30""",32.0,,,,22064715,1427872249.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfgeno2haplo/vcfgeno2haplo/0.0.2,0.0.2,,2015-04-01 07:10:55.477708,56382.0,3.0
,,2015-04-01 17:36:31.681983,rodeo_normal,1427909841.0,0,1.0,main_w2_handler0,2256556,9116488,False,,114559517,vcf,3402380.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/010/759/dataset_10759551.dat""","""Medicago_v3""","""False""",1,19102005,19101967,history,"""30""",32.0,62166027.0,fasta,,21905254,1427909802.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfgeno2haplo/vcfgeno2haplo/0.0.2,0.0.2,,2015-04-01 17:37:22.969020,61115.0,39.0
,,2015-04-01 17:28:11.156502,rodeo_normal,1427909319.0,0,1.0,main_w1_handler0,2256556,9116464,False,,101917400,vcf,3402341.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/010/759/dataset_10759551.dat""","""Medicago_v3""","""False""",1,19102526,19101967,history,"""30""",32.0,62166027.0,fasta,,21905254,1427909300.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfgeno2haplo/vcfgeno2haplo/0.0.2,0.0.2,,2015-04-01 17:28:41.735993,61115.0,19.0
,,2015-04-06 18:00:43.581620,slurm_normal,1428343258.0,0,1.0,main_w1_handler0,2260995,9151189,False,,15929,vcf,3433969.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""True""",0,19162212,Homo_sapiens_nuHg19_mtrCRS,cached,"""30""",32.0,,,,21243267,1428343254.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfgeno2haplo/vcfgeno2haplo/0.0.2,0.0.2,,2015-04-06 18:00:58.864610,54238.0,4.0
,,2015-04-10 16:54:14.406756,slurm_normal,1428684876.0,0,1.0,main_w2_handler1,2261071,9196716,False,,15929,vcf,3478085.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""False""",0,19161397,Araly1,cached,"""30""",32.0,,,,22121593,1428684873.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfgeno2haplo/vcfgeno2haplo/0.0.2,0.0.2,,2015-04-10 16:54:41.080569,61692.0,3.0
,,2015-04-12 17:48:06.337347,slurm_normal,1428860908.0,0,1.0,main_w2_handler1,2267076,9209568,False,,15929,vcf,3490496.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""False""",0,19240946,Homo_sapiens_nuHg19_mtrCRS,cached,"""30""",32.0,,,,22121563,1428860904.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfgeno2haplo/vcfgeno2haplo/0.0.2,0.0.2,,2015-04-12 17:48:31.642347,61683.0,4.0
,,2015-04-12 17:51:54.881980,slurm_normal,1428861138.0,0,1.0,main_w2_handler0,2267076,9209691,False,,15929,vcf,3490544.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""False""",0,19240946,Homo_sapiens_nuHg19_mtrCRS,cached,"""30""",32.0,,,,22121563,1428861134.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfgeno2haplo/vcfgeno2haplo/0.0.2,0.0.2,,2015-04-12 17:52:20.356262,61683.0,4.0
,,2015-04-22 10:33:54.353211,slurm_normal,1429699371.0,0,1.0,main_w1_handler0,2237627,9298387,False,,147469,vcf,3614450.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""False""",0,19415153,hg38,cached,"""30""",32.0,,,,22633180,1429699289.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfgeno2haplo/vcfgeno2haplo/0.0.2,0.0.2,,2015-04-22 10:42:54.825576,60894.0,82.0
