chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.settings.__current_case__,parameters.settings.blockSize,parameters.settings.itemsPerSlot,parameters.settings.settingsType,parameters.settings.unc,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-11-15 09:26:12.247071,rodeo_normal,1416043580.0,0.0,,1.0,main_w1_handler1,2119154,8172778,False,,433,bed,2020483.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",17553074,,,0,,,preset,,32.0,,18559122.0,1416043578.0,ok,1023996.0,bed_to_bigBed,1.0.0,,2014-11-15 09:26:21.335344,51704.0,2.0
,,2014-10-29 16:31:30.968397,slurm_normal_single_mem,1414600647.0,0.0,,1.0,main_w1_handler0,2101055,8063797,False,,957034138,bed,93666.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",17368236,,,0,,,preset,,2.0,,18014345.0,1414600567.0,ok,0.0,bed_to_bigBed,1.0.0,,2014-10-29 16:37:32.492694,40278.0,80.0
,,2015-03-09 16:34:55.315584,rodeo_normal,1425918913.0,0.0,,1.0,main_w2_handler0,2222302,8898775,False,,15785,bed,3072688.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",18790317,,,0,,,preset,,32.0,,21506300.0,1425918906.0,ok,1023996.0,bed_to_bigBed,1.0.0,,2015-03-09 16:35:17.067804,,7.0
,,2014-09-15 17:30:50.762711,roundup_single,1410802262.0,0.0,,1.0,main_w1_handler1,2049473,7796379,False,,16979,bed,1781305,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",16886679,,,0,,,preset,,32.0,,16899622.0,1410802259.0,ok,1023992.0,bed_to_bigBed,1.0.0,,2014-09-15 17:31:07.175384,33981.0,3.0
,,2015-01-01 14:17:43.655569,rodeo_normal,1420121889.0,0.0,,1.0,main_w1_handler0,2150028,8485613,False,,12227,bed,668890.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18109756,,,0,,,preset,,2.0,,20071977.0,1420121884.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-01 14:18:13.170112,,5.0
,,2015-01-01 14:24:55.495660,rodeo_normal,1420122309.0,0.0,,1.0,main_w2_handler0,2150028,8485624,False,,25475,bed,668910.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18109769,,,0,,,preset,,2.0,,20071977.0,1420122307.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-01 14:25:12.329104,,2.0
,,2015-01-01 15:04:43.866330,rodeo_normal,1420124727.0,0.0,,1.0,main_w1_handler1,2150028,8485668,False,,150436,bed,668981.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18109838,,,0,,,preset,,2.0,,20071977.0,1420124724.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-01 15:05:31.769615,,3.0
,,2015-01-01 14:17:44.852221,rodeo_normal,1420121917.0,0.0,,1.0,main_w1_handler0,2150028,8485616,False,,126102,bed,668895.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18109759,,,0,,,preset,,2.0,,20071977.0,1420121913.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-01 14:18:39.583298,,4.0
,,2015-01-01 14:24:55.852399,rodeo_normal,1420122321.0,0.0,,1.0,main_w2_handler0,2150028,8485625,False,,20138,bed,668912.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18109770,,,0,,,preset,,2.0,,20071977.0,1420122318.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-01 14:25:24.084459,,3.0
,,2015-01-01 15:04:43.660077,rodeo_normal,1420124716.0,0.0,,1.0,main_w1_handler1,2150028,8485667,False,,172054,bed,668979.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18109837,,,0,,,preset,,2.0,,20071977.0,1420124713.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-01 15:05:20.304286,,3.0
