bamInput,bamInput_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.binSize,parameters.advancedOpt.distanceBetweenBins,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput,parameters.bamInput.values,parameters.bamInput|__identifier__,parameters.chromInfo,parameters.dbkey,parameters.histogram,parameters.plotTitle,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
7516994600,bam,,,2016-05-04 08:16:40.131864,slurm_normal,1462350178.0,0,1.0,main_w1_handler0,2694016,12765942,False,,6969138.roundup,slurm,,132112168.0,corral-repl,,1,500,1000000,yes,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57a4f3d21b704d0de'}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""""",32.0,,29600066,1462349832.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-05-04 08:23:01.712559,47655,346.0
2263427995,bam,170728.0,len,2016-05-02 04:11:15.213599,slurm_normal,1462162402.0,0,1.0,main_w2_handler1,2671440,12719319,False,,6925769.roundup,slurm,,132112168.0,corral-repl,,0,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54722c9a3cb0ad1e9'}]","""Trimmomatic on SP_C1_reads-1""","""/galaxy-repl/main/files/015/272/dataset_15272756.dat""","""?""","""true""","""""",32.0,,29584221,1462162314.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-05-02 04:13:23.958664,34776,88.0
1806732765,bam,170728.0,len,2016-05-02 04:11:16.467673,slurm_normal,1462162392.0,0,1.0,main_w2_handler0,2671440,12719321,False,,6925767.roundup,slurm,,132112168.0,corral-repl,,0,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b505abf308edf5c8d2'}]","""Trimmomatic on SW_C1_reads-5""","""/galaxy-repl/main/files/015/272/dataset_15272756.dat""","""?""","""true""","""""",32.0,,29584221,1462162305.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-05-02 04:13:15.024518,34776,87.0
2080221607,bam,170728.0,len,2016-05-02 04:11:16.975497,slurm_normal,1462162407.0,0,1.0,main_w1_handler0,2671440,12719322,False,,6925771.roundup,slurm,,132112168.0,corral-repl,,0,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51d20003a58eeb884'}]","""Trimmomatic on SW_W1_reads-7""","""/galaxy-repl/main/files/015/272/dataset_15272756.dat""","""?""","""true""","""""",32.0,,29584221,1462162320.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-05-02 04:13:28.975444,34776,87.0
1907204955,bam,170728.0,len,2016-05-02 04:11:15.875128,slurm_normal,1462162408.0,0,1.0,main_w1_handler0,2671440,12719320,False,,6925770.roundup,slurm,,132112168.0,corral-repl,,0,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51c381778e8dae007'}]","""Trimmomatic on SP_W1_reads-3""","""/galaxy-repl/main/files/015/272/dataset_15272756.dat""","""?""","""true""","""""",32.0,,29584221,1462162318.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-05-02 04:13:30.055375,34776,90.0
12163994545,bam,,,2016-05-02 17:05:44.996850,slurm_normal,1462209018.0,0,1.0,main_w1_handler2,2616603,12735520,False,,6934573.roundup,slurm,,132112168.0,corral-repl,,0,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51648b958f19c9def'}]",,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","""""",32.0,,28709359,1462208787.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-05-02 17:10:26.712205,79549,231.0
6654695383,bam,,,2016-05-04 08:16:39.392072,slurm_normal,1462349995.0,0,1.0,main_w2_handler0,2694016,12765941,False,,6969144.roundup,slurm,,132112168.0,corral-repl,,1,500,1000000,yes,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d8dce3854867430d'}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""""",32.0,,29600066,1462349851.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-05-04 08:20:16.488201,47655,144.0
6991160734,bam,,,2016-05-04 08:16:41.999276,slurm_normal,1462350008.0,0,1.0,main_w2_handler0,2694016,12765943,False,,6969143.roundup,slurm,,132112168.0,corral-repl,,1,500,1000000,yes,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5da15ab80ff60e491'}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""""",32.0,,29600066,1462349847.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-05-04 08:20:23.156274,47655,161.0
7711298698,bam,,,2016-05-04 08:16:38.832456,slurm_normal,1462350025.0,0,1.0,main_w1_handler1,2694016,12765940,False,,6969141.roundup,slurm,,132112168.0,corral-repl,,1,500,1000000,yes,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c1444c19a1546bb8'}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""""",32.0,,29600066,1462349843.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-05-04 08:20:27.908216,47655,182.0
6619337593,bam,,,2016-03-19 18:09:58.471770,slurm_normal,1458412551.0,0,1.0,main_w1_handler1,2312125,12194612,False,,6407778.roundup,slurm,,132112168.0,corral-repl,,0,,,no,23910676,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""""",32.0,,29077575,1458412338.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-03-19 18:35:52.456490,29072,213.0
