bamInput,bamInput_filetype,create_time,destination_id,end_epoch,exit_code,extraSampling,extraSampling_filetype,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.fragmentLength,parameters.image_format,parameters.region,parameters.source.__current_case__,parameters.source.input1.values,parameters.source.input1_2bit,parameters.source.ref_source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
732493079,bam,2016-06-18 14:58:30.968750,slurm_multi,1466262397.0,0,,,6.0,main_w1_handler2,2633775,13199615,False,,,,7384213,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dc11489110666499'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,2150570000,specific,"""300""","""png""","""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,30939708,1466261920.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-06-18 15:06:38.751344,46988,477.0
724639547,bam,2016-06-18 15:39:22.295004,slurm_multi,1466264858.0,0,,,6.0,main_w1_handler2,2633775,13199690,False,,,,7384299,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c5386ce06b7b4c74'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,2150570000,specific,"""300""","""png""","""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,30939708,1466264378.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-06-18 15:47:39.976071,46988,480.0
2020876192,bam,2016-09-09 11:07:27.874681,slurm_multi,1473419829.0,0,,,6.0,main_w3_handler2,2811516,13814742,False,,,,8036127,slurm,,132112168.0,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5067e49dacd84c2d3'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""300""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,32860861,1473419260.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-09 11:17:11.455966,89554,569.0
738962753,bam,2016-06-20 21:38:52.329655,slurm_multi,1466459330.0,0,145790.0,bed,6.0,main_w1_handler2,2633775,13216507,False,,,,7400982,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51d35b0dc7b172ed8'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,2150570000,specific,"""300""","""png""","""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,30965635,1466458746.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-06-20 21:48:52.492994,46988,584.0
3561227423,bam,2016-09-09 21:28:50.613958,slurm_multi,1473457517.0,0,,,6.0,main_w3_handler2,2771636,13818769,False,,,,8040360,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b581040880eb2ec72a'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473456947.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-09 21:45:19.299743,73080,570.0
3044923408,bam,2016-09-09 21:28:51.196113,slurm_multi,1473459291.0,0,,,6.0,main_w3_handler2,2771636,13818771,False,,,,8040446,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54d12c39a0853e49e'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473458697.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-09 22:14:53.558397,73080,594.0
2973463244,bam,2016-09-09 21:28:51.514765,slurm_multi,1473459974.0,0,,,6.0,main_w3_handler2,2771636,13818772,False,,,,8040567,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b9021d24739e8603'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473459382.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-09 22:26:17.754186,73080,592.0
3120134464,bam,2016-09-09 21:28:50.912693,slurm_multi,1473462468.0,0,,,6.0,main_w4_handler2,2771636,13818770,False,,,,8040876,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8714a390519697d'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473461885.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-09 23:07:51.201207,73080,583.0
3120134464,bam,2016-09-09 22:57:24.000339,slurm_multi,1473465336.0,0,,,6.0,main_w4_handler2,2771636,13819233,False,,,,8040981,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8714a390519697d'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""100""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1473464772.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-09-09 23:55:39.835134,73080,564.0
724639547,bam,2016-06-22 20:52:21.460579,reserved_multi,1466629503.0,0,,,4.0,main_w2_handler2,2747314,13241608,False,,,,7427737.roundup,slurm,,132112168.0,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b915bf494b249e02'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,2150570000,specific,"""300""","""png""","""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,30731085,1466628765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.2.3.0,2.2.3.0,,2016-06-22 21:05:08.361104,5254,738.0
