bamInput,bamInput_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.fragmentLength,parameters.image_format,parameters.region,parameters.source.__current_case__,parameters.source.input1.values,parameters.source.input1_2bit,parameters.source.ref_source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
429475083,bam,320.0,len,2017-03-18 09:41:06.611962,slurm_multi,1489881350.0,0,6.0,main_w4_handler2,2910771,15329948,False,,3595453.0,twobit,9473584,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27448074}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""50""","""png""","""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489877250.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-03-18 23:57:17.847056,95902,4100.0
479640921,bam,320.0,len,2017-03-18 09:43:12.402876,slurm_multi,1489900775.0,0,6.0,main_w4_handler2,2910771,15329960,False,,3595453.0,twobit,9474483,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27507610}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""50""","""png""","""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489896624.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-03-19 05:19:36.659944,95902,4151.0
563419685,bam,320.0,len,2017-03-18 09:41:47.893342,slurm_multi,1489890843.0,0,6.0,main_w4_handler2,2910771,15329953,False,,3595453.0,twobit,9474020,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27520314}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""50""","""png""","""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489886698.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-03-19 02:34:06.176089,95902,4145.0
776551451,bam,320.0,len,2017-03-18 09:43:55.962440,slurm_multi,1489906460.0,0,6.0,main_w4_handler2,2910771,15329966,False,,3595453.0,twobit,9474636,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27510101}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""50""","""png""","""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489901104.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-03-19 06:54:54.099785,95902,5356.0
596494000,bam,320.0,len,2017-03-18 09:42:33.222356,slurm_multi,1489895892.0,0,6.0,main_w4_handler2,2910771,15329957,False,,3595453.0,twobit,9474264,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27531160}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""50""","""png""","""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489891111.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-03-19 03:58:14.417742,95902,4781.0
7761182771,bam,,,2016-10-28 20:05:53.766247,slurm_multi,1477690014.0,0,6.0,main_w3_handler2,2827058,14202799,False,,,,8414233,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c039f969f28a1763'}]","""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",2,,2451960000,"""300""","""png""","""""",0,,/galaxy/data/hg18/seq/hg18.2bit,cached,32.0,,33969179,1477685379.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-10-28 21:26:57.495985,90658,4635.0
9663690474,bam,,,2016-10-28 20:06:07.402142,slurm_multi,1477695013.0,0,6.0,main_w3_handler2,2827058,14202802,False,,,,8414594,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cfccf0a6102f0f30'}]","""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",2,,2451960000,"""300""","""png""","""""",0,,/galaxy/data/hg18/seq/hg18.2bit,cached,32.0,,33969179,1477690188.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-10-28 22:50:16.913375,90658,4825.0
471368408,bam,15.0,len,2016-10-30 01:44:30.416206,slurm_multi,1477793312.0,0,6.0,main_w3_handler2,2116942,14207736,False,,1321890.0,twobit,8419113,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b596ced66c3858747a'}]","""/galaxy-repl/main/files/017/639/dataset_17639115.dat""","""UCLA9""",0,5000000,specific,"""300""","""png""","""""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5eb6a837c5547351a'}]",,history,32.0,,32653184,1477792015.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-10-30 02:08:34.072480,19450,1297.0
589609789,bam,31.0,len,2016-10-30 01:55:29.404764,slurm_multi,1477794024.0,0,6.0,main_w3_handler2,2116942,14207757,False,,49047.0,twobit,8419160,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b9ef4830b4cb8888'}]","""/galaxy-repl/main/files/017/639/dataset_17639746.dat""","""KPCplasmid""",0,190000,specific,"""300""","""png""","""""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b509691f78ab230c0f'}]",,history,32.0,,32653184,1477793418.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-10-30 02:20:25.820797,19450,606.0
589609789,bam,,,2016-10-30 02:31:35.264238,slurm_multi,1477795727.0,0,6.0,main_w4_handler2,2116942,14207820,False,,49047.0,twobit,8419192,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b9ef4830b4cb8888'}]","""/galaxy-repl/localdata/chrom/KPCplasmid.len""","""KPCplasmid""",0,190000,specific,"""300""","""png""","""""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b558d6440a819b3c3b'}]",,history,32.0,,32653184,1477795126.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-10-30 02:48:49.845009,19450,601.0
