bamfiles,bamfiles1,bamfiles10,bamfiles10_filetype,bamfiles11,bamfiles11_filetype,bamfiles12,bamfiles12_filetype,bamfiles13,bamfiles13_filetype,bamfiles14,bamfiles14_filetype,bamfiles15,bamfiles15_filetype,bamfiles16,bamfiles16_filetype,bamfiles17,bamfiles17_filetype,bamfiles18,bamfiles18_filetype,bamfiles19,bamfiles19_filetype,bamfiles1_filetype,bamfiles2,bamfiles20,bamfiles20_filetype,bamfiles21,bamfiles21_filetype,bamfiles22,bamfiles22_filetype,bamfiles23,bamfiles23_filetype,bamfiles24,bamfiles24_filetype,bamfiles25,bamfiles25_filetype,bamfiles26,bamfiles26_filetype,bamfiles27,bamfiles27_filetype,bamfiles28,bamfiles28_filetype,bamfiles29,bamfiles29_filetype,bamfiles2_filetype,bamfiles3,bamfiles30,bamfiles30_filetype,bamfiles31,bamfiles31_filetype,bamfiles32,bamfiles32_filetype,bamfiles33,bamfiles33_filetype,bamfiles34,bamfiles34_filetype,bamfiles35,bamfiles35_filetype,bamfiles36,bamfiles36_filetype,bamfiles37,bamfiles37_filetype,bamfiles38,bamfiles38_filetype,bamfiles39,bamfiles39_filetype,bamfiles3_filetype,bamfiles4,bamfiles40,bamfiles40_filetype,bamfiles41,bamfiles41_filetype,bamfiles42,bamfiles42_filetype,bamfiles43,bamfiles43_filetype,bamfiles44,bamfiles44_filetype,bamfiles45,bamfiles45_filetype,bamfiles46,bamfiles46_filetype,bamfiles47,bamfiles47_filetype,bamfiles48,bamfiles48_filetype,bamfiles4_filetype,bamfiles5,bamfiles5_filetype,bamfiles6,bamfiles6_filetype,bamfiles7,bamfiles7_filetype,bamfiles8,bamfiles8_filetype,bamfiles9,bamfiles9_filetype,bamfiles_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.__current_case__,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.doExtendCustom.extendReadsValue,parameters.advancedOpt.exonID,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.maxFragmentLength,parameters.advancedOpt.metagene,parameters.advancedOpt.minFragmentLength,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.transcriptID,parameters.advancedOpt.transcript_id_designator,parameters.bamfiles.values,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.binSize,parameters.mode.distanceBetweenBins,parameters.mode.modeOpt,parameters.mode.region_file.values,parameters.outRawCounts,parameters.region,processor_count,region_file,region_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
1426105407,1426105407,1961612365.0,bam,,,,,,,,,,,,,,,,,,,bam,2149177215,,,,,,,,,,,,,,,,,,,,,bam,1496428159.0,,,,,,,,,,,,,,,,,,,,,bam,2065317596.0,,,,,,,,,,,,,,,,,,,bam,3205444810.0,bam,2566208061.0,bam,2110533429.0,bam,1752902838.0,bam,2553268600.0,bam,bam,,,,,2017-12-07 16:05:46.644495,slurm_multi,1512671737.0,0,6.0,main_w3_handler2,3014467,17737551,False,,11804041,slurm,,132109816.0,corral-repl,,0,no,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 28573297}, {'src': 'hda', 'id': 28573298}, {'src': 'hda', 'id': 28573299}, {'src': 'hda', 'id': 28573300}, {'src': 'hda', 'id': 28573301}, {'src': 'hda', 'id': 28573302}, {'src': 'hda', 'id': 28620167}, {'src': 'hda', 'id': 28620168}, {'src': 'hda', 'id': 28620169}, {'src': 'hda', 'id': 28620170}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Schizosaccharomyces_pombe_1.1.len""","""Schizosaccharomyces_pombe_1.1""",0,1000,0,bins,,"""false""","""""",32.0,,,,41771554,1512670403.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/2.3.6.0,2.3.6.0,,2017-12-07 18:35:40.499950,99151,1334.0
786104173,786104173,,,,,,,,,,,,,,,,,,,,,bam,331323788,,,,,,,,,,,,,,,,,,,,,bam,5209090979.0,,,,,,,,,,,,,,,,,,,,,bam,1007717918.0,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,bam,,,,,2017-01-09 19:25:11.263092,slurm_multi,1483990453.0,0,6.0,main_w3_handler2,2887820,14718927,False,,8887916,slurm,,132112168.0,corral-repl,,0,no,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 27831496}, {'src': 'hda', 'id': 27831497}, {'src': 'hda', 'id': 27831498}, {'src': 'hda', 'id': 27832851}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,10000,0,bins,,"""false""","""""",32.0,,,,34165695,1483989984.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/2.3.6.0,2.3.6.0,,2017-01-09 19:34:15.606566,92222,469.0
2758135461,2758135461,,,,,,,,,,,,,,,,,,,,,bam,2084365037,,,,,,,,,,,,,,,,,,,,,bam,1663670377.0,,,,,,,,,,,,,,,,,,,,,bam,3158092605.0,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,bam,,,,,2017-01-09 20:20:11.067862,slurm_multi,1483994130.0,0,6.0,main_w3_handler2,2841033,14719218,False,,8888182,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 26823066}, {'src': 'hda', 'id': 27853061}, {'src': 'hda', 'id': 27853129}, {'src': 'hda', 'id': 27853211}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,10000,0,bins,,"""false""","""""",32.0,,,,35278256,1483993277.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/2.3.6.0,2.3.6.0,,2017-01-09 20:35:32.390437,64365,853.0
2758135461,2758135461,,,,,,,,,,,,,,,,,,,,,bam,2084365037,,,,,,,,,,,,,,,,,,,,,bam,1663670377.0,,,,,,,,,,,,,,,,,,,,,bam,974991209.0,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,bam,,,,,2017-01-10 10:53:52.882656,slurm_multi,1484046414.0,0,6.0,main_w3_handler2,2841033,14722790,False,,8891469,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 26823066}, {'src': 'hda', 'id': 27853061}, {'src': 'hda', 'id': 27853129}, {'src': 'hda', 'id': 27853283}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,10000,0,bins,,"""false""","""""",32.0,,,,35288478,1484045743.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/2.3.6.0,2.3.6.0,,2017-01-10 11:06:55.144522,64365,671.0
3812554550,3812554550,,,,,,,,,,,,,,,,,,,,,bam,4045415353,,,,,,,,,,,,,,,,,,,,,bam,3257820620.0,,,,,,,,,,,,,,,,,,,,,bam,3562756199.0,,,,,,,,,,,,,,,,,,,bam,3285152404.0,bam,2154295287.0,bam,2302767816.0,bam,2311531199.0,bam,3623192747.0,bam,bam,,,,,2017-02-21 03:45:42.054511,slurm_multi,1487649113.0,0,6.0,main_w3_handler2,2976733,15092067,False,,9247100,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 28160737}, {'src': 'hda', 'id': 28160739}, {'src': 'hda', 'id': 28160966}, {'src': 'hda', 'id': 28170377}, {'src': 'hda', 'id': 28172606}, {'src': 'hda', 'id': 28173503}, {'src': 'hda', 'id': 28174931}, {'src': 'hda', 'id': 28174933}, {'src': 'hda', 'id': 28291740}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,,,BED-file,"[{'src': 'hda', 'id': 28254384}]","""true""","""""",32.0,3220.0,bed,,36070155,1487649089.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/2.3.6.0,2.3.6.0,,2017-02-21 03:51:56.320022,99205,24.0
3812554550,3812554550,,,,,,,,,,,,,,,,,,,,,bam,4045415353,,,,,,,,,,,,,,,,,,,,,bam,3257820620.0,,,,,,,,,,,,,,,,,,,,,bam,3562756199.0,,,,,,,,,,,,,,,,,,,bam,3285152404.0,bam,2154295287.0,bam,2302767816.0,bam,2311531199.0,bam,3623192747.0,bam,bam,,,,,2017-02-21 03:45:44.424103,slurm_multi,1487649236.0,0,6.0,main_w4_handler2,2976733,15092069,False,,9247107,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 28160737}, {'src': 'hda', 'id': 28160739}, {'src': 'hda', 'id': 28160966}, {'src': 'hda', 'id': 28170377}, {'src': 'hda', 'id': 28172606}, {'src': 'hda', 'id': 28173503}, {'src': 'hda', 'id': 28174931}, {'src': 'hda', 'id': 28174933}, {'src': 'hda', 'id': 28291740}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,,,BED-file,"[{'src': 'hda', 'id': 28355588}]","""true""","""""",32.0,12105.0,bed6,,36070155,1487649208.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/2.3.6.0,2.3.6.0,,2017-02-21 03:53:58.086364,99205,28.0
3812554550,3812554550,,,,,,,,,,,,,,,,,,,,,bam,4045415353,,,,,,,,,,,,,,,,,,,,,bam,3257820620.0,,,,,,,,,,,,,,,,,,,,,bam,3562756199.0,,,,,,,,,,,,,,,,,,,bam,3285152404.0,bam,2154295287.0,bam,2302767816.0,bam,2311531199.0,bam,3623192747.0,bam,bam,,,,,2017-02-21 03:45:43.214858,slurm_multi,1487649008.0,0,6.0,main_w4_handler2,2976733,15092068,False,,9247093,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 28160737}, {'src': 'hda', 'id': 28160739}, {'src': 'hda', 'id': 28160966}, {'src': 'hda', 'id': 28170377}, {'src': 'hda', 'id': 28172606}, {'src': 'hda', 'id': 28173503}, {'src': 'hda', 'id': 28174931}, {'src': 'hda', 'id': 28174933}, {'src': 'hda', 'id': 28291740}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,,,BED-file,"[{'src': 'hda', 'id': 28308353}]","""true""","""""",32.0,3698.0,bed,,36070155,1487648980.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/2.3.6.0,2.3.6.0,,2017-02-21 03:50:13.271469,99205,28.0
36935828,36935828,,,,,,,,,,,,,,,,,,,,,bam,33699754,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,2017-01-10 12:17:34.482396,slurm_multi,1484050782.0,0,6.0,main_w4_handler2,1578492,14723191,False,,8891832,slurm,,132112168.0,corral-repl,,0,no,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 27865611}, {'src': 'hda', 'id': 27865612}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,10000,0,bins,,"""false""","""""",32.0,,,,35288517,1484050765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/2.3.6.0,2.3.6.0,,2017-01-10 12:19:43.369470,30453,17.0
33284090,33284090,40978110.0,bam,32481984.0,bam,34373826.0,bam,34442782.0,bam,37088613.0,bam,36774077.0,bam,42363933.0,bam,37256445.0,bam,32216107.0,bam,36935828.0,bam,bam,37516741,33699754.0,bam,,,,,,,,,,,,,,,,,,,bam,32130351.0,,,,,,,,,,,,,,,,,,,,,bam,34257776.0,,,,,,,,,,,,,,,,,,,bam,36127832.0,bam,35427045.0,bam,36195092.0,bam,34468665.0,bam,34161997.0,bam,bam,,,,,2017-01-10 13:55:06.423947,slurm_multi,1484056857.0,0,6.0,main_w4_handler2,1578492,14723708,False,,8892406,slurm,,132112168.0,corral-repl,,0,no,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 27865572}, {'src': 'hda', 'id': 27865573}, {'src': 'hda', 'id': 27865575}, {'src': 'hda', 'id': 27865577}, {'src': 'hda', 'id': 27865578}, {'src': 'hda', 'id': 27865579}, {'src': 'hda', 'id': 27865580}, {'src': 'hda', 'id': 27865582}, {'src': 'hda', 'id': 27865583}, {'src': 'hda', 'id': 27865585}, {'src': 'hda', 'id': 27865586}, {'src': 'hda', 'id': 27865588}, {'src': 'hda', 'id': 27865589}, {'src': 'hda', 'id': 27865594}, {'src': 'hda', 'id': 27865596}, {'src': 'hda', 'id': 27865602}, {'src': 'hda', 'id': 27865605}, {'src': 'hda', 'id': 27865610}, {'src': 'hda', 'id': 27865611}, {'src': 'hda', 'id': 27865612}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,,BED-file,"[{'src': 'hda', 'id': 27866595}]","""false""","""""",32.0,8517.0,bed,,35288517,1484056619.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/2.3.6.0,2.3.6.0,,2017-01-10 14:01:01.056612,30453,238.0
33284090,33284090,40978110.0,bam,32481984.0,bam,34373826.0,bam,34442782.0,bam,37088613.0,bam,36774077.0,bam,42363933.0,bam,37256445.0,bam,32216107.0,bam,36935828.0,bam,bam,37516741,33699754.0,bam,,,,,,,,,,,,,,,,,,,bam,32130351.0,,,,,,,,,,,,,,,,,,,,,bam,34257776.0,,,,,,,,,,,,,,,,,,,bam,36127832.0,bam,35427045.0,bam,36195092.0,bam,34468665.0,bam,34161997.0,bam,bam,,,,,2017-01-10 14:19:31.919154,slurm_multi,1484058455.0,0,6.0,main_w3_handler2,1578492,14723903,False,,8892629,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 27865572}, {'src': 'hda', 'id': 27865573}, {'src': 'hda', 'id': 27865575}, {'src': 'hda', 'id': 27865577}, {'src': 'hda', 'id': 27865578}, {'src': 'hda', 'id': 27865579}, {'src': 'hda', 'id': 27865580}, {'src': 'hda', 'id': 27865582}, {'src': 'hda', 'id': 27865583}, {'src': 'hda', 'id': 27865585}, {'src': 'hda', 'id': 27865586}, {'src': 'hda', 'id': 27865588}, {'src': 'hda', 'id': 27865589}, {'src': 'hda', 'id': 27865594}, {'src': 'hda', 'id': 27865596}, {'src': 'hda', 'id': 27865602}, {'src': 'hda', 'id': 27865605}, {'src': 'hda', 'id': 27865610}, {'src': 'hda', 'id': 27865611}, {'src': 'hda', 'id': 27865612}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,,BED-file,"[{'src': 'hda', 'id': 27866595}]","""false""","""""",32.0,8517.0,bed,,35288517,1484058209.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/2.3.6.0,2.3.6.0,,2017-01-10 14:27:42.674806,30453,246.0
