bigwigfiles,bigwigfiles1,bigwigfiles10,bigwigfiles10_filetype,bigwigfiles11,bigwigfiles11_filetype,bigwigfiles12,bigwigfiles12_filetype,bigwigfiles13,bigwigfiles13_filetype,bigwigfiles14,bigwigfiles14_filetype,bigwigfiles15,bigwigfiles15_filetype,bigwigfiles16,bigwigfiles16_filetype,bigwigfiles17,bigwigfiles17_filetype,bigwigfiles18,bigwigfiles18_filetype,bigwigfiles19,bigwigfiles19_filetype,bigwigfiles1_filetype,bigwigfiles2,bigwigfiles20,bigwigfiles20_filetype,bigwigfiles21,bigwigfiles21_filetype,bigwigfiles22,bigwigfiles22_filetype,bigwigfiles23,bigwigfiles23_filetype,bigwigfiles24,bigwigfiles24_filetype,bigwigfiles25,bigwigfiles25_filetype,bigwigfiles26,bigwigfiles26_filetype,bigwigfiles27,bigwigfiles27_filetype,bigwigfiles28,bigwigfiles28_filetype,bigwigfiles29,bigwigfiles29_filetype,bigwigfiles2_filetype,bigwigfiles3,bigwigfiles30,bigwigfiles30_filetype,bigwigfiles31,bigwigfiles31_filetype,bigwigfiles32,bigwigfiles32_filetype,bigwigfiles33,bigwigfiles33_filetype,bigwigfiles34,bigwigfiles34_filetype,bigwigfiles35,bigwigfiles35_filetype,bigwigfiles36,bigwigfiles36_filetype,bigwigfiles37,bigwigfiles37_filetype,bigwigfiles38,bigwigfiles38_filetype,bigwigfiles39,bigwigfiles39_filetype,bigwigfiles3_filetype,bigwigfiles4,bigwigfiles40,bigwigfiles40_filetype,bigwigfiles4_filetype,bigwigfiles5,bigwigfiles5_filetype,bigwigfiles6,bigwigfiles6_filetype,bigwigfiles7,bigwigfiles7_filetype,bigwigfiles8,bigwigfiles8_filetype,bigwigfiles9,bigwigfiles9_filetype,bigwigfiles_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.bigwigfiles,parameters.bigwigfiles.values,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.binSize,parameters.mode.distanceBetweenBins,parameters.mode.modeOpt,parameters.mode.region_file,parameters.mode.region_file.values,parameters.outRawCounts,parameters.region,processor_count,region_file,region_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
186421376,186421376,,,,,,,,,,,,,,,,,,,,,bigwig,186038295,,,,,,,,,,,,,,,,,,,,,bigwig,186953334.0,,,,,,,,,,,,,,,,,,,,,bigwig,187258186.0,,,bigwig,,,,,,,,,,,bigwig,,,2016-04-26 17:19:59.771268,slurm_normal,1461691274.0,0,1.0,main_w1_handler2,2616412,12625592,False,,6828910.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bde44d93e8bea9cd'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5ea30fda40ab9eb72'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5a5d94d2db99976a5'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5a92182b83ac2837e'}]","""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",0,1000,0,bins,,,"""false""","""""",32.0,,,,28704161,1461691220.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.2.0,2.2.2.0,,2016-04-26 17:21:16.561308,,54.0
2583934,2583934,,,,,,,,,,,,,,,,,,,,,bigwig,2583934,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,,,2016-04-26 21:15:14.864522,slurm_normal,1461705477.0,0,1.0,main_w1_handler2,2674466,12630952,False,,6833117.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5062e646d1a50a3c6'}, {'src': 'hda', 'id': 'bbd44e69cb8906b54b27bd8a940bb1da'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,10000,0,bins,,,"""false""","""""",32.0,,,,29669327,1461705472.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.2.0,2.2.2.0,,2016-04-26 21:17:59.791291,82761.0,5.0
12855403,12855403,,,,,,,,,,,,,,,,,,,,,bigwig,115802546,,,,,,,,,,,,,,,,,,,,,bigwig,142320903.0,,,,,,,,,,,,,,,,,,,,,bigwig,12855403.0,,,bigwig,10443629.0,bigwig,,,,,,,,,bigwig,,,2016-04-27 01:01:21.773971,slurm_normal,1461718905.0,0,1.0,main_w1_handler1,2006311,12636311,False,,6837073.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a657a8b2e7540fd4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5974187e70e61b434'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5a583c73cae04603d'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5e3d644e196ff54ef'}, {'src': 'hda', 'id': 'bbd44e69cb8906b502fe5664dd333679'}]","""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,10000,0,bins,,,"""false""","""""",32.0,,,,29753732,1461718900.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.2.0,2.2.2.0,,2016-04-27 01:01:48.093869,42372.0,5.0
12855403,12855403,,,,,,,,,,,,,,,,,,,,,bigwig,115802546,,,,,,,,,,,,,,,,,,,,,bigwig,142320903.0,,,,,,,,,,,,,,,,,,,,,bigwig,12855403.0,,,bigwig,10443629.0,bigwig,,,,,,,,,bigwig,,,2016-04-27 01:04:34.593220,slurm_normal,1461719126.0,0,1.0,main_w2_handler0,2006311,12636350,False,,6837143.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a657a8b2e7540fd4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5974187e70e61b434'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5a583c73cae04603d'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5e3d644e196ff54ef'}, {'src': 'hda', 'id': 'bbd44e69cb8906b502fe5664dd333679'}]","""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",1,,,BED-file,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c899a5c9acb2fbb8'}]","""false""","""""",32.0,1172684.0,bed,,29753732,1461719091.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.2.0,2.2.2.0,,2016-04-27 01:05:31.355142,42372.0,35.0
12855403,12855403,,,,,,,,,,,,,,,,,,,,,bigwig,115802546,,,,,,,,,,,,,,,,,,,,,bigwig,142320903.0,,,,,,,,,,,,,,,,,,,,,bigwig,12855403.0,,,bigwig,,,,,,,,,,,bigwig,,,2016-04-27 01:32:27.963719,slurm_normal,1461720775.0,0,1.0,main_w1_handler2,2006311,12636882,False,,6837903.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a657a8b2e7540fd4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5974187e70e61b434'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5a583c73cae04603d'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5e3d644e196ff54ef'}]","""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",0,10000,0,bins,,,"""true""","""""",32.0,,,,29753732,1461720766.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.2.0,2.2.2.0,,2016-04-27 01:32:57.760168,42372.0,9.0
12855403,12855403,,,,,,,,,,,,,,,,,,,,,bigwig,115802546,,,,,,,,,,,,,,,,,,,,,bigwig,142320903.0,,,,,,,,,,,,,,,,,,,,,bigwig,12855403.0,,,bigwig,,,,,,,,,,,bigwig,,,2016-04-27 01:30:23.899519,slurm_normal,1461720646.0,0,1.0,main_w1_handler1,2006311,12636855,False,,6837850.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a657a8b2e7540fd4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5974187e70e61b434'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5a583c73cae04603d'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5e3d644e196ff54ef'}]","""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",1,,,BED-file,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b586d274bb08bf55eb'}]","""false""","""""",32.0,1324304.0,interval,,29753732,1461720635.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.2.0,2.2.2.0,,2016-04-27 01:30:50.971780,42372.0,11.0
516524,516524,,,,,,,,,,,,,,,,,,,,,bigwig,68874,,,,,,,,,,,,,,,,,,,,,bigwig,29337.0,,,,,,,,,,,,,,,,,,,,,bigwig,70327.0,,,bigwig,328357.0,bigwig,84130.0,bigwig,,,,,,,bigwig,,,2016-04-27 04:18:09.000937,slurm_normal,1461730706.0,0,1.0,main_w1_handler2,2679206,12638109,False,,6840106.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fae8517441657b84'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5dff2814dc6314d41'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59ab62184f5727cd2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5e31b0353678113ef'}, {'src': 'hda', 'id': 'bbd44e69cb8906b53ab2c57f68081f05'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5a0c5acbfae9a02f3'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,10000,0,bins,,,"""false""","""""",32.0,,,,29183917,1461730699.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.2.0,2.2.2.0,,2016-04-27 04:18:27.912495,81363.0,7.0
84130,84130,,,,,,,,,,,,,,,,,,,,,bigwig,328357,,,,,,,,,,,,,,,,,,,,,bigwig,70327.0,,,,,,,,,,,,,,,,,,,,,bigwig,29337.0,,,bigwig,68874.0,bigwig,516524.0,bigwig,,,,,,,bigwig,,,2016-04-27 05:38:13.967357,slurm_normal,1461735524.0,0,1.0,main_w1_handler1,2679206,12638401,False,,6841857.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f1e2cb7568908ee4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b53e958c79b6c9e733'}, {'src': 'hda', 'id': 'bbd44e69cb8906b56c58fe40ea9d12d2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b54e970eac2e306644'}, {'src': 'hda', 'id': 'bbd44e69cb8906b51b0882c6ef4bf4b4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b56be27e3895cb11b5'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,10000,0,bins,,,"""false""","""""",32.0,,,,29183917,1461735514.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.2.0,2.2.2.0,,2016-04-27 05:38:46.143732,81363.0,10.0
516524,516524,,,,,,,,,,,,,,,,,,,,,bigwig,29337,,,,,,,,,,,,,,,,,,,,,bigwig,70327.0,,,,,,,,,,,,,,,,,,,,,bigwig,328357.0,,,bigwig,84130.0,bigwig,,,,,,,,,bigwig,,,2016-04-27 04:41:15.819628,slurm_normal,1461732100.0,0,1.0,main_w2_handler1,2679206,12638226,False,,6840467.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57f3ca4921ff0603a'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59ab62184f5727cd2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5e31b0353678113ef'}, {'src': 'hda', 'id': 'bbd44e69cb8906b53ab2c57f68081f05'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5a0c5acbfae9a02f3'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,10000,0,bins,,,"""false""","""""",32.0,,,,29183917,1461732095.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.2.0,2.2.2.0,,2016-04-27 04:41:42.435722,81363.0,5.0
328357,328357,,,,,,,,,,,,,,,,,,,,,bigwig,70327,,,,,,,,,,,,,,,,,,,,,bigwig,29337.0,,,,,,,,,,,,,,,,,,,,,bigwig,68874.0,,,bigwig,516524.0,bigwig,,,,,,,,,bigwig,,,2016-04-27 05:39:05.949609,slurm_normal,1461735571.0,0,1.0,main_w2_handler0,2679206,12638404,False,,6841869.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53e958c79b6c9e733'}, {'src': 'hda', 'id': 'bbd44e69cb8906b56c58fe40ea9d12d2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b54e970eac2e306644'}, {'src': 'hda', 'id': 'bbd44e69cb8906b51b0882c6ef4bf4b4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b56be27e3895cb11b5'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,,BED-file,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d49336485060728d'}]","""false""","""""",32.0,98380.0,bed,,29183917,1461735567.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.2.2.0,2.2.2.0,,2016-04-27 05:39:34.746320,81363.0,4.0
