bigwigfiles,bigwigfiles1,bigwigfiles10,bigwigfiles10_filetype,bigwigfiles11,bigwigfiles11_filetype,bigwigfiles12,bigwigfiles12_filetype,bigwigfiles13,bigwigfiles13_filetype,bigwigfiles14,bigwigfiles14_filetype,bigwigfiles15,bigwigfiles15_filetype,bigwigfiles16,bigwigfiles16_filetype,bigwigfiles17,bigwigfiles17_filetype,bigwigfiles18,bigwigfiles18_filetype,bigwigfiles19,bigwigfiles19_filetype,bigwigfiles1_filetype,bigwigfiles2,bigwigfiles20,bigwigfiles20_filetype,bigwigfiles21,bigwigfiles21_filetype,bigwigfiles22,bigwigfiles22_filetype,bigwigfiles23,bigwigfiles23_filetype,bigwigfiles24,bigwigfiles24_filetype,bigwigfiles25,bigwigfiles25_filetype,bigwigfiles26,bigwigfiles26_filetype,bigwigfiles27,bigwigfiles27_filetype,bigwigfiles28,bigwigfiles28_filetype,bigwigfiles29,bigwigfiles29_filetype,bigwigfiles2_filetype,bigwigfiles3,bigwigfiles30,bigwigfiles30_filetype,bigwigfiles31,bigwigfiles31_filetype,bigwigfiles32,bigwigfiles32_filetype,bigwigfiles33,bigwigfiles33_filetype,bigwigfiles34,bigwigfiles34_filetype,bigwigfiles35,bigwigfiles35_filetype,bigwigfiles36,bigwigfiles36_filetype,bigwigfiles37,bigwigfiles37_filetype,bigwigfiles38,bigwigfiles38_filetype,bigwigfiles39,bigwigfiles39_filetype,bigwigfiles3_filetype,bigwigfiles4,bigwigfiles40,bigwigfiles40_filetype,bigwigfiles4_filetype,bigwigfiles5,bigwigfiles5_filetype,bigwigfiles6,bigwigfiles6_filetype,bigwigfiles7,bigwigfiles7_filetype,bigwigfiles8,bigwigfiles8_filetype,bigwigfiles9,bigwigfiles9_filetype,bigwigfiles_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.exonID,parameters.advancedOpt.metagene,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.transcriptID,parameters.advancedOpt.transcript_id_designator,parameters.bigwigfiles.values,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.binSize,parameters.mode.distanceBetweenBins,parameters.mode.modeOpt,parameters.mode.region_file.values,parameters.outRawCounts,parameters.region,processor_count,region_file,region_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
316647100,316647100,,,,,,,,,,,,,,,,,,,,,bigwig,292855785,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,2017-01-09 20:56:46.966573,slurm_multi,1483995634.0,0,6.0,main_w3_handler2,2945860,14719505,False,,8888456,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,no,,,"[{'src': 'hda', 'id': 27826232}, {'src': 'hda', 'id': 27858882}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,10000,0,bins,,"""true""","""""",32.0,,,,35170100,1483995585.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-01-09 21:00:35.735001,93923,49.0
79004854,79004854,,,,,,,,,,,,,,,,,,,,,bigwig,253980099,,,,,,,,,,,,,,,,,,,,,bigwig,115709456.0,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,bigwig,72057.0,72057.0,bed,bed,2017-03-19 12:05:25.047491,slurm_multi,1489925917.0,0,6.0,main_w4_handler2,2746248,15335484,False,,9475690,slurm,,132111800.0,corral-repl,,0,no,,,1.0,"[{'src': 'hda', 'id': 25567315}]",exon,false,yes,transcript,transcript_id,"[{'src': 'hda', 'id': 25961074}, {'src': 'hda', 'id': 28724178}, {'src': 'hda', 'id': 28815598}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,,BED-file,"[{'src': 'hda', 'id': 25556932}]","""true""","""""",32.0,51467.0,bed,,35818390,1489925904.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-03-19 12:18:39.474448,62141,13.0
308523494,308523494,,,,,,,,,,,,,,,,,,,,,bigwig,186923314,,,,,,,,,,,,,,,,,,,,,bigwig,186616174.0,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,bigwig,,,,,2017-03-19 16:20:08.944726,slurm_multi,1489941075.0,0,6.0,main_w3_handler2,2953153,15336712,False,,9476737,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,"[{'src': 'hda', 'id': 27895454}, {'src': 'hda', 'id': 27968959}, {'src': 'hda', 'id': 28826789}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,10000,0,bins,,"""true""","""""",32.0,,,,36700994,1489941015.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-03-19 16:31:17.441725,93923,60.0
124924030,124924030,,,,,,,,,,,,,,,,,,,,,bigwig,51846193,,,,,,,,,,,,,,,,,,,,,bigwig,79004854.0,,,,,,,,,,,,,,,,,,,,,bigwig,253980099.0,,,bigwig,50227266.0,bigwig,115709456.0,bigwig,70465779.0,bigwig,,,,,bigwig,72057.0,72057.0,bed,bed,2017-03-19 23:50:55.978249,slurm_multi,1489969507.0,0,6.0,main_w3_handler2,2746248,15338767,False,,9478567,slurm,,132112168.0,corral-repl,,0,no,,,1.0,"[{'src': 'hda', 'id': 25567315}]",exon,false,yes,transcript,transcript_id,"[{'src': 'hda', 'id': 25956756}, {'src': 'hda', 'id': 25956758}, {'src': 'hda', 'id': 25961074}, {'src': 'hda', 'id': 28724178}, {'src': 'hda', 'id': 28728433}, {'src': 'hda', 'id': 28815598}, {'src': 'hda', 'id': 28829779}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,,BED-file,"[{'src': 'hda', 'id': 25556932}]","""true""","""""",32.0,51467.0,bed,,35818390,1489969489.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-03-20 00:25:09.784641,62141,18.0
113966087,113966087,,,,,,,,,,,,,,,,,,,,,bigwig,124924030,,,,,,,,,,,,,,,,,,,,,bigwig,253980099.0,,,,,,,,,,,,,,,,,,,,,bigwig,70465779.0,,,bigwig,,,,,,,,,,,bigwig,72057.0,72057.0,bed,bed,2017-03-20 01:01:06.841539,slurm_multi,1489972407.0,0,6.0,main_w4_handler2,2746248,15339019,False,,9478711,slurm,,132111800.0,corral-repl,,0,no,,,1.0,"[{'src': 'hda', 'id': 25567315}]",exon,false,yes,transcript,transcript_id,"[{'src': 'hda', 'id': 27582930}, {'src': 'hda', 'id': 25956756}, {'src': 'hda', 'id': 28724178}, {'src': 'hda', 'id': 28830088}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,,BED-file,"[{'src': 'hda', 'id': 25556932}]","""true""","""""",32.0,51467.0,bed,,36714343,1489972377.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-03-20 01:13:28.926035,62141,30.0
222799436,222799436,,,,,,,,,,,,,,,,,,,,,bigwig,246201210,,,,,,,,,,,,,,,,,,,,,bigwig,215515188.0,,,,,,,,,,,,,,,,,,,,,bigwig,172255716.0,,,bigwig,209281493.0,bigwig,208105971.0,bigwig,117831592.0,bigwig,,,,,bigwig,,,,,2017-03-20 06:02:06.231163,slurm_multi,1489991055.0,0,6.0,main_w4_handler2,3031565,15340141,False,,9479742,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,no,,,"[{'src': 'hda', 'id': 28827965}, {'src': 'hda', 'id': 28827985}, {'src': 'hda', 'id': 28827995}, {'src': 'hda', 'id': 28828002}, {'src': 'hda', 'id': 28828020}, {'src': 'hda', 'id': 28828036}, {'src': 'hda', 'id': 28828052}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,10000,0,bins,,"""false""","""""",32.0,,,,36703749,1489990930.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-03-20 06:24:17.222155,102046,125.0
252615307,252615307,,,,,,,,,,,,,,,,,,,,,bigwig,206789771,,,,,,,,,,,,,,,,,,,,,bigwig,233681422.0,,,,,,,,,,,,,,,,,,,,,bigwig,253770228.0,,,bigwig,189680094.0,bigwig,181782221.0,bigwig,226232743.0,bigwig,160359668.0,bigwig,,,bigwig,,,,,2017-03-20 06:07:30.135859,slurm_multi,1489991583.0,0,6.0,main_w4_handler2,3031565,15340169,False,,9479768,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,no,,,"[{'src': 'hda', 'id': 28827865}, {'src': 'hda', 'id': 28827963}, {'src': 'hda', 'id': 28827983}, {'src': 'hda', 'id': 28827996}, {'src': 'hda', 'id': 28828003}, {'src': 'hda', 'id': 28828021}, {'src': 'hda', 'id': 28828038}, {'src': 'hda', 'id': 28828054}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,10000,0,bins,,"""false""","""""",32.0,,,,36703749,1489991458.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-03-20 06:33:05.120547,102046,125.0
116809194,116809194,,,,,,,,,,,,,,,,,,,,,bigwig,100105678,,,,,,,,,,,,,,,,,,,,,bigwig,127085452.0,,,,,,,,,,,,,,,,,,,,,bigwig,43862719.0,,,bigwig,469539.0,bigwig,,,,,,,,,bigwig,,,,,2017-03-20 09:21:04.097926,slurm_multi,1490002630.0,0,6.0,main_w3_handler2,605821,15341034,False,,9480551,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,"[{'src': 'hda', 'id': 28587432}, {'src': 'hda', 'id': 28587444}, {'src': 'hda', 'id': 28587453}, {'src': 'hda', 'id': 28587475}, {'src': 'hda', 'id': 28808580}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,10000,0,bins,,"""false""","""""",32.0,,,,36327803,1490002537.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-03-20 09:37:12.644475,12956,93.0
79004854,79004854,,,,,,,,,,,,,,,,,,,,,bigwig,253980099,,,,,,,,,,,,,,,,,,,,,bigwig,70465779.0,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,bigwig,72057.0,72057.0,bed,bed,2017-03-20 12:57:09.260986,slurm_multi,1490016190.0,0,6.0,main_w4_handler2,2746248,15342744,False,,9482254,slurm,,132112168.0,corral-repl,,0,no,,,1.0,"[{'src': 'hda', 'id': 25567315}]",exon,false,yes,transcript,transcript_id,"[{'src': 'hda', 'id': 25961074}, {'src': 'hda', 'id': 28724178}, {'src': 'hda', 'id': 28830088}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,,BED-file,"[{'src': 'hda', 'id': 25556932}]","""true""","""""",32.0,51467.0,bed,,36623132,1490016177.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-03-20 13:23:12.506885,62141,13.0
79004854,79004854,,,,,,,,,,,,,,,,,,,,,bigwig,253980099,,,,,,,,,,,,,,,,,,,,,bigwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bigwig,72057.0,72057.0,bed,bed,2017-03-20 13:41:15.037137,slurm_multi,1490017937.0,0,6.0,main_w3_handler2,2746248,15343193,False,,9482537,slurm,,132112168.0,corral-repl,,0,no,,,1.0,"[{'src': 'hda', 'id': 25567315}]",exon,false,yes,transcript,transcript_id,"[{'src': 'hda', 'id': 25961074}, {'src': 'hda', 'id': 28724178}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,,BED-file,"[{'src': 'hda', 'id': 25556932}]","""true""","""""",32.0,51467.0,bed,,36714343,1490017920.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.3.6.0,2.3.6.0,,2017-03-20 13:52:20.031242,62141,17.0
