BED,BED1,BED1_filetype,BED2,BED2_filetype,BED3,BED3_filetype,BED4,BED4_filetype,BED5,BED5_filetype,BED_filetype,bamfiles,bamfiles1,bamfiles1_filetype,bamfiles2,bamfiles2_filetype,bamfiles3,bamfiles3_filetype,bamfiles4,bamfiles4_filetype,bamfiles5,bamfiles5_filetype,bamfiles6,bamfiles6_filetype,bamfiles7,bamfiles7_filetype,bamfiles8,bamfiles8_filetype,bamfiles_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.BED.values,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamfiles.values,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.outRawCounts,parameters.region,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
39455,39455,bed,,,,,,,,,bed,222260811,222260811,bam,,,,,,,,,,,,,,,bam,2016-10-13 07:44:09.412438,slurm_normal,1476345482.0,0,1.0,main_w4_handler1,2799986,14070649,False,,8287725.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59bdb5547e6b413ae'}]",0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b525c1406206b2e941'}]","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""png""","""false""","""chrX""",32.0,,32473176,1476345130.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-13 07:58:07.955766,88747,352.0
10224,10224,bed,,,,,,,,,bed,149652713,149652713,bam,,,,,,,,,,,,,,,bam,2016-10-13 05:57:22.039495,slurm_normal,1476338498.0,0,1.0,main_w4_handler0,2807658,14069977,False,,8287004.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57db612548afa2674'}]",0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5be3f91edf2e6c36e'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""png""","""false""","""""",32.0,,32706940,1476338424.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-13 06:01:40.361825,89317,74.0
936237616,936237616,bed,282564718.0,bed,,,,,,,bed,1089051044,1089051044,bam,,,,,,,,,,,,,,,bam,2016-10-13 15:57:39.207817,slurm_normal,1476389136.0,0,1.0,main_w3_handler1,2502268,14074431,False,,8291382.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5668821b047e659d7'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5ef16f0bcd60ddd15'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f3d5767d53186096'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""pdf""","""true""","""""",32.0,,32472471,1476375404.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-13 20:06:09.398038,2621,13732.0
646869,646869,bed,,,,,,,,,bed,292393332,292393332,bam,287254287.0,bam,328647254.0,bam,363811639.0,bam,331671955.0,bam,469245785.0,bam,436787689.0,bam,463262176.0,bam,bam,2016-10-14 00:02:19.381260,slurm_normal,1476406244.0,0,1.0,main_w4_handler1,2852919,14077772,False,,8294550.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f19e17dade226e67'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f251b1b248365f85'}, {'src': 'hda', 'id': 'bbd44e69cb8906b50ffebb7a49d50d72'}, {'src': 'hda', 'id': 'bbd44e69cb8906b503c7008887e9f4dc'}, {'src': 'hda', 'id': 'bbd44e69cb8906b50990d9b5fefcfbec'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5c1d0cf8e208c4095'}, {'src': 'hda', 'id': 'bbd44e69cb8906b544625b294cd6400f'}, {'src': 'hda', 'id': 'bbd44e69cb8906b597bbb503519374eb'}, {'src': 'hda', 'id': 'bbd44e69cb8906b52bdf737949e46393'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""png""","""false""","""""",32.0,,32088976,1476403581.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-14 00:50:47.365071,67966,2663.0
2001,2001,bed,,,,,,,,,bed,1660289173,1660289173,bam,,,,,,,,,,,,,,,bam,2016-10-14 13:30:01.645812,slurm_normal,1476452132.0,0,1.0,main_w4_handler0,2851461,14082146,False,,8298503.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a829309ec790296f'}]",0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52111580ec99ac85c'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""png""","""false""","""""",32.0,,32341064,1476451987.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-14 13:35:35.651811,79119,145.0
52167,52167,bed,3021468.0,bed,494561.0,bed,,,,,bed,1884092361,1884092361,bam,,,,,,,,,,,,,,,bam,2016-10-18 12:10:25.238651,slurm_normal,1476794159.0,0,1.0,main_w3_handler1,2837437,14107690,False,,8322321.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c282d289d885f043'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59df71d739b5eeaa6'}, {'src': 'hda', 'id': 'bbd44e69cb8906b57bc14a57d258c83d'}]",0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5340160db4d39b660'}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""png""","""false""","""""",32.0,,32496435,1476792929.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-18 12:36:11.391113,70838,1230.0
999976,999976,bed,,,,,,,,,bed,1884092361,1884092361,bam,2692355202.0,bam,2571318035.0,bam,1722852657.0,bam,2517269361.0,bam,2709304095.0,bam,,,,,bam,2016-10-18 12:28:56.587103,slurm_normal,1476801463.0,0,1.0,main_w4_handler0,2837437,14107779,False,,8322364.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52fda7651ccaf20f8'}]",0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5340160db4d39b660'}, {'src': 'hda', 'id': 'bbd44e69cb8906b588379ee0326373b2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5683bc343e9a0da89'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5fd1181b571e043d5'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5262fdc12827e9521'}, {'src': 'hda', 'id': 'bbd44e69cb8906b55240ef9324df8fd5'}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""png""","""false""","""""",32.0,,32496435,1476793924.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-18 14:38:47.946726,70838,7539.0
1003399,1003399,bed,,,,,,,,,bed,6955762,6955762,bam,200380579.0,bam,1160076165.0,bam,692270749.0,bam,,,,,,,,,bam,2016-10-18 16:44:55.461123,slurm_normal,1476811231.0,0,1.0,main_w4_handler1,2835343,14110580,False,,8324843.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5762175ff2326fc97'}]",0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5186f8d881ed9da6d'}, {'src': 'hda', 'id': 'bbd44e69cb8906b54f0e00a0c9a2cf68'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5413a3fd47f6c0ab2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59c389acded2c4109'}]","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""pdf""","""false""","""""",32.0,,33659886,1476809501.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-18 17:20:47.555850,61250,1730.0
4058463,4058463,bed,,,,,,,,,bed,693816438,693816438,bam,,,,,,,,,,,,,,,bam,2016-10-19 00:43:43.231092,slurm_normal,1476838869.0,0,1.0,main_w3_handler1,2858168,14113173,False,,8327972.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57f322663574ed8e1'}]",0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bdbd9953af1a4a11'}]","""/galaxy-repl/localdata/chrom/mm10Patch1.len""","""mm10Patch1""","""png""","""false""","""""",32.0,,33762920,1476838205.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-19 01:01:17.807580,92367,664.0
1790940,1790940,gtf,,,,,,,,,gtf,429577468,429577468,bam,591499387.0,bam,,,,,,,,,,,,,bam,2016-10-20 10:15:20.779419,slurm_normal,1476958895.0,0,1.0,main_w3_handler1,2850745,14128347,False,,8342775.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5373ebb5cee107507'}]",0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53954d3407b5b17c1'}, {'src': 'hda', 'id': 'bbd44e69cb8906b58af85fe553b2e40a'}]","""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""","""png""","""false""","""""",32.0,,33600927,1476958752.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-20 10:21:39.208465,50553,143.0
333994,333994,bed,,,,,,,,,bed,856024315,856024315,bam,683704505.0,bam,600312146.0,bam,999418172.0,bam,586537412.0,bam,699222858.0,bam,,,,,bam,2016-10-20 12:14:54.579953,slurm_normal,1476967165.0,0,1.0,main_w4_handler0,2854578,14129773,False,,8344190.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50aef13adfca253d3'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fbdccc94da14aff2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b58a9b55e6af15c2e3'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5a9f3468c37d2b6f7'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b4e9bec3972d0fd4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b815103ecabf06ad'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59f730b0b82eb85b2'}]","""/galaxy-repl/main/files/017/494/dataset_17494598.dat""","""SC5314 A22""","""png""","""false""","""""",32.0,,33519497,1476965994.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-20 12:39:29.125378,77683,1171.0
750,750,bed,,,,,,,,,bed,856024315,856024315,bam,683704505.0,bam,600312146.0,bam,999418172.0,bam,586537412.0,bam,699222858.0,bam,,,,,bam,2016-10-20 14:26:03.276384,slurm_normal,1476975791.0,0,1.0,main_w3_handler1,2854578,14131131,False,,8345457.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dc3b79722275a267'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fbdccc94da14aff2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b58a9b55e6af15c2e3'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5a9f3468c37d2b6f7'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b4e9bec3972d0fd4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b815103ecabf06ad'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59f730b0b82eb85b2'}]","""/galaxy-repl/main/files/017/494/dataset_17494598.dat""","""SC5314 A22""","""png""","""false""","""""",32.0,,33824132,1476974123.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-20 15:03:42.000228,77683,1668.0
5243,5243,bed,,,,,,,,,bed,856024315,856024315,bam,683704505.0,bam,600312146.0,bam,999418172.0,bam,586537412.0,bam,699222858.0,bam,,,,,bam,2016-10-21 07:04:14.810177,slurm_normal,1477034447.0,0,1.0,main_w3_handler1,2854578,14136872,False,,8350803.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b527badd21144ddbfb'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fbdccc94da14aff2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b58a9b55e6af15c2e3'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5a9f3468c37d2b6f7'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b4e9bec3972d0fd4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b815103ecabf06ad'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59f730b0b82eb85b2'}]","""/galaxy-repl/main/files/017/494/dataset_17494598.dat""","""SC5314 A22""","""png""","""true""","""""",32.0,,33824132,1477033631.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-21 07:20:49.439922,77683,816.0
750,750,bed,,,,,,,,,bed,856024315,856024315,bam,683704505.0,bam,600312146.0,bam,999418172.0,bam,586537412.0,bam,699222858.0,bam,,,,,bam,2016-10-21 07:02:40.601732,slurm_normal,1477034316.0,0,1.0,main_w3_handler0,2854578,14136867,False,,8350800.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dc3b79722275a267'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fbdccc94da14aff2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b58a9b55e6af15c2e3'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5a9f3468c37d2b6f7'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b4e9bec3972d0fd4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b815103ecabf06ad'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59f730b0b82eb85b2'}]","""/galaxy-repl/main/files/017/494/dataset_17494598.dat""","""SC5314 A22""","""png""","""false""","""""",32.0,,33824132,1477033522.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-21 07:18:38.193932,77683,794.0
654,654,bed,,,,,,,,,bed,25743954,25743954,bam,26607004.0,bam,23813300.0,bam,17621684.0,bam,,,,,,,,,bam,2016-10-23 15:00:33.061753,slurm_normal,1477235197.0,0,1.0,main_w4_handler1,2854046,14151004,False,,8362930.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fe75c50da572dca8'}]",0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55a09d47ebcdaf539'}, {'src': 'hda', 'id': 'bbd44e69cb8906b529bef31e4cf163e9'}, {'src': 'hda', 'id': 'bbd44e69cb8906b519e2450eafe41415'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5fd23b410a56b0162'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""png""","""true""","""chr2""",32.0,,33670547,1477235019.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-23 15:06:39.779559,40000,178.0
306560,306560,bed6,,,,,,,,,bed6,60685412,60685412,bam,,,,,,,,,,,,,,,bam,2016-10-23 20:45:17.483494,slurm_normal,1477255875.0,0,1.0,main_w4_handler0,2865681,14152672,False,,8364277.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fdbb744251d37800'}]",0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57ad19025020b9e95'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""png""","""false""","""""",32.0,,33578016,1477255788.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-23 20:51:17.741084,91933,87.0
25,25,bed,,,,,,,,,bed,1359392,1359392,bam,,,,,,,,,,,,,,,bam,2016-10-24 15:12:14.928462,slurm_normal,1477322574.0,0,1.0,main_w4_handler0,2835860,14159093,False,,8370314.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59bf7afac64bcc3d9'}]",0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b37c80ae8e72088a'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""png""","""false""","""""",32.0,,33779776,1477322172.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.5.0,2.3.5.0,,2016-10-24 15:22:56.559379,60534,402.0
