chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.alpha,parameters.advancedOpt.averageTypeSummaryPlot,parameters.advancedOpt.colorList,parameters.advancedOpt.colorMap,parameters.advancedOpt.endLabel,parameters.advancedOpt.heatmapHeight,parameters.advancedOpt.heatmapWidth,parameters.advancedOpt.missingDataColor,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotTitle,parameters.advancedOpt.referencePointLabel,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.sortRegions,parameters.advancedOpt.sortUsing,parameters.advancedOpt.startLabel,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.k_kmeans,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.whatToShow,parameters.advancedOpt.xAxisLabel,parameters.advancedOpt.yAxisLabel,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.advancedOpt.zMax,parameters.advancedOpt.zMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.dpi,parameters.output.outFileFormat,parameters.output.saveMatrix,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-04-09 18:04:35.043750,slurm_normal,1491761282.0,0,1.0,main_w4_handler1,3014467,15535159,False,,9660920.roundup,slurm,,193476,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,1.0,mean,,"['Oranges', 'Greens']",CPS,25.0,7.5,black,false,,CPS,,,yes,descend,mean,TSS,0.0,2.0,none,,,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/Schizosaccharomyces_pombe_1.1.len""","""Schizosaccharomyces_pombe_1.1""",,"[{'src': 'hda', 'id': 29141114}]",1,300,png,false,false,yes,32.0,,37195883.0,1491761252.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.6.0,2.3.6.0,,2017-04-09 18:08:03.351436,99151,30.0
,,2017-02-20 23:05:35.313269,slurm_normal,1487632056.0,0,1.0,main_w3_handler1,2960751,15090611,False,,9245673.roundup,slurm,,3622366,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,1.0,mean,,['RdBu'],+3000,10.0,4.0,black,false,,TSS,,"""DMSO K27ac"" ""Corin2 K27ac"" ""DMSO K27me3"" ""Corin2 K27me3""",yes,descend,mean,-3000,0.0,2.0,none,,,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19Patch2.len""","""hg19Patch2""",,"[{'src': 'hda', 'id': 28404624}]",1,600,png,false,false,yes,32.0,,35201334.0,1487632028.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.6.0,2.3.6.0,,2017-02-20 23:07:39.246406,93636,28.0
,,2017-02-20 23:08:24.681480,slurm_normal,1487632223.0,0,1.0,main_w3_handler0,3003195,15090624,False,,9245697.roundup,slurm,,142126,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",,"[{'src': 'hda', 'id': 28436403}]",0,,,,,no,32.0,,36181470.0,1487632196.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.6.0,2.3.6.0,,2017-02-20 23:10:25.818533,100540,27.0
,,2017-02-20 23:11:42.381093,slurm_normal,1487632413.0,0,1.0,main_w4_handler1,2960751,15090645,False,,9245744.roundup,slurm,,3622366,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,1.0,mean,,['Blues'],+3000,10.0,4.0,black,false,,TSS,,"""DMSO K27ac"" ""Corin2 K27ac"" ""DMSO K27me3"" ""Corin2 K27me3""",yes,descend,mean,-3000,0.0,2.0,none,,,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19Patch2.len""","""hg19Patch2""",,"[{'src': 'hda', 'id': 28404624}]",1,600,png,false,false,yes,32.0,,35201334.0,1487632395.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.6.0,2.3.6.0,,2017-02-20 23:13:36.104997,93636,18.0
,,2017-06-03 01:13:10.053301,slurm_normal,1496452539.0,0,1.0,main_w4_handler1,3014467,16003370,False,,10097419.roundup,slurm,,122636,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,1.0,mean,,['Oranges'],CPS,25.0,7.5,black,true,,CPS,genes,genes,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",Distance from CPS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/Schizosaccharomyces_pombe_1.1.len""","""Schizosaccharomyces_pombe_1.1""",,"[{'src': 'hda', 'id': 29869798}]",1,300,png,false,false,yes,32.0,,37315298.0,1496452525.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.6.0,2.3.6.0,,2017-06-03 01:15:41.864973,99151,14.0
,,2017-02-20 23:58:00.914065,slurm_normal,1487635369.0,0,1.0,main_w4_handler0,2960751,15090963,False,,9246055.roundup,slurm,,3622366,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,1.0,mean,,['YlGnBu_r'],+3000,10.0,3.0,black,false,,TSS,,"""DMSO K27ac"" ""Corin2 K27ac"" ""DMSO K27me3"" ""Corin2 K27me3""",yes,descend,mean,-3000,0.0,2.0,none,,,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19Patch2.len""","""hg19Patch2""",,"[{'src': 'hda', 'id': 28404624}]",1,600,png,false,false,yes,32.0,,35201334.0,1487635339.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.6.0,2.3.6.0,,2017-02-21 00:02:52.780803,93636,30.0
,,2017-02-20 23:54:22.479764,slurm_normal,1487635018.0,0,1.0,main_w3_handler0,3003195,15090933,False,,9246016.roundup,slurm,,93615,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,white,false,,TSS,,,yes,no,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",,"[{'src': 'hda', 'id': 28436655}]",0,,,,,no,32.0,,36181470.0,1487634978.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.6.0,2.3.6.0,,2017-02-20 23:57:00.516198,100540,40.0
,,2017-02-20 23:42:43.224855,slurm_normal,1487634528.0,0,1.0,main_w4_handler0,2960751,15090894,False,,9245980.roundup,slurm,,3622366,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,1.0,mean,,['Purples'],+3000,10.0,4.0,black,false,,TSS,,"""DMSO K27ac"" ""Corin2 K27ac"" ""DMSO K27me3"" ""Corin2 K27me3""",yes,descend,mean,-3000,0.0,2.0,none,,,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19Patch2.len""","""hg19Patch2""",,"[{'src': 'hda', 'id': 28404624}]",1,600,png,false,false,yes,32.0,,35201334.0,1487634503.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.6.0,2.3.6.0,,2017-02-20 23:48:54.431208,93636,25.0
,,2017-02-20 23:34:28.302071,slurm_normal,1487633788.0,0,1.0,main_w4_handler1,2960751,15090784,False,,9245865.roundup,slurm,,3622366,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,1.0,mean,,['YlGnBu'],+3000,10.0,4.0,black,false,,TSS,,"""DMSO K27ac"" ""Corin2 K27ac"" ""DMSO K27me3"" ""Corin2 K27me3""",yes,descend,mean,-3000,0.0,2.0,none,,,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19Patch2.len""","""hg19Patch2""",,"[{'src': 'hda', 'id': 28404624}]",1,600,png,false,false,yes,32.0,,35201334.0,1487633763.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.6.0,2.3.6.0,,2017-02-20 23:36:31.267823,93636,25.0
,,2017-02-21 18:51:08.546178,slurm_normal,1487703542.0,0,1.0,main_w3_handler0,1647869,15098025,False,,9253084.roundup,slurm,,4667375,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,1.0,mean,,['RdYlBu'],,25.0,7.5,black,false,,,,,yes,no,mean,,0.0,2.0,none,,,no,"plot, heatmap and colorbar",,,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 28448912}]",0,,,,,no,32.0,,36069555.0,1487703458.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.6.0,2.3.6.0,,2017-02-21 18:59:07.361736,38120,84.0
