create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,memtotal,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageType,parameters.advancedOpt.colors,parameters.advancedOpt.outFileNameData,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotHeight,parameters.advancedOpt.plotTitle,parameters.advancedOpt.plotType,parameters.advancedOpt.plotWidth,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.k_kmeans,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.dpi,parameters.output.outFileFormat,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.scaleRegions.__current_case__,parameters.scaleRegions.endLabel,parameters.scaleRegions.showScaleRegionsOpt,parameters.scaleRegions.startLabel,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-12 07:54:06.055673,slurm_normal,1476259167.0,0,1.0,main_w3_handler0,2838493,14061347,False,,8278157.roundup,slurm,,2569290,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,10,,lines,22,,,yes,0.0,2.0,none,,,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57317eabc085b663c'}]",1,600,pdf,false,yes,1,TES,yes,TSS,32.0,,32713793,1476259154.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-12 07:59:29.248333,38685,13.0
2016-10-12 07:29:59.266212,slurm_normal,1476257618.0,0,1.0,main_w4_handler1,2838493,14061224,False,,8278014.roundup,slurm,,2324595,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,false,10,,lines,22,,,yes,0.0,2.0,none,,,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b520201014549c5194'}]",1,600,pdf,false,yes,1,TES,yes,TSS,32.0,,32713793,1476257601.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-12 07:33:41.711010,38685,17.0
2016-10-12 07:43:57.238695,slurm_normal,1476258508.0,0,1.0,main_w4_handler1,2838493,14061299,False,,8278093.roundup,slurm,,1795777,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,10,,lines,22,,,yes,0.0,2.0,none,,,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b513109785bee085e7'}]",1,600,pdf,false,yes,1,TES,yes,TSS,32.0,,32713793,1476258457.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-12 07:48:31.606781,38685,51.0
2016-10-12 19:54:35.851783,slurm_normal,1476302449.0,0,1.0,main_w3_handler1,1971585,14066837,False,,8283969.roundup,slurm,,5696758,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,5,Fold change in kin28as,lines,11,,Taf1,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b524673e81c53f0b5e'}]",1,200,png,false,yes,1,TES,yes,TSS,32.0,,33633305,1476302429.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-12 20:00:52.721767,51000,20.0
2016-10-12 18:03:11.237289,slurm_normal,1476300101.0,0,1.0,main_w3_handler0,2804823,14066144,False,,8283722.roundup,slurm,,40350,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,false,5,,lines,11,,DHS_NM6h DHS_NM0h DHS_NM3h,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5389aa5c327bfbaab'}]",0,,,,no,1,End,yes,Start,32.0,,33634181,1476300084.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-12 19:21:44.890206,89184,17.0
2016-10-12 19:41:38.315871,slurm_normal,1476304745.0,0,1.0,main_w3_handler0,2804823,14066767,False,,8284130.roundup,slurm,,25940,deeptools_compute_matrix_archive,132112168.0,corral-repl,,0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59df5d8afdd25b386'}]",0,,,,no,1,TES,yes,TSS,32.0,,33634181,1476304707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-12 20:39:07.088037,89184,38.0
2016-10-12 19:45:03.921924,slurm_normal,1476306381.0,0,1.0,main_w4_handler1,2804823,14066786,False,,8284308.roundup,slurm,,8913905,deeptools_compute_matrix_archive,132112168.0,corral-repl,,0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e9f1ac5d23ea6ef8'}]",0,,,,no,0,,no,,32.0,,33634181,1476306361.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-12 21:06:24.414695,89184,20.0
2016-10-13 08:29:43.203356,slurm_normal,1476348089.0,0,1.0,main_w3_handler1,2799745,14071179,False,,8288236.roundup,slurm,,31350,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,5,,lines,11,,RNA_seq_NM0h RNA_seq_NM3h RNA_seq_NM6h,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5eb498880eb73f2f5'}]",0,,,,no,1,TES,yes,TSS,32.0,,33649008,1476348078.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-13 08:41:31.299640,88896,11.0
2016-10-13 08:45:16.752203,slurm_normal,1476348834.0,0,1.0,main_w3_handler1,2799745,14071275,False,,8288340.roundup,slurm,,315672,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,5,,lines,11,,RNA_seq_NM0h RNA_seq_NM3h RNA_seq_NM6h,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54c27fe87f977491d'}]",0,,,,no,1,TES,yes,TSS,32.0,,33649008,1476348816.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-13 08:53:56.303784,88896,18.0
2016-10-13 15:42:11.388090,slurm_normal,1476374247.0,0,1.0,main_w3_handler1,2837731,14074311,False,,8291219.roundup,slurm,,6173721,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,5,H3 distrubution on repressed genes ,lines,11,,H3,yes,0.0,2.0,none,,,no,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5611253a7e0dc58aa'}]",0,,,,no,1,TTS,yes,TSS,32.0,,33654434,1476374214.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-13 15:57:29.569208,51951,33.0
