chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.complement,parameters.count,parameters.dbkey,parameters.infile,parameters.infile.values,parameters.infile|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-02-16 12:27:50.358976,slurm_normal,1518784080.0,0,7680.0,1.0,main_w4_handler1,3422164,18410274,False,148755,tabular,,12496273,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""""","""5""","""hg38""",,"[{'src': 'hda', 'id': 33896362}]",,32.0,,43781165.0,1518784078.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2018-02-16 12:28:04.009920,121584.0,2.0
,,2018-02-21 01:46:11.730461,slurm_normal,1519177583.0,0,7680.0,1.0,main_w4_handler1,3378281,18454714,False,7847590,bed,,12549686,slurm,,132112168.0,corral-repl,,"""fd17497616a811e8b605005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""""","""1""","""mm9""",,"[{'src': 'hda', 'id': 33126887}]",,32.0,,,1519177581.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2018-02-21 01:46:24.881021,117857.0,2.0
,,2018-02-27 14:28:47.677914,slurm_normal,1519741736.0,0,7680.0,1.0,main_w4_handler0,3444739,18535720,False,148755,tabular,,12632277,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""""","""5""","""hg38""",,"[{'src': 'hda', 'id': 34096175}]",,32.0,,44195880.0,1519741734.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2018-02-27 14:28:57.615912,122607.0,2.0
,,2016-04-26 11:17:22.931456,slurm_normal,1461669457.0,0,,1.0,main_w1_handler1,2377662,12622220,False,521282,interval,,6825237.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""""","""1000""","""danRer7""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5acc7cce27b12adc0'}]",,32.0,,29830297.0,1461669454.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-26 11:17:42.279840,14166.0,3.0
,,2016-10-11 22:49:51.145303,slurm_normal,1476226202.0,0,,1.0,main_w4_handler0,2834439,14058646,False,7847550,interval,,8275872.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""""","""1""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b559efaf29a82e0c94'}]",,32.0,,33616241.0,1476226194.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-10-11 22:50:06.331535,90496.0,8.0
,,2016-10-11 22:29:27.477589,slurm_normal,1476225015.0,0,,1.0,main_w4_handler1,2848569,14058549,False,7847550,interval,,8275787.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""""","""1""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53f2ce438c6d57a7a'}]",,32.0,,33616259.0,1476224982.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-10-11 22:30:19.983882,90430.0,33.0
,,2016-04-26 11:39:12.420736,slurm_normal,1461670786.0,0,,1.0,main_w1_handler0,2377662,12622343,False,235396,interval,,6825499.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""""","""1000""","""danRer7""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56d3ab3a1f430cc69'}]",,32.0,,29830579.0,1461670783.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-26 11:39:49.644092,14166.0,3.0
,,2016-04-26 11:18:52.374993,slurm_normal,1461669555.0,0,,1.0,main_w1_handler2,2377662,12622236,False,0,interval,,6825283.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""""","""1000""","""danRer7""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59dcc3647e111e4ea'}]",,32.0,,29830297.0,1461669552.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-26 11:19:19.111106,14166.0,3.0
,,2016-04-26 11:33:43.493797,slurm_normal,1461670439.0,0,,1.0,main_w1_handler2,2377662,12622304,False,425967,interval,,6825451.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""""","""1000""","""danRer7""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5501e540ebd562089'}]",,32.0,,29830579.0,1461670436.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-26 11:34:01.570870,14166.0,3.0
,,2016-04-26 11:34:32.277878,slurm_normal,1461670491.0,0,,1.0,main_w2_handler1,2377662,12622312,False,330719,interval,,6825462.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""""","""1000""","""danRer7""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56d7fe319d438f39d'}]",,32.0,,29830579.0,1461670488.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0,1.0.0,,2016-04-26 11:34:53.214428,14166.0,3.0
