create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.grouping.__current_case__,parameters.grouping.count,parameters.grouping.group,parameters.grouping.grouping_select,parameters.grouping.repeated,parameters.grouping.uniqueonly,parameters.ignorecase,parameters.infile.values,parameters.infile|__identifier__,parameters.skipfields,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-02 19:52:01.726740,slurm_normal,1514922730.0,0,,1.0,main_w3_handler1,3363222,17932386,False,1366586,bed,,12008498,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",0,false,,no,false,true,"""false""","[{'src': 'hda', 'id': 33150390}]",,"""0""",32.0,,42618656.0,1514922725.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-02 19:52:13.250733,118524.0,5.0
2018-01-02 22:09:33.808950,slurm_normal,1514930984.0,0,,1.0,main_w4_handler0,3363222,17933208,False,942058,bed,,12009304,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",0,false,,no,false,true,"""false""","[{'src': 'hda', 'id': 33151504}]",,"""0""",32.0,,42618656.0,1514930977.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-02 22:09:45.755506,118524.0,7.0
2018-01-26 17:03:27.789302,slurm_normal,1516986363.0,0,,1.0,main_w3_handler1,3406069,18167990,False,1053452183,tabular,,12249539,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,,separate,yes,,,"""false""","[{'src': 'hda', 'id': 33512821}]",,"""0""",32.0,,43450699.0,1516986330.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-26 17:06:06.040737,109870.0,33.0
2018-01-26 21:39:46.353840,reserved_normal,1517002973.0,0,,1.0,main_w4_handler1,3406787,18171245,False,232,tabular,,12252335.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,true,,no,true,false,"""false""","[{'src': 'hda', 'id': 33524375}]","""featureCounts on data 61 and data 55: summary (8)""","""0""",32.0,,42691248.0,1517002968.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-26 21:44:43.015986,5254.0,5.0
2018-01-26 21:39:40.078354,reserved_normal,1517002841.0,0,,1.0,main_w4_handler0,3406787,18171233,False,232,tabular,,12252309.roundup,slurm,,132111800.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,true,,no,true,false,"""false""","[{'src': 'hda', 'id': 33524358}]","""featureCounts on data 61 and data 59: summary (3)""","""0""",32.0,,42691248.0,1517002832.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-26 21:41:02.832009,5254.0,9.0
2018-01-26 21:39:50.862195,reserved_normal,1517002998.0,0,,1.0,main_w4_handler1,3406787,18171253,False,232,tabular,,12252339.roundup,slurm,,132111800.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,true,,no,true,false,"""false""","[{'src': 'hda', 'id': 33524381}]","""featureCounts on data 61 and data 52: summary (12)""","""0""",32.0,,42691248.0,1517002979.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-26 21:44:52.189880,5254.0,19.0
2018-01-26 21:39:51.102551,reserved_normal,1517002852.0,0,,1.0,main_w4_handler0,3406787,18171254,False,232,tabular,,12252314.roundup,slurm,,132111800.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,true,,no,true,false,"""false""","[{'src': 'hda', 'id': 33524382}]","""featureCounts on data 61 and data 58: summary (13)""","""0""",32.0,,42691248.0,1517002843.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-26 21:41:03.800864,5254.0,9.0
2018-01-26 21:39:57.007185,reserved_normal,1517003027.0,0,,1.0,main_w4_handler1,3406787,18171266,False,232,tabular,,12252352.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,true,,no,true,false,"""false""","[{'src': 'hda', 'id': 33524395}]","""featureCounts on data 61 and data 50: summary""","""0""",32.0,,42691248.0,1517003022.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-26 21:45:34.750446,5254.0,5.0
2018-01-26 21:39:41.165451,reserved_normal,1517002829.0,0,,1.0,main_w3_handler1,3406787,18171235,False,232,tabular,,12252303.roundup,slurm,,132111800.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,true,,no,true,false,"""false""","[{'src': 'hda', 'id': 33524361}]","""featureCounts on data 61 and data 56: summary""","""0""",32.0,,42691248.0,1517002817.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-26 21:40:38.902380,5254.0,12.0
2018-01-26 21:39:57.518119,reserved_normal,1517002889.0,0,,1.0,main_w3_handler1,3406787,18171267,False,232,tabular,,12252320.roundup,slurm,,132111800.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,true,,no,true,false,"""false""","[{'src': 'hda', 'id': 33524396}]","""featureCounts on data 61 and data 60: summary""","""0""",32.0,,42691248.0,1517002881.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-26 21:41:36.936179,5254.0,8.0
2018-01-26 21:39:51.541561,reserved_normal,1517003262.0,0,,1.0,main_w3_handler0,3406787,18171256,False,232,tabular,,12252380.roundup,slurm,,132109816.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,true,,no,true,false,"""false""","[{'src': 'hda', 'id': 33524384}]","""featureCounts on data 61 and data 56: summary (15)""","""0""",32.0,,42691248.0,1517003251.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-26 21:47:50.910195,5254.0,11.0
2018-01-26 21:39:39.546663,reserved_normal,1517002804.0,0,,1.0,main_w3_handler1,3406787,18171232,False,232,tabular,,12252297.roundup,slurm,,132111800.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,true,,no,true,false,"""false""","[{'src': 'hda', 'id': 33524357}]","""featureCounts on data 61 and data 58: summary (2)""","""0""",32.0,,42691248.0,1517002797.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-26 21:40:18.060173,5254.0,7.0
2018-01-26 21:39:55.665681,reserved_normal,1517002841.0,0,,1.0,main_w3_handler1,3406787,18171262,False,232,tabular,,12252311.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,true,,no,true,false,"""false""","[{'src': 'hda', 'id': 33524389}]","""featureCounts on data 61 and data 52: summary (20)""","""0""",32.0,,42691248.0,1517002835.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-26 21:40:45.233257,5254.0,6.0
2018-01-26 21:39:55.432931,reserved_normal,1517003269.0,0,,1.0,main_w3_handler0,3406787,18171261,False,232,tabular,,12252384.roundup,slurm,,132109816.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,true,,no,true,false,"""false""","[{'src': 'hda', 'id': 33524388}]","""featureCounts on data 61 and data 53: summary (19)""","""0""",32.0,,42691248.0,1517003257.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-26 21:47:55.093554,5254.0,12.0
2018-01-26 21:39:42.225227,reserved_normal,1517002830.0,0,,1.0,main_w3_handler1,3406787,18171237,False,232,tabular,,12252304.roundup,slurm,,132111800.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,true,,no,true,false,"""false""","[{'src': 'hda', 'id': 33524367}]","""featureCounts on data 61 and data 59: summary (5)""","""0""",32.0,,42691248.0,1517002819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-26 21:40:43.024972,5254.0,11.0
2018-01-26 21:39:53.468373,reserved_normal,1517003268.0,0,,1.0,main_w3_handler0,3406787,18171258,False,232,tabular,,12252381.roundup,slurm,,132109816.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,true,,no,true,false,"""false""","[{'src': 'hda', 'id': 33524386}]","""featureCounts on data 61 and data 55: summary (17)""","""0""",32.0,,42691248.0,1517003256.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.0,1.1.0,,2018-01-26 21:47:54.653058,5254.0,12.0
