alleles,alleles_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.alleles,parameters.alleles.values,parameters.alleles|__identifier__,parameters.chromInfo,parameters.dbkey,parameters.seq_length,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
162031,tabular,,,2015-04-01 14:30:00.260710,rodeo_normal,1427898629.0,0,1.0,main_w2_handler0,2251892,9114388,False,,3400236.roundup,slurm,,132112168.0,corral-repl,,,19104508,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""16569""",32.0,,22073410.0,1427898619.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1,0.0.1,,2015-04-01 14:30:36.836076,49083.0,10.0
152436,tabular,,,2015-04-01 15:09:37.640795,rodeo_normal,1427900997.0,0,1.0,main_w1_handler0,2251892,9115193,False,,3400967.roundup,slurm,,132112168.0,corral-repl,,,19105578,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""16569""",32.0,,22073410.0,1427900992.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1,0.0.1,,2015-04-01 15:10:00.193714,49083.0,5.0
55235,tabular,,,2015-04-03 16:03:32.011807,slurm_normal,1428077025.0,0,1.0,main_w1_handler1,2251892,9134921,False,,3418017.roundup,slurm,,132112168.0,corral-repl,,,19105770,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""3000""",32.0,,22238856.0,1428077021.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1,0.0.1,,2015-04-03 16:03:48.086979,49083.0,4.0
1187429,tabular,,,2015-04-20 10:34:03.563253,slurm_normal,1429526478.0,0,1.0,main_w2_handler0,1636949,9274130,False,,3570484.roundup,slurm,,132112168.0,corral-repl,,"""c114010ee74811e4b24a005056a51846""",19378269,,,"""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""","""17245""",32.0,,22591883.0,1429526475.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1,0.0.1,,2015-04-20 10:41:25.949606,39900.0,3.0
1164793,tabular,,,2015-04-20 10:24:17.912888,slurm_normal,1429525598.0,0,1.0,main_w1_handler0,1636949,9273971,False,,3569871.roundup,slurm,,132112168.0,corral-repl,,"""6444714ee74711e48bfb005056a52a46""",19377936,,,"""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""","""17245""",32.0,,22591883.0,1429525595.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1,0.0.1,,2015-04-20 10:26:47.701590,39900.0,3.0
1164538,tabular,,,2015-04-20 09:53:19.287834,slurm_normal,1429523761.0,0,1.0,main_w2_handler0,1636949,9273575,False,,3568971.roundup,slurm,,132112168.0,corral-repl,,"""1035d5d8e74311e48c69005056a52a46""",19377120,,,"""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""","""17245""",32.0,,22591883.0,1429523758.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1,0.0.1,,2015-04-20 09:56:03.962109,39900.0,3.0
1164793,tabular,,,2015-04-20 09:57:28.668292,slurm_normal,1429524006.0,0,1.0,main_w2_handler0,1636949,9273669,False,,3569124.roundup,slurm,,132112168.0,corral-repl,,"""a01f6344e74311e48c69005056a52a46""",19377225,,,"""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""","""17245""",32.0,,22591883.0,1429524003.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1,0.0.1,,2015-04-20 10:00:08.474943,39900.0,3.0
1187025,tabular,,,2015-04-20 10:51:33.006511,slurm_normal,1429527501.0,0,1.0,main_w2_handler0,1636949,9274447,False,,3571040.roundup,slurm,,132112168.0,corral-repl,,"""34052c54e74b11e4b1d7005056a51846""",19378637,,,"""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""","""17245""",32.0,,22591883.0,1429527498.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1,0.0.1,,2015-04-20 10:58:28.119282,39900.0,3.0
1187025,tabular,,,2015-04-20 13:02:24.095793,slurm_normal,1429535335.0,0,1.0,main_w2_handler0,1636949,9276225,False,,3575484.roundup,slurm,,132112168.0,corral-repl,,"""7a7309cee75d11e4b24a005056a51846""",19381211,,,"""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""","""17245""",32.0,,22591883.0,1429535314.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1,0.0.1,,2015-04-20 13:08:58.988015,39900.0,21.0
1141149,tabular,,,2015-04-20 14:00:38.432330,slurm_normal,1429538598.0,0,1.0,main_w2_handler1,1636949,9277623,False,,3577784.roundup,slurm,,132112168.0,corral-repl,,"""9cea1440e76511e483dd005056a51846""",19383062,,,"""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""","""17245""",32.0,,22591883.0,1429538552.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1,0.0.1,,2015-04-20 14:03:25.989658,39900.0,46.0
1141149,tabular,,,2015-04-20 14:24:48.086801,slurm_normal,1429540037.0,0,1.0,main_w2_handler0,1636949,9278503,False,,3578924.roundup,slurm,,132112168.0,corral-repl,,"""fa6d0c00e76811e4a75d005056a52a46""",19384090,,,"""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""","""17245""",32.0,,22591883.0,1429540019.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1,0.0.1,,2015-04-20 14:27:25.692906,39900.0,18.0
1161234,tabular,,,2015-04-20 14:54:19.653136,slurm_normal,1429541808.0,0,1.0,main_w2_handler1,1636949,9279038,False,,3580013.roundup,slurm,,132112168.0,corral-repl,,"""1a389618e76d11e4a288005056a52a46""",19385132,,,"""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""","""17245""",32.0,,22591883.0,1429541805.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1,0.0.1,,2015-04-20 14:56:52.920250,39900.0,3.0
1141236,tabular,,,2015-04-20 15:30:14.565077,slurm_normal,1429543968.0,0,1.0,main_w2_handler0,1636949,9279556,False,,3581138.roundup,slurm,,132112168.0,corral-repl,,"""20ff437ae77211e485c8005056a52a46""",19386003,,,"""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""","""17245""",32.0,,22591883.0,1429543965.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1,0.0.1,,2015-04-20 15:32:52.201462,39900.0,3.0
1203942,tabular,,,2015-04-20 15:37:22.992633,slurm_normal,1429544724.0,0,1.0,main_w2_handler1,1636949,9279600,False,,3581418.roundup,slurm,,132112168.0,corral-repl,,"""1f4cc6aae77311e48ad6005056a51846""",19386182,,,"""/galaxy-repl/localdata/chrom/oryCun2.len""","""oryCun2""","""17245""",32.0,,22591883.0,1429544721.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1,0.0.1,,2015-04-20 15:45:30.607086,39900.0,3.0
