create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.keep_empty,parameters.summary,parameters.table_names,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-17 22:28:42.192173,rodeo_normal,1426631346.0,0,,1.0,main_w2_handler0,2240253,8972586,False,,4114,interval,3211355.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18892151,,"""""","""""","[""gc5Base"", ""cpgIslandExt""]",32.0,,21348195,1426631342.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/annotation_profiler/Annotation_Profiler_0/1.0.0,1.0.0,,2015-03-17 22:29:09.940542,55433.0,4.0
2015-03-18 16:12:56.869347,rodeo_normal,1426695195.0,0,,1.0,main_w1_handler1,2240253,8979564,False,,8060,interval,3224254.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18892256,,"""""","""""","[""gc5Base"", ""regPotential7X"", ""cpgIslandExt"", ""vistaEnhancers"", ""wgEncodeGisChipPetHes3H3K27me3"", ""wgEncodeGisChipPetHes3H3K4me3"", ""encodeIndels"", ""encodeAffyChIpHl60PvalCtcfHr00"", ""encodeAffyChIpHl60PvalH3K27me3Hr00"", ""encodeAffyChIpHl60PvalH4Kac4Hr00"", ""subtracks-encodeUvaDnaRepSeg""]",32.0,,21348195,1426695191.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/annotation_profiler/Annotation_Profiler_0/1.0.0,1.0.0,,2015-03-18 16:13:17.472960,55433.0,4.0
2015-03-18 16:26:32.753947,rodeo_normal,1426696016.0,0,,1.0,main_w2_handler1,2240253,8979692,False,,4114,interval,3224543.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18892151,,"""""","""""","[""gc5Base"", ""regPotential7X"", ""cpgIslandExt"", ""vistaEnhancers"", ""wgEncodeGisChipPetHes3H3K27me3"", ""wgEncodeGisChipPetHes3H3K4me3"", ""encodeIndels"", ""encodeAffyChIpHl60PvalCtcfHr00"", ""encodeAffyChIpHl60PvalH3K27me3Hr00"", ""encodeAffyChIpHl60PvalH4Kac4Hr00"", ""subtracks-encodeUvaDnaRepSeg""]",32.0,,21348195,1426696004.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/annotation_profiler/Annotation_Profiler_0/1.0.0,1.0.0,,2015-03-18 16:27:00.827077,55433.0,12.0
2015-05-07 17:17:23.388673,slurm_normal,1431019675.0,0,,1.0,main_w1_handler0,2180330,9424446,False,,126312,bed,3753040.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",19607914,,"""""","""""","[""group-regulation"", ""group-encodeTxLevels"", ""group-encodeChip""]",32.0,,22618366,1431019058.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/annotation_profiler/Annotation_Profiler_0/1.0.0,1.0.0,,2015-05-07 17:27:58.065504,58303.0,617.0
2015-05-07 17:17:35.397964,slurm_normal,1431019822.0,0,,1.0,main_w1_handler1,2180330,9424455,False,,107055,bed,3753103.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",19607933,,"""""","""""","[""group-regulation"", ""group-encodeTxLevels"", ""group-encodeChip""]",32.0,,22618366,1431019779.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/annotation_profiler/Annotation_Profiler_0/1.0.0,1.0.0,,2015-05-07 17:30:25.193521,58303.0,43.0
2015-05-07 17:17:19.832417,slurm_normal,1431019679.0,0,,1.0,main_w2_handler1,2180330,9424442,False,,706181,bed,3753039.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",19607909,,"""""","""""","[""group-regulation"", ""group-encodeTxLevels"", ""group-encodeChip""]",32.0,,22618366,1431019057.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/annotation_profiler/Annotation_Profiler_0/1.0.0,1.0.0,,2015-05-07 17:28:04.546218,58303.0,622.0
2015-05-07 17:17:29.621546,slurm_normal,1431019848.0,0,,1.0,main_w1_handler0,2180330,9424450,False,,342036,bed,3753104.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",19607926,,"""""","""""","[""group-regulation"", ""group-encodeTxLevels"", ""group-encodeChip""]",32.0,,22618366,1431019779.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/annotation_profiler/Annotation_Profiler_0/1.0.0,1.0.0,,2015-05-07 17:30:54.410298,58303.0,69.0
2015-05-07 17:17:21.178663,slurm_normal,1431019677.0,0,,1.0,main_w2_handler1,2180330,9424444,False,,141458,bed,3753041.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",19607912,,"""""","""""","[""group-regulation"", ""group-encodeTxLevels"", ""group-encodeChip""]",32.0,,22618366,1431019066.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/annotation_profiler/Annotation_Profiler_0/1.0.0,1.0.0,,2015-05-07 17:28:00.369762,58303.0,611.0
2015-05-07 17:17:25.202843,slurm_normal,1431019775.0,0,,1.0,main_w2_handler1,2180330,9424448,False,,523836,bed,3753096.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",19607917,,"""""","""""","[""group-regulation"", ""group-encodeTxLevels"", ""group-encodeChip""]",32.0,,22618366,1431019687.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/annotation_profiler/Annotation_Profiler_0/1.0.0,1.0.0,,2015-05-07 17:29:37.528384,58303.0,88.0
2015-05-07 17:17:27.754160,slurm_normal,1431019702.0,0,,1.0,main_w1_handler0,2180330,9424449,False,,154364,bed,3753045.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",19607919,,"""""","""""","[""group-regulation"", ""group-encodeTxLevels"", ""group-encodeChip""]",32.0,,22618366,1431019069.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/annotation_profiler/Annotation_Profiler_0/1.0.0,1.0.0,,2015-05-07 17:29:38.889829,58303.0,633.0
