create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.predictor_cols,parameters.predictor_cols.__class__,parameters.predictor_cols.value,parameters.response_col,parameters.response_col.__class__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-07-03 03:05:55.116843,slurm_normal,1435892793.0,0,,1.0,main_w1_handler0,2362651,9785541,False,,89429,tabular,4087539.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",20215070,,"[""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]",,,"""1""",,32.0,,23965850,1435892782.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-07-03 03:06:36.622947,61869.0,11.0
2015-07-02 00:18:03.312680,slurm_normal,1435797050.0,1,,1.0,main_w2_handler1,2361775,9778054,False,,34793,tabular,4080616.roundup,slurm,,132112168.0,corral-repl,,"""b077b59e204f11e596cc005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",20209526,,,RuntimeValue,,,RuntimeValue,32.0,,23881544,1435797042.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-07-02 00:30:53.251251,61869.0,8.0
2015-07-02 05:09:24.376897,slurm_normal,1435813790.0,0,,1.0,main_w1_handler1,2361775,9778628,False,,34793,tabular,4081111.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",20209526,,"[""2"", ""4"", ""5"", ""6""]",,,"""1""",,32.0,,23933838,1435813785.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-07-02 05:09:52.015405,61869.0,5.0
2015-07-02 14:24:24.029421,slurm_normal,1435848021.0,1,,1.0,main_w1_handler1,2362642,9781677,False,,94940,tabular,4084084.roundup,slurm,,132112168.0,corral-repl,,"""044ae1ac20c611e5ae1f005056a51846""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",20214844,,,RuntimeValue,,,RuntimeValue,32.0,,23933838,1435848010.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-07-02 14:40:25.259187,61869.0,11.0
2015-07-02 14:20:44.672328,slurm_normal,1435848057.0,1,,1.0,main_w1_handler0,2362635,9781636,False,,94940,tabular,4084089.roundup,slurm,,132112168.0,corral-repl,,"""7fda9ade20c511e5a168005056a51846""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",20214789,,,RuntimeValue,,,RuntimeValue,32.0,,23933838,1435848035.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-07-02 14:41:01.330022,61869.0,22.0
2015-07-02 14:30:20.764439,slurm_normal,1435848687.0,1,,1.0,main_w1_handler0,2362646,9781735,False,,89429,tabular,4084180.roundup,slurm,,132112168.0,corral-repl,,"""d45242aa20c611e581c0005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",20214952,,,RuntimeValue,,,RuntimeValue,32.0,,23933838,1435848681.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-07-02 14:51:29.810984,61869.0,6.0
2015-07-02 14:33:29.219505,slurm_normal,1435849044.0,1,,1.0,main_w1_handler1,2362651,9781827,False,,89429,tabular,4084225.roundup,slurm,,132112168.0,corral-repl,,"""45cad95620c711e5a168005056a51846""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",20215070,,,RuntimeValue,,,RuntimeValue,32.0,,23933838,1435849034.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-07-02 14:57:27.005767,61869.0,10.0
2015-08-08 16:33:37.464621,slurm_normal,1439051645.0,0,,1.0,main_w1_handler2,2404121,10083529,False,,97,interval,4360427.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20720724,,"[""2"", ""3"", ""4""]",,,"""1""",,32.0,,24585369,1439051638.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-08-08 16:34:09.484875,,7.0
2015-08-08 16:52:17.086139,slurm_normal,1439052771.0,0,,1.0,main_w2_handler0,2404121,10083553,False,,97,interval,4360455.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20720724,,"[""1"", ""2"", ""3"", ""4""]",,,"""1""",,32.0,,24585369,1439052764.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-08-08 16:52:55.651777,,7.0
2015-08-12 07:03:38.545470,slurm_normal,1439363069.0,0,,1.0,main_w1_handler0,2406289,10098575,False,,97,interval,4373461.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20744639,,"[""2"", ""3"", ""4""]",,,"""1""",,32.0,,24649651,1439363056.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-08-12 07:04:31.062859,,13.0
