chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.distance,parameters.input1,parameters.input1.values,parameters.minregions,parameters.returntype,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-01-04 04:35:37.839325,slurm_normal,1483504546.0,0,,1.0,main_w3_handler0,2661970,14685304,False,,907251,bed,8855326.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,"[{'src': 'hda', 'id': 27805437}]","""2""","""1""",32.0,,34272361.0,1483504542.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2017-01-04 04:35:49.129228,82138.0,4.0
,,2017-01-05 08:02:56.743840,slurm_normal,1483603385.0,0,,1.0,main_w4_handler1,2947184,14694276,False,,23269,interval,8864135.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",,"[{'src': 'hda', 'id': 27819433}]","""2""","""1""",32.0,,35190717.0,1483603380.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2017-01-05 08:03:08.051245,,5.0
,,2017-01-26 03:28:24.111614,slurm_normal,1485401313.0,0,,1.0,main_w4_handler0,2968863,14874255,False,,10003850,interval,9033935.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""100""",,"[{'src': 'hda', 'id': 28088989}]","""2""","""1""",32.0,,35597265.0,1485401307.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2017-01-26 03:28:36.491120,90158.0,6.0
,,2017-01-06 04:02:50.256168,slurm_normal,1483675409.0,0,,1.0,main_w4_handler1,2908880,14700900,False,,25805660,bed,8870981.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""100""",,"[{'src': 'hda', 'id': 27829115}]","""2""","""1""",32.0,,35023849.0,1483675377.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2017-01-06 04:03:32.741005,87324.0,32.0
,,2017-01-06 13:37:40.689362,slurm_normal,1483709870.0,0,,1.0,main_w4_handler0,2937914,14702917,False,,5828,bed,8872956.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",,"[{'src': 'hda', 'id': 27832910}]","""2""","""1""",32.0,,35233045.0,1483709866.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2017-01-06 13:37:54.196940,92594.0,4.0
,,2017-01-09 17:46:59.469785,slurm_normal,1483984039.0,0,,1.0,main_w4_handler0,2930236,14718371,False,,8855408,bed,8887321.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-1""",,"[{'src': 'hda', 'id': 27636869}]","""19""","""1""",32.0,,35275455.0,1483984025.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2017-01-09 17:47:24.977765,55351.0,14.0
,,2017-01-08 16:35:33.178228,slurm_normal,1483893346.0,0,,1.0,main_w3_handler1,2908880,14713283,False,,4336375,bed,8882278.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""1000""",,"[{'src': 'hda', 'id': 27848210}]","""2""","""1""",32.0,,35023849.0,1483893338.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2017-01-08 16:35:47.941853,87324.0,8.0
,,2017-02-22 16:03:52.899714,slurm_normal,1487779446.0,0,,1.0,main_w4_handler1,3005357,15108638,False,,1389148,bed,9263572.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""12500""",,"[{'src': 'hda', 'id': 28459734}]","""2""","""1""",32.0,,35898579.0,1487779439.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2017-02-22 16:04:11.095780,37946.0,7.0
,,2017-01-09 17:14:12.951598,slurm_normal,1483982071.0,0,,1.0,main_w3_handler0,2930236,14718043,False,,8855408,bed,8886963.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-1""",,"[{'src': 'hda', 'id': 27636869}]","""2""","""3""",32.0,,35275455.0,1483982058.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2017-01-09 17:14:35.200828,55351.0,13.0
,,2017-01-09 17:10:28.352128,slurm_normal,1483981845.0,0,,1.0,main_w3_handler0,2930236,14718003,False,,8855408,bed,8886921.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-1""",,"[{'src': 'hda', 'id': 27636869}]","""1""","""1""",32.0,,35275455.0,1483981832.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2017-01-09 17:10:48.526754,55351.0,13.0
