chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.input2,parameters.input2.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-07-20 12:31:10.511950,slurm_normal,1437395497.0,0,,1.0,main_w2_handler1,2380069,9915519,False,,74750,bed,258677,bed,4203451.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20432062,,,20431988,,32.0,,24191621.0,1437395493.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-07-20 12:31:40.640182,,4.0
,,2016-01-28 21:13:47.517935,slurm_normal,1454015643.0,0,,1.0,main_w1_handler2,2549611,11626106,False,,4430,interval,26191,interval,5890099.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23073320,,,23073240,,32.0,,27046423.0,1454015637.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2016-01-28 21:14:05.748508,75857.0,6.0
,,2015-07-22 09:41:22.547670,slurm_normal,1437558125.0,0,,1.0,main_w2_handler1,2326080,9939277,False,,55352,bed,9222580,bed,4225081.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20473423,,,20473420,,32.0,,23371420.0,1437558103.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-07-22 09:42:07.464711,,22.0
,,2015-07-22 11:18:22.992609,slurm_normal,1437563966.0,0,,1.0,main_w2_handler1,2326080,9940114,False,,6452229,bed,9222580,bed,4225764.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20475631,,,20473420,,32.0,,23371420.0,1437563924.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-07-22 11:19:29.780067,,42.0
,,2015-07-22 11:39:31.763652,slurm_normal,1437565257.0,0,,1.0,main_w2_handler1,2326080,9940262,False,,7380975,interval,9222580,bed,4225883.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20475886,,,20473420,,32.0,,23371420.0,1437565195.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-07-22 11:41:01.784113,,62.0
,,2015-07-24 00:09:12.441722,slurm_normal,1437696580.0,0,,1.0,main_w2_handler0,2387586,9960358,False,,823688,interval,305982,interval,4244989.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20507588,,,20507153,,32.0,,24285453.0,1437696574.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-07-24 00:09:41.952041,,6.0
,,2015-07-24 11:21:14.496905,slurm_normal,1437736921.0,0,,1.0,main_w2_handler1,2326080,9964648,False,,7380975,interval,12058080,interval,4248996.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20475886,,,20513991,,32.0,,23371420.0,1437736900.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-07-24 11:22:04.498587,,21.0
,,2015-07-24 11:12:45.974828,slurm_normal,1437736412.0,0,,1.0,main_w2_handler1,2326080,9964618,False,,12058080,interval,6452229,bed,4248942.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20513991,,,20475631,,32.0,,23371420.0,1437736388.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-07-24 11:13:37.002806,,24.0
,,2015-07-24 11:14:19.625803,slurm_normal,1437736563.0,0,,1.0,main_w1_handler0,2326080,9964629,False,,6452229,bed,12058080,interval,4248961.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20475631,,,20513991,,32.0,,23371420.0,1437736474.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-07-24 11:16:07.907062,,89.0
,,2015-07-24 11:19:01.096480,slurm_normal,1437736782.0,0,,1.0,main_w1_handler0,2326080,9964641,False,,6452229,bed,12058080,interval,4248986.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20475631,,,20513991,,32.0,,23371420.0,1437736765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-07-24 11:19:44.537705,,17.0
