create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-06 21:11:01.903359,slurm_normal,1428354682.0,0.0,1.0,main_w2_handler1,2261318,9152508,False,,16,txt,3435190.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19164310,,32.0,,22276345,1428354677.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2015-04-06 21:11:23.648276,,5.0
2015-04-06 02:30:49.798259,slurm_normal,1428287464.0,0.0,1.0,main_w2_handler0,2219754,9147283,False,,625277,fasta,3430238.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19156336,,32.0,,21462845,1428287460.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2015-04-06 02:31:08.334323,,4.0
2015-04-14 15:54:52.459078,slurm_normal,1429026913.0,0.0,1.0,main_w1_handler0,2265053,9229308,False,,758711,fasta,3510636.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19209748,,32.0,,22298729,1429026908.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2015-04-14 15:55:16.252848,30421.0,5.0
2015-08-05 07:11:30.836145,slurm_normal,1438759274.0,0.0,1.0,main_w1_handler0,2400247,10065478,False,,4084135,fasta,4344099.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20691089,,32.0,,24457689,1438759270.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2015-08-05 07:21:15.777004,,4.0
2015-10-06 01:05:39.914783,slurm_normal,1444093565.0,0.0,1.0,main_w1_handler1,2461562,10507088,False,,793,fasta,4782803.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21409530,,32.0,,25521087,1444093560.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2015-10-06 01:06:06.517348,,5.0
2015-11-03 00:08:02.720083,slurm_normal,1446509308.0,0.0,1.0,main_w2_handler0,2487731,10801835,False,,16261310,fasta,5057110.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",21844615,,32.0,,25945251,1446509299.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2015-11-03 00:08:31.325500,,9.0
2016-09-04 03:26:58.142130,slurm_normal,1472959638.0,0.0,1.0,main_w4_handler1,2796298,13777284,False,,630417,fasta,7998889.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b146a654ee7981c8'}]",32.0,,32367503,1472959628.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2016-09-04 03:27:19.881217,88711.0,10.0
2015-01-09 21:26:36.105284,rodeo_normal,1420838815.0,0.0,1.0,main_w2_handler0,1925047,8523511,False,,104398,fasta,2445210.roundup,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18171257,,32.0,,19974181,1420838813.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2015-01-09 21:27:00.779020,9791.0,2.0
2014-10-08 08:04:29.996048,roundup_single,1412755482.0,0.0,1.0,main_w2_handler0,1926809,7945967,False,,636,fasta,1923671,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17160738,,32.0,,17457440,1412755480.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2014-10-08 08:04:43.146438,7843.0,2.0
2014-11-10 18:10:42.871587,rodeo_normal,1415643059.0,0.0,1.0,main_w2_handler1,1908687,8137115,False,,226935,fasta,170149.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17484836,,2.0,,17192791,1415643052.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2014-11-10 18:11:03.421569,11898.0,7.0
2014-11-10 18:12:48.035811,rodeo_normal,1415643180.0,0.0,1.0,main_w2_handler1,1908687,8137126,False,,278541,fasta,170167.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17484839,,2.0,,17192791,1415643178.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2014-11-10 18:13:03.543517,11898.0,2.0
2014-11-10 18:13:08.884033,rodeo_normal,1415643198.0,0.0,1.0,main_w1_handler0,1908687,8137128,False,,226935,fasta,170176.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17484836,,2.0,,17192791,1415643196.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2014-11-10 18:13:22.280630,11898.0,2.0
2014-11-10 18:14:04.789681,rodeo_normal,1415643255.0,0.0,1.0,main_w1_handler0,1908687,8137152,False,,225960,fasta,1974779.roundup,slurm,,132112068.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17484833,,32.0,,17192791,1415643251.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2014-11-10 18:14:19.836259,11898.0,4.0
2014-11-10 22:05:52.506662,rodeo_normal,1415657186.0,0.0,1.0,main_w1_handler0,1908687,8138876,False,,226935,fasta,1976887.roundup,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17484836,,32.0,,17192791,1415657160.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2014-11-10 22:06:32.290470,11898.0,26.0
2017-07-31 17:21:45.339661,slurm_normal,1501521718.0,0.0,1.0,main_w3_handler0,3205536,16470650,False,,62832,fasta,10538988.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30699989}]",32.0,,39570999,1501521714.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2017-07-31 17:22:01.475644,30421.0,4.0
2017-12-19 20:11:49.389012,slurm_normal,1513714321.0,0.0,1.0,main_w4_handler0,3363313,17853179,False,,14098,fasta,11925722,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33009616}]",32.0,,42670532,1513714316.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2017-12-19 20:12:03.592202,118530.0,5.0
2017-12-22 14:51:11.916832,slurm_normal,1513954280.0,0.0,1.0,main_w4_handler0,3372833,17879889,False,,581694,fasta,11953537,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33043409}]",32.0,,42670532,1513954276.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: btwisted5/5.0.0,5.0.0,,2017-12-22 14:51:22.945965,118530.0,4.0
