create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.aangle,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.window,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-27 13:16:43.948574,rodeo_normal,1427462229.0,0.0,1.0,main_w2_handler1,2251141,9060064,False,,338,fasta,3345224.roundup,slurm,,132112168.0,corral-repl,,,"""100""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19026640,,"""10""",32.0,,22067995,1427462226.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: hmoment44/5.0.0,5.0.0,,2015-03-27 13:17:19.522095,,3.0
2015-03-25 02:30:20.421977,rodeo_normal,1427250636.0,0.0,1.0,main_w2_handler1,2246310,9029680,False,,2057,fasta,3314938.roundup,slurm,,132112168.0,corral-repl,,,"""100""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18966438,,"""10""",32.0,,21985907,1427250632.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: hmoment44/5.0.0,5.0.0,,2015-03-25 02:30:40.222120,4690.0,4.0
2015-08-05 07:32:27.797331,slurm_normal,1438759989.0,0.0,1.0,main_w1_handler2,2400247,10065534,False,,4084135,fasta,4344137.roundup,slurm,,132112168.0,corral-repl,,,"""100""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20691089,,"""10""",32.0,,24457689,1438759975.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: hmoment44/5.0.0,5.0.0,,2015-08-05 07:33:12.848416,,14.0
2015-10-08 21:09:35.860487,slurm_normal,1444338612.0,0.0,1.0,main_w2_handler1,2428787,10531329,False,,3285368,fasta,4805510.roundup,slurm,,132112168.0,corral-repl,,,"""100""","""/galaxy-repl/localdata/chrom/?.len""","""?""",21418640,,"""10""",32.0,,25580963,1444338600.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: hmoment44/5.0.0,5.0.0,,2015-10-08 21:10:15.065916,68588.0,12.0
2016-09-12 11:21:52.310336,slurm_normal,1473679326.0,0.0,1.0,main_w3_handler1,2817409,13830281,False,,131922,fasta,8052248.roundup,slurm,,132112168.0,corral-repl,,,"""100""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d35222389cd6a0eb'}]","""10""",32.0,,32905881,1473679322.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: hmoment44/5.0.0,5.0.0,,2016-09-12 11:22:08.709017,29015.0,4.0
2016-09-12 11:21:40.688064,slurm_normal,1473679322.0,0.0,1.0,main_w4_handler0,2817409,13830278,False,,2138596,fasta,8052247.roundup,slurm,,132112168.0,corral-repl,,,"""100""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58dde114dc9972fbd'}]","""10""",32.0,,32905881,1473679314.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: hmoment44/5.0.0,5.0.0,,2016-09-12 11:22:04.857797,29015.0,8.0
2016-09-23 13:00:21.775586,slurm_normal,1474635848.0,0.0,1.0,main_w3_handler1,2822297,13925187,False,,505,fasta,8147505.roundup,slurm,,132112168.0,corral-repl,,"""addfe7b6818d11e6bec3005056a51846""","""100""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a8e92b936a5df2d8'}]","""10""",32.0,,33121673,1474635843.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: hmoment44/5.0.0,5.0.0,,2016-09-23 13:04:11.271080,90337.0,5.0
2017-02-08 09:50:20.861212,slurm_normal,1486547428.0,0.0,1.0,main_w4_handler1,523367,14980896,False,,1822,fasta,9138262.roundup,slurm,,132112168.0,corral-repl,,,"""100""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28260844}]","""10""",32.0,,35883155,1486547423.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: hmoment44/5.0.0,5.0.0,,2017-02-08 09:50:30.455908,10411.0,5.0
2017-02-08 11:12:08.749173,slurm_normal,1486552336.0,0.0,1.0,main_w3_handler0,523367,14981540,False,,329,fasta,9138908.roundup,slurm,,132112168.0,corral-repl,,,"""100""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28261631}]","""10""",32.0,,35883155,1486552333.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: hmoment44/5.0.0,5.0.0,,2017-02-08 11:12:18.792919,10411.0,3.0
2014-12-09 13:27:04.512153,rodeo_normal,1418131637.0,0.0,1.0,main_w2_handler1,2142661,8379981,False,,444,fasta,2273477.roundup,slurm,,132112264.0,corral-repl,,,"""100""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",17877619,,"""10""",32.0,,19785640,1418131633.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: hmoment44/5.0.0,5.0.0,,2014-12-09 13:27:19.759494,10514.0,4.0
