chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.score,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-02 06:30:10.408118,slurm_normal,1464849080.0,0.0,,1.0,main_w1_handler0,2724168,13046876,False,,6347163,fasta,7232463.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58c84ee1c9050e5cb'}]","""17""",32.0,,30551637.0,1464849063.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-06-02 06:31:23.588257,28094.0,17.0
,,2016-09-23 12:59:08.693706,slurm_normal,1474635702.0,0.0,,1.0,main_w4_handler0,2822285,13925161,False,,1451,fasta,8147463.roundup,slurm,,132112168.0,corral-repl,,"""833cb6c4818d11e692ee005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532239d469ff3ec83'}]","""17""",32.0,,33121667.0,1474635685.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-23 13:01:45.474576,90329.0,17.0
,,2016-10-20 09:37:34.397297,slurm_normal,1476956271.0,0.0,,1.0,main_w4_handler1,2845003,14127717,False,,47377356,fasta,8342117.roundup,slurm,,132112168.0,corral-repl,,"""d3b1298496a811e68d7f005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5559be86ed26678aa'}]","""17""",32.0,,33818652.0,1476956261.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-10-20 09:37:57.930380,91746.0,10.0
,,2016-07-25 07:40:59.110856,slurm_normal,1469432472.0,0.0,,1.0,main_w2_handler0,2771435,13482406,False,,22594869,fasta,7698316.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm2.len""","""dm2""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b590024185af2f4c62'}]","""17""",32.0,,31593243.0,1469432466.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-07-25 07:41:13.915203,,6.0
,,2016-06-14 00:44:02.643173,slurm_normal,1465865070.0,0.0,,1.0,main_w1_handler0,2737633,13153743,False,,1365394,fasta,7337994.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5677bb49926dfb6a7'}]","""17""",32.0,,30828435.0,1465865065.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-06-14 00:44:32.475453,5186.0,5.0
,,2016-07-25 08:07:26.191699,slurm_normal,1469434072.0,0.0,,1.0,main_w2_handler1,2774919,13482506,False,,77864,fasta,7698413.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b1f3324cf99a33e2'}]","""17""",32.0,,31593243.0,1469434067.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-07-25 08:07:53.720734,,5.0
,,2016-07-25 08:07:37.962776,slurm_normal,1469434075.0,0.0,,1.0,main_w1_handler0,2774919,13482507,False,,1378969,fasta,7698414.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50565fb945cb44b80'}]","""17""",32.0,,31593243.0,1469434071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-07-25 08:07:57.888705,,4.0
,,2016-09-28 09:27:10.434507,slurm_normal,1475054896.0,0.0,,1.0,main_w4_handler1,2835724,13963468,False,,59455099,fasta,8182805.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f1993fa4f1ac3c0e'}]","""30""",32.0,,33282718.0,1475054856.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-28 09:28:23.446933,,40.0
,,2016-08-10 15:05:32.509992,slurm_normal,1470841610.0,0.0,,1.0,main_w2_handler0,2790021,13636995,False,,77864,fasta,7850805.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54cbcf3385b68ba90'}]","""30""",32.0,,32136212.0,1470841605.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-08-10 15:06:53.377442,,5.0
,,2016-08-10 14:55:11.525378,slurm_normal,1470841001.0,0.0,,1.0,main_w2_handler0,2790021,13636942,False,,1378969,fasta,7850755.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53f6ab6b33cb2c7e5'}]","""10""",32.0,,32136212.0,1470840997.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-08-10 14:56:44.237352,,4.0
