create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.amphipathic,parameters.chromInfo,parameters.dbkey,parameters.diamonds,parameters.input1,parameters.input1.values,parameters.octags,parameters.squares,parameters.steps,parameters.turns,parameters.wheel,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-09-16 10:03:05.407555,slurm_normal,1442397817.0,1.0,,1.0,main_w1_handler1,2248947,10331480,False,,468,fasta,4615098.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",21129195,,"""HKR""","""ILVM""","""18""","""5""","""yes""",32.0,,24850886.0,1442397810.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwheel72/5.0.0,5.0.0,,2015-09-16 10:03:41.979529,57381.0,7.0
2015-09-09 18:26:01.114651,slurm_normal,1441823188.0,1.0,,1.0,main_w2_handler0,2433627,10289063,False,,1105,fasta,4574401.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",21061648,,"""HKR""","""ILVM""","""18""","""5""","""yes""",32.0,,25091318.0,1441823184.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwheel72/5.0.0,5.0.0,,2015-09-09 18:26:30.542276,,4.0
2015-09-10 09:57:38.791850,slurm_normal,1441879081.0,1.0,,1.0,main_w2_handler0,2434365,10292832,False,,98164,fasta,4578105.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",21067924,,"""HKR""","""ILVM""","""18""","""5""","""yes""",32.0,,25104185.0,1441879077.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwheel72/5.0.0,5.0.0,,2015-09-10 09:58:04.682987,,4.0
2015-10-06 12:36:35.390188,slurm_normal,1444135014.0,1.0,,1.0,main_w1_handler1,2461771,10509496,False,,1046,fasta,4785092.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",21414777,,"""HKR""","""ILVM""","""18""","""5""","""yes""",32.0,,25527158.0,1444135009.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwheel72/5.0.0,5.0.0,,2015-10-06 12:36:58.045696,36889.0,5.0
2015-10-14 23:23:39.842384,slurm_normal,1444865058.0,1.0,,1.0,main_w1_handler1,2471131,10575972,False,,923,fasta,4846881.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",21524138,,"""HKR""","""ILVM""","""18""","""5""","""yes""",32.0,,25684143.0,1444865044.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwheel72/5.0.0,5.0.0,,2015-10-14 23:24:21.092377,27530.0,14.0
2015-11-03 21:18:17.839264,slurm_normal,1446585517.0,1.0,,1.0,main_w2_handler0,2494311,10811152,False,,36983,fasta,5066454.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",21862140,,"""HKR""","""ILVM""","""18""","""5""","""yes""",32.0,,26074369.0,1446585511.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwheel72/5.0.0,5.0.0,,2015-11-03 21:18:43.627863,,6.0
2015-11-11 15:39:27.297506,slurm_normal,1447256385.0,1.0,,1.0,main_w1_handler0,2468887,10877187,False,,14,fasta,5130740.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",21962085,,"""HKR""","""ILVM""","""18""","""5""","""yes""",32.0,,26220240.0,1447256379.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwheel72/5.0.0,5.0.0,,2015-11-11 15:39:47.094234,71033.0,6.0
2016-01-11 22:25:07.183081,slurm_normal,1452551148.0,1.0,,1.0,main_w1_handler0,2551204,11465391,False,,99,fasta,5731148.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",22850547,,"""HKR""","""ILVM""","""18""","""5""","""yes""",32.0,,25807801.0,1452551144.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwheel72/5.0.0,5.0.0,,2016-01-11 22:25:55.170629,6841.0,4.0
2016-01-11 22:23:41.180665,slurm_normal,1452551045.0,1.0,,1.0,main_w2_handler1,2551204,11465388,False,,297,fasta,5731137.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",22850540,,"""HKR""","""ILVM""","""18""","""5""","""yes""",32.0,,25807801.0,1452551038.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwheel72/5.0.0,5.0.0,,2016-01-11 22:24:10.833857,6841.0,7.0
2016-01-11 22:26:51.337081,slurm_normal,1452551249.0,1.0,,1.0,main_w1_handler1,2551204,11465409,False,,101,fasta,5731162.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",22850551,,"""HKR""","""ILVM""","""18""","""5""","""yes""",32.0,,25807801.0,1452551245.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwheel72/5.0.0,5.0.0,,2016-01-11 22:27:38.561780,6841.0,4.0
