chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.feature,parameters.firstonly,parameters.input1,parameters.input1.values,parameters.out_format1,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-02 07:40:43.756224,slurm_normal,1509608457.0,0.0,,1.0,main_w4_handler1,3290045,17295260,False,,5351362,genbank,11357604,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""no""","""no""",,"[{'src': 'hda', 'id': 32018130}]","""fasta""",32.0,,40929877,1509608453.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: seqret84/5.0.0,5.0.0,,2017-11-02 07:40:59.245806,67541.0,4.0
,,2017-11-15 15:48:42.430034,slurm_normal,1510761030.0,0.0,,1.0,main_w3_handler1,3323513,17470742,False,,945812705,fasta,11527810,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""no""","""no""",,"[{'src': 'hda', 'id': 32316475}]","""embl""",32.0,,41964683,1510760948.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: seqret84/5.0.0,5.0.0,,2017-11-15 15:50:35.069012,,82.0
,,2017-12-13 22:20:19.854110,slurm_normal,1513203635.0,0.0,,1.0,main_w4_handler0,3364719,17801171,False,,1941734,fasta,11870661,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""no""",,"[{'src': 'hda', 'id': 32922128}]","""genbank""",32.0,,42482552,1513203629.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: seqret84/5.0.0,5.0.0,,2017-12-13 22:20:37.414301,118051.0,6.0
,,2017-12-13 22:20:19.528619,slurm_normal,1513203637.0,0.0,,1.0,main_w4_handler0,3364719,17801170,False,,1170636,gff3,11870660,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""no""",,"[{'src': 'hda', 'id': 32922125}]","""genbank""",32.0,,42482552,1513203630.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: seqret84/5.0.0,5.0.0,,2017-12-13 22:20:38.933699,118051.0,7.0
,,2018-02-05 13:30:02.846400,slurm_normal,1517837417.0,0.0,,1.0,main_w3_handler0,3393010,18257989,False,,1744809,fasta,12339687,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""no""",,"[{'src': 'hda', 'id': 33674482}]","""genbank""",32.0,,43625523,1517837412.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: seqret84/5.0.0,5.0.0,,2018-02-05 13:30:18.725788,44403.0,5.0
,,2018-02-05 13:30:03.289046,slurm_normal,1517837431.0,0.0,,1.0,main_w3_handler1,3393010,18257990,False,,2181598,gff3,12339689,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""no""",,"[{'src': 'hda', 'id': 33674485}]","""genbank""",32.0,,43625523,1517837416.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: seqret84/5.0.0,5.0.0,,2018-02-05 13:30:33.186885,44403.0,15.0
,,2018-02-05 13:32:22.291445,slurm_normal,1517837562.0,0.0,,1.0,main_w4_handler0,3393010,18258004,False,,2181598,gff3,12339706,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""no""",,"[{'src': 'hda', 'id': 33674485}]","""genbank""",32.0,,43625523,1517837550.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: seqret84/5.0.0,5.0.0,,2018-02-05 13:32:44.751758,44403.0,12.0
,,2018-02-05 13:32:21.954371,slurm_normal,1517837553.0,0.0,,1.0,main_w3_handler1,3393010,18258003,False,,1744809,fasta,12339705,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""no""",,"[{'src': 'hda', 'id': 33674482}]","""genbank""",32.0,,43625523,1517837549.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: seqret84/5.0.0,5.0.0,,2018-02-05 13:32:35.611171,44403.0,4.0
,,2018-02-27 09:14:35.686274,slurm_normal,1519722886.0,0.0,7680.0,1.0,main_w3_handler1,2715927,18532278,False,,6306619,txt,12628726,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""no""","""no""",,"[{'src': 'hda', 'id': 34089806}]","""gff""",32.0,,44189625,1519722883.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: seqret84/5.0.0,5.0.0,,2018-02-27 09:14:47.705892,84977.0,3.0
,,2018-02-27 09:15:13.974727,slurm_normal,1519722926.0,0.0,7680.0,1.0,main_w4_handler0,2715927,18532281,False,,6306619,txt,12628729,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""no""","""no""",,"[{'src': 'hda', 'id': 34089806}]","""fasta""",32.0,,44189625,1519722922.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: seqret84/5.0.0,5.0.0,,2018-02-27 09:15:28.350325,84977.0,4.0
