chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_bam|__identifier__,parameters.iterations,parameters.reference_source.__current_case__,parameters.reference_source.input_bam,parameters.reference_source.input_bam.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.__class__,parameters.reference_source.ref_file.value,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-19 08:32:20.498309,rodeo_normal,1426753954.0,0,,1.0,main_w1_handler1,2181275,8985689,False,,11023541,bam,3236046.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"""555""",0,18910332.0,,hg_g1k_v37,,,,cached,32.0,,,,21897159.0,1426753948.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-19 08:32:35.887992,39548.0,6.0
,,2015-03-16 16:20:34.842869,rodeo_normal,1426523092.0,0,,1.0,main_w2_handler1,2127908,8959030,False,,706786318,bam,3185312.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"""5""",0,18788413.0,,hg38,,,,cached,32.0,,,,21448783.0,1426522856.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-16 16:24:57.893974,56369.0,236.0
,,2015-03-18 10:24:44.815405,rodeo_normal,1426674331.0,0,,1.0,main_w2_handler0,2181275,8975835,False,,10203060,bam,3218036.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"""30""",0,18896410.0,,hg19,,,,cached,32.0,,,,21875647.0,1426674297.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-18 10:25:35.508219,39548.0,34.0
,,2015-03-18 15:06:44.396890,rodeo_normal,1426691224.0,0,,1.0,main_w1_handler1,2241012,8978415,False,,16569749,bam,3222634.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",,"""5""",0,18900456.0,,hg19,,,,cached,32.0,,,,21854212.0,1426691215.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-18 15:07:11.157498,60962.0,9.0
,,2017-02-24 12:35:56.589135,slurm_normal,1487939895.0,0,,1.0,main_w4_handler0,3009037,15129134,False,,39529610,bam,9282597.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""5""",1,,"[{'src': 'hda', 'id': 28496151}]",,,,"[{'src': 'hda', 'id': 28496086}]",history,32.0,5473.0,fasta,,36257377.0,1487939858.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2017-02-24 12:38:17.226761,100826.0,37.0
,,2015-03-19 03:12:27.021682,rodeo_normal,1426735044.0,0,,1.0,main_w2_handler0,2215747,8984440,False,,769245304,bam,3233679.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",,"""5""",0,18909472.0,,sacCer3,,,,cached,32.0,,,,21395016.0,1426734763.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-19 03:17:27.101684,60022.0,281.0
,,2015-03-22 18:18:45.536098,rodeo_normal,1427048469.0,0,,1.0,main_w2_handler1,2245318,9007345,False,,300029645,bam,3277261.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"""5""",0,18950968.0,,mm9,,,,cached,32.0,,,,21323430.0,1427048338.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-22 18:21:12.499949,,131.0
,,2015-03-24 08:45:40.117553,rodeo_normal,1427186760.0,0,,1.0,main_w1_handler1,2198266,9021761,False,,36769490,bam,3304877.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"""5""",0,18971852.0,,hg19,,,,cached,32.0,,,,21075310.0,1427186747.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-24 08:46:02.465582,,13.0
,,2015-03-24 09:20:32.676176,rodeo_normal,1427188856.0,0,,1.0,main_w1_handler1,2198266,9021893,False,,33191970,bam,3305087.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"""2""",0,18971834.0,,hg19,,,,cached,32.0,,,,21075310.0,1427188844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-24 09:20:58.582708,,12.0
,,2015-03-20 18:58:11.443550,rodeo_normal,1426878633.0,0,,1.0,main_w1_handler0,2242551,8998867,False,,108823067,bam,3261379.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/salmTyph_TY2.len""","""salmTyph_TY2""",,"""5""",1,18936573.0,,18935784,,,,history,32.0,4860518.0,fasta,,21906008.0,1426878580.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-20 19:10:34.933657,61131.0,53.0
,,2015-03-24 16:29:08.446267,rodeo_normal,1427214633.0,0,,1.0,main_w2_handler0,2241429,9025274,False,,110226815,bam,3310256.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"""5""",0,18973987.0,,hg19,,,,cached,32.0,,,,21876901.0,1427214566.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-24 16:30:46.262542,,67.0
,,2015-03-27 10:25:53.084683,rodeo_normal,1427452169.0,0,,1.0,main_w1_handler1,2218637,9058329,False,,459117073,bam,3343582.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"""5""",0,18668078.0,,hg19,,,,cached,32.0,,,,22062759.0,1427451965.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-27 10:29:31.785735,59675.0,204.0
,,2015-03-27 10:20:02.234704,rodeo_normal,1427451804.0,0,,1.0,main_w1_handler0,2218637,9058300,False,,359554321,bam,3343517.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"""5""",0,18668049.0,,hg19,,,,cached,32.0,,,,22062759.0,1427451611.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-27 10:23:30.585166,59675.0,193.0
,,2015-03-27 10:25:10.558701,rodeo_normal,1427452148.0,0,,1.0,main_w2_handler1,2218637,9058322,False,,518070250,bam,3343569.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"""5""",0,18668052.0,,hg19,,,,cached,32.0,,,,22062759.0,1427451926.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-27 10:29:14.201710,59675.0,222.0
,,2015-03-27 10:26:14.930449,rodeo_normal,1427452148.0,0,,1.0,main_w2_handler1,2218637,9058331,False,,301404681,bam,3343588.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"""5""",0,18668081.0,,hg19,,,,cached,32.0,,,,22062759.0,1427451987.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-27 10:29:14.519455,59675.0,161.0
,,2015-03-28 22:24:08.392913,rodeo_normal,1427581474.0,0,,1.0,main_w2_handler0,2252691,9074800,False,,12916927,bam,3361168.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"""5""",0,19046966.0,,hg19,,,,cached,32.0,,,,22005816.0,1427581464.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-28 22:24:36.835425,2965.0,10.0
3407.0,len,2015-03-29 13:16:23.867446,rodeo_normal,1427635232.0,0,,1.0,main_w1_handler0,2244419,9076655,False,,551081279,bam,3363014.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/796/dataset_10796144.dat""","""?""",,"""5""",1,19049681.0,,18962327,,,,history,32.0,230256682.0,fasta,,22008300.0,1427634999.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-29 13:20:35.238395,46444.0,233.0
40.0,len,2015-03-30 08:36:58.371637,rodeo_normal,1427704662.0,0,,1.0,main_w2_handler0,2253676,9081807,False,,30656223,bam,3368029.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/841/dataset_10841851.dat""","""?""",,"""5""",1,19057682.0,,19057219,,,,history,32.0,4592895.0,fasta,,22110624.0,1427704633.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-03-30 08:37:45.080390,61652.0,29.0
,,2015-04-01 14:51:42.687131,rodeo_normal,1427899924.0,0,,1.0,main_w2_handler0,2251892,9115032,False,,5151489,bam,3400731.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""5""",1,19057812.0,,19056611,,,,history,32.0,2692.0,fasta,,22073410.0,1427899917.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-04-01 14:52:07.187247,49083.0,7.0
,,2015-04-02 08:17:03.487814,slurm_normal,1427964553.0,0,,1.0,main_w1_handler0,2257809,9122423,False,,46185656,bam,3407441.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"""5""",0,19119239.0,,hg19,,,,cached,32.0,,,,22214496.0,1427964538.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-04-02 08:49:16.844810,,15.0
,,2015-04-06 15:59:31.829029,slurm_normal,1428336153.0,0,,1.0,main_w2_handler0,2261001,9150396,False,,13490444,bam,3433212.roundup,slurm,,132112168.0,corral-repl,,"""e6a32ae0dc7511e4b78b005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"""5""",0,19160676.0,,hg19,,,,cached,32.0,,,,22005816.0,1428336142.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-04-06 16:02:37.039238,2965.0,11.0
,,2015-04-06 15:58:55.366630,slurm_normal,1428336103.0,0,,1.0,main_w2_handler1,2261000,9150387,False,,13487214,bam,3433204.roundup,slurm,,132112168.0,corral-repl,,"""d21020a6dc7511e496e5005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"""5""",0,19160662.0,,hg19,,,,cached,32.0,,,,22005816.0,1428336091.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-04-06 16:01:48.072005,2965.0,12.0
,,2015-04-06 15:40:41.892368,slurm_normal,1428335037.0,0,,1.0,main_w2_handler0,2260984,9150301,False,,13487777,bam,3433124.roundup,slurm,,132112168.0,corral-repl,,"""460542aadc7311e49ef2005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"""5""",0,19160488.0,,hg19,,,,cached,32.0,,,,22005816.0,1428335021.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/0.4,0.4,,2015-04-06 15:43:59.806553,2965.0,16.0
