create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.genomeSource.__current_case__,parameters.genomeSource.index,parameters.genomeSource.index.__class__,parameters.genomeSource.index.value,parameters.genomeSource.ownFile,parameters.genomeSource.refGenomeSource,parameters.input_file,parameters.mingenomefrac,parameters.out_prefix,parameters.windowsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-24 08:33:07.398126,rodeo_normal,1427186057.0,0,1.0,main_w2_handler1,2175738,9021696,False,,547440078,bam,3304787.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",0,sacCer3,,,,default,18236363,"""1e-05""","""1d_Short Read GC Bias Metrics""","""10000""",32.0,,21988388,1427186003.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-03-24 08:34:20.929285,18058.0,54.0
2015-03-20 19:15:17.354286,rodeo_normal,1426878945.0,0,1.0,main_w1_handler1,2241466,8999045,False,,39941390,bam,3261496.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/Schizosaccharomyces_pombe_1.1.len""","""Schizosaccharomyces_pombe_1.1""",0,Schizosaccharomyces_pombe_1.1,,,,default,18935992,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,21930663,1426878928.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-03-20 19:15:47.249275,61031.0,17.0
2015-03-20 19:15:16.767313,rodeo_normal,1426878940.0,0,1.0,main_w2_handler1,2241466,8999044,False,,6666327,bam,3261500.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/Schizosaccharomyces_pombe_1.1.len""","""Schizosaccharomyces_pombe_1.1""",0,Schizosaccharomyces_pombe_1.1,,,,default,18935991,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,21930663,1426878933.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-03-20 19:15:44.407668,61031.0,7.0
2015-04-01 12:42:34.072381,rodeo_normal,1427892276.0,0,1.0,main_w2_handler0,2247000,9113057,False,,139565171,sam,3398820.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,mm9canon,,,,default,18972321,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,22191123,1427892169.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-04-01 12:44:39.576577,48030.0,107.0
2015-10-23 21:09:55.888124,slurm_normal,1445634828.0,0,1.0,main_w2_handler0,2417578,10706878,False,,266069429,bam,4969714.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,hg19,,,,default,21706422,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,25863923,1445634630.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-10-23 21:13:54.319383,58155.0,198.0
2015-06-22 10:58:07.677030,slurm_normal,1434970812.0,0,1.0,main_w2_handler0,2348784,9705032,False,,56384125,bam,4013209.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,hg19,,,,default,20070948,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,23652725,1434970701.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-06-22 11:00:17.430633,64800.0,111.0
2015-05-12 14:07:30.803395,slurm_normal,1431441335.0,0,1.0,main_w1_handler0,2302908,9453706,False,,272857143,bam,3779067.roundup,slurm,,132112168.0,corral-repl,,,,"""2e1239b0f8b011e49837005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,hg19,,,,indexed,19677581,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,23030095,1431441130.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-05-12 14:35:39.135790,46265.0,205.0
2015-05-19 10:42:41.287903,slurm_normal,1432032302.0,0,1.0,main_w2_handler0,2269678,9494409,False,,534505563,bam,3816612.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/bosTau6.len""","""bosTau6""",0,bosTau6,,,,default,19491770,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,21773912,1432032187.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-05-19 10:45:06.767166,60850.0,115.0
2015-07-25 16:38:51.678687,slurm_normal,1437842435.0,0,1.0,main_w1_handler0,2305820,9981618,False,,4732987405,sam,4264593.roundup,slurm,,132112168.0,corral-repl,8791418.0,fasta,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,,19707365.0,history,19930492,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,23076036,1437842355.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-07-25 16:40:39.142752,63505.0,80.0
2015-07-25 16:38:53.613061,slurm_normal,1437842449.0,0,1.0,main_w1_handler2,2305820,9981621,False,,4988151154,sam,4264592.roundup,slurm,,132112168.0,corral-repl,8791418.0,fasta,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,,19707365.0,history,19930496,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,23076036,1437842355.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-07-25 16:40:54.785093,63505.0,94.0
2015-07-25 16:38:52.731919,slurm_normal,1437842412.0,0,1.0,main_w1_handler2,2305820,9981619,False,,3357383057,sam,4264590.roundup,slurm,,132112168.0,corral-repl,8791418.0,fasta,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,,19707365.0,history,19930494,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,23076036,1437842352.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-07-25 16:40:15.397711,63505.0,60.0
2015-07-25 16:38:50.368227,slurm_normal,1437842541.0,0,1.0,main_w2_handler0,2305820,9981617,False,,5825592836,sam,4264605.roundup,slurm,,132112168.0,corral-repl,8791418.0,fasta,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,,19707365.0,history,19930490,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,23076036,1437842429.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-07-25 16:42:25.411487,63505.0,112.0
