create_time,destination_id,end_epoch,exit_code,fastq,fastq1,fastq1_filetype,fastq2,fastq2_filetype,fastq_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.allow_and_ignore_empty_lines,parameters.chromInfo,parameters.comment,parameters.dbkey,parameters.description,parameters.fastq2|__identifier__,parameters.fastq|__identifier__,parameters.input_type.__current_case__,parameters.input_type.fastq.values,parameters.input_type.fastq2.values,parameters.input_type.input_type_selector,parameters.library_name,parameters.max_q,parameters.min_q,parameters.platform,parameters.platform_unit,parameters.predicted_insert_size,parameters.quality_format,parameters.read_group_name,parameters.run_date,parameters.sample_name,parameters.sequencing_center,parameters.strip_unpairied_mate_number,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-05-30 07:25:49.596674,slurm_normal,1496129164.0,0,20457.0,,,,,fastqsanger,,1.0,main_w4_handler0,3132365,15966112,False,,10063021.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 29812747}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,38299448,1496129159.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2017-05-30 07:26:05.914617,106814.0,5.0
2017-06-01 16:33:22.143356,slurm_normal,1496335517.0,0,6045577227.0,,,,,fastq,,1.0,main_w3_handler1,3127461,15990441,False,,10085318.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 29807599}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,38233476,1496334925.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2017-06-01 16:45:20.282018,106649.0,592.0
2017-06-03 20:23:19.817730,slurm_normal,1496521690.0,0,2039793039.0,,,2039793039.0,fastqsanger,fastqsanger,,1.0,main_w3_handler0,3127409,16006158,False,,10099735.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/mm10.len""","""""","""mm10""","""""",,,1,"[{'src': 'hda', 'id': 29774243}]","[{'src': 'hda', 'id': 29774243}]",pe,"""""","""93""","""0""","""illumina""","""""","""""","""Standard""","""PL""","""""","""sample-a""","""""","""false""","""SILENT""",32.0,,37003405,1496521410.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2017-06-03 20:28:14.345375,63527.0,280.0
2017-06-03 20:23:20.019014,slurm_normal,1496521761.0,0,2752953351.0,,,2752953351.0,fastqsanger,fastqsanger,,1.0,main_w3_handler1,3127409,16006159,False,,10099736.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/mm10.len""","""""","""mm10""","""""",,,1,"[{'src': 'hda', 'id': 29774391}]","[{'src': 'hda', 'id': 29774391}]",pe,"""""","""93""","""0""","""illumina""","""""","""""","""Standard""","""PL""","""""","""sample-a""","""""","""false""","""SILENT""",32.0,,37003405,1496521413.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2017-06-03 20:29:24.620119,63527.0,348.0
2017-06-05 02:58:44.520319,slurm_normal,1496631548.0,0,25390880.0,,,,,fastq,,1.0,main_w4_handler0,3140125,16012120,False,,10105005.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 29887573}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,38224256,1496631542.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2017-06-05 02:59:10.612946,106297.0,6.0
2017-06-05 03:17:00.529874,slurm_normal,1496632643.0,0,25389640.0,,,,,fastq,,1.0,main_w4_handler0,3140125,16012173,False,,10105055.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""""",,,0,"[{'src': 'hda', 'id': 29887653}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,38224256,1496632635.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2017-06-05 03:17:25.656319,106297.0,8.0
2017-06-05 03:17:01.582926,slurm_normal,1496632650.0,0,24143463.0,,,,,fastq,,1.0,main_w3_handler1,3140125,16012175,False,,10105058.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""""",,,0,"[{'src': 'hda', 'id': 29887664}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,38224256,1496632643.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2017-06-05 03:17:32.078721,106297.0,7.0
2017-06-04 22:08:12.670730,slurm_normal,1496614114.0,0,24143463.0,,,24144275.0,fastq,fastq,,1.0,main_w4_handler1,3139915,16010767,False,,10103831.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""""",,,1,"[{'src': 'hda', 'id': 29885707}]","[{'src': 'hda', 'id': 29885708}]",pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,38224256,1496614105.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2017-06-04 22:08:36.356094,106297.0,9.0
2017-06-04 22:08:12.248268,slurm_normal,1496614117.0,0,25389640.0,,,25390880.0,fastq,fastq,,1.0,main_w4_handler0,3139915,16010766,False,,10103830.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""""",,,1,"[{'src': 'hda', 'id': 29885703}]","[{'src': 'hda', 'id': 29885704}]",pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,38224256,1496614101.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2017-06-04 22:08:39.662975,106297.0,16.0
2017-06-04 22:08:11.762826,slurm_normal,1496614122.0,0,32247479.0,,,32246969.0,fastq,fastq,,1.0,main_w3_handler0,3139915,16010765,False,,10103832.roundup,slurm,,132112168.0,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""""",,,1,"[{'src': 'hda', 'id': 29885700}]","[{'src': 'hda', 'id': 29885702}]",pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,38224256,1496614108.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2017-06-04 22:08:43.109967,106297.0,14.0
