aligned_or_read1_and_read2|aligned_bams_0|aligned_bam,aligned_or_read1_and_read2|aligned_bams_0|aligned_bam_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.add_mate_cigar,parameters.aligned_or_read1_and_read2.__current_case__,parameters.aligned_or_read1_and_read2.aligned_bams,parameters.aligned_or_read1_and_read2.aligned_or_read1_and_read2_selector,parameters.aligned_reads_only,parameters.aligner_proper_pair_flags,parameters.attributes_to_remove,parameters.attributes_to_retain,parameters.chromInfo,parameters.clip_adapters,parameters.clip_overlapping_reads,parameters.dbkey,parameters.include_secondary_alignments,parameters.is_bisulfite_sequence,parameters.max_insertions_or_deletions,parameters.primary_alignment_strategy,parameters.read1_trim,parameters.read2_trim,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.unmapped_bam.values,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,unmapped_bam,unmapped_bam_filetype,update_time,user_id,runtime
119664892,bam,2018-01-05 03:39:58.837790,slurm_normal,1515123705.0,0,,1.0,main_w3_handler0,3289348,17950648,False,,12027077,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 33181666}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 33041731}]",history,"[{'src': 'hda', 'id': 33181704}]","""SILENT""",32.0,16864.0,fasta,,42826179,1515123601.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,126744962,bam,2018-01-05 03:41:48.032179,113756.0,104.0
69350732,bam,2018-01-05 03:46:10.166172,slurm_normal,1515124062.0,0,,1.0,main_w3_handler1,3289348,17950659,False,,12027088,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 33179182}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 33041731}]",history,"[{'src': 'hda', 'id': 33176596}]","""SILENT""",32.0,16864.0,fasta,,42826179,1515123973.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,78281977,bam,2018-01-05 03:47:43.346399,113756.0,89.0
1802122,bam,2017-10-31 17:01:51.067759,slurm_normal,1509469775.0,0,,1.0,main_w4_handler1,3296993,17278193,False,,11338916,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31901255}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 31901192}]",history,"[{'src': 'hda', 'id': 31862634}]","""LENIENT""",32.0,12360636.0,fasta,,41225896,1509469341.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,1330938861,bam,2017-10-31 17:09:41.116742,108966.0,434.0
1802660,bam,2017-10-31 17:01:15.022681,slurm_normal,1509469720.0,0,,1.0,main_w4_handler1,3296993,17278186,False,,11338910,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31901264}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",0,sacCer3,,cached,"[{'src': 'hda', 'id': 31862634}]","""LENIENT""",32.0,,,,41225896,1509469300.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,1330938861,bam,2017-10-31 17:08:48.677624,108966.0,420.0
1802122,bam,2017-10-31 18:54:00.830803,slurm_normal,1509476479.0,0,,1.0,main_w3_handler0,3296993,17279866,False,,11340558,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31901255}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 31901192}]",history,"[{'src': 'hda', 'id': 31992179}]","""LENIENT""",32.0,12360636.0,fasta,,41225896,1509476071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,1376228258,bam,2017-10-31 19:01:25.472330,108966.0,408.0
1802660,bam,2017-10-31 18:53:34.067965,slurm_normal,1509476593.0,0,,1.0,main_w4_handler0,3296993,17279860,False,,11340582,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31901264}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",0,sacCer3,,cached,"[{'src': 'hda', 'id': 31992179}]","""LENIENT""",32.0,,,,41225896,1509476182.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,1376228258,bam,2017-10-31 19:04:41.617373,108966.0,411.0
77773897,bam,2018-01-08 19:25:17.620458,slurm_normal,1515439600.0,0,,1.0,main_w4_handler0,3380146,17975470,False,,12051873,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 33217437}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 33176611}]",history,"[{'src': 'hda', 'id': 33220242}]","""SILENT""",32.0,16864.0,fasta,,42948811,1515439522.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,94366693,bam,2018-01-08 19:26:42.553372,119287.0,78.0
544007119,bam,2018-01-10 03:13:51.428128,slurm_normal,1515554515.0,0,,1.0,main_w4_handler0,3289348,17988215,False,,12064809,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 33239484}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/hg19_rCRS_pUC18_phiX174.len""","""true""","""true""","""hg19_rCRS_pUC18_phiX174""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",0,hg19_rCRS_pUC18_phiX174,,cached,"[{'src': 'hda', 'id': 33239508}]","""SILENT""",32.0,,,,43098095,1515554036.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,731441167,bam,2018-01-10 03:22:06.939522,113756.0,479.0
545240639,bam,2018-01-15 23:05:42.733149,slurm_normal,1516057938.0,0,,1.0,main_w4_handler0,3289348,18042955,False,,12120267,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 33311759}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 33311691}]",history,"[{'src': 'hda', 'id': 33239508}]","""SILENT""",32.0,3249912778.0,fasta,,43167471,1516057545.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,731441167,bam,2018-01-15 23:12:19.066118,113756.0,393.0
587839989,bam,2018-01-15 23:06:48.426957,slurm_normal,1516058005.0,0,,1.0,main_w4_handler1,3289348,18042957,False,,12120269,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 33320358}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 33311691}]",history,"[{'src': 'hda', 'id': 33320336}]","""SILENT""",32.0,3249912778.0,fasta,,43167471,1516057611.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,786876710,bam,2018-01-15 23:13:27.599705,113756.0,394.0
