chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile1,inputFile10,inputFile100,inputFile100_filetype,inputFile10_filetype,inputFile11,inputFile11_filetype,inputFile12,inputFile12_filetype,inputFile13,inputFile13_filetype,inputFile14,inputFile14_filetype,inputFile15,inputFile15_filetype,inputFile16,inputFile16_filetype,inputFile17,inputFile17_filetype,inputFile18,inputFile18_filetype,inputFile19,inputFile19_filetype,inputFile1_filetype,inputFile2,inputFile20,inputFile20_filetype,inputFile21,inputFile21_filetype,inputFile22,inputFile22_filetype,inputFile23,inputFile23_filetype,inputFile24,inputFile24_filetype,inputFile25,inputFile25_filetype,inputFile26,inputFile26_filetype,inputFile27,inputFile27_filetype,inputFile28,inputFile28_filetype,inputFile29,inputFile29_filetype,inputFile2_filetype,inputFile3,inputFile30,inputFile30_filetype,inputFile31,inputFile31_filetype,inputFile32,inputFile32_filetype,inputFile33,inputFile33_filetype,inputFile34,inputFile34_filetype,inputFile35,inputFile35_filetype,inputFile36,inputFile36_filetype,inputFile37,inputFile37_filetype,inputFile38,inputFile38_filetype,inputFile39,inputFile39_filetype,inputFile3_filetype,inputFile4,inputFile40,inputFile40_filetype,inputFile41,inputFile41_filetype,inputFile42,inputFile42_filetype,inputFile43,inputFile43_filetype,inputFile44,inputFile44_filetype,inputFile45,inputFile45_filetype,inputFile46,inputFile46_filetype,inputFile47,inputFile47_filetype,inputFile48,inputFile48_filetype,inputFile49,inputFile49_filetype,inputFile4_filetype,inputFile5,inputFile50,inputFile50_filetype,inputFile51,inputFile51_filetype,inputFile52,inputFile52_filetype,inputFile53,inputFile53_filetype,inputFile54,inputFile54_filetype,inputFile55,inputFile55_filetype,inputFile56,inputFile56_filetype,inputFile57,inputFile57_filetype,inputFile58,inputFile58_filetype,inputFile59,inputFile59_filetype,inputFile5_filetype,inputFile6,inputFile60,inputFile60_filetype,inputFile61,inputFile61_filetype,inputFile62,inputFile62_filetype,inputFile63,inputFile63_filetype,inputFile64,inputFile64_filetype,inputFile65,inputFile65_filetype,inputFile66,inputFile66_filetype,inputFile67,inputFile67_filetype,inputFile68,inputFile68_filetype,inputFile69,inputFile69_filetype,inputFile6_filetype,inputFile7,inputFile70,inputFile70_filetype,inputFile71,inputFile71_filetype,inputFile72,inputFile72_filetype,inputFile73,inputFile73_filetype,inputFile74,inputFile74_filetype,inputFile75,inputFile75_filetype,inputFile76,inputFile76_filetype,inputFile77,inputFile77_filetype,inputFile78,inputFile78_filetype,inputFile79,inputFile79_filetype,inputFile7_filetype,inputFile8,inputFile80,inputFile80_filetype,inputFile81,inputFile81_filetype,inputFile82,inputFile82_filetype,inputFile83,inputFile83_filetype,inputFile84,inputFile84_filetype,inputFile85,inputFile85_filetype,inputFile86,inputFile86_filetype,inputFile87,inputFile87_filetype,inputFile88,inputFile88_filetype,inputFile89,inputFile89_filetype,inputFile8_filetype,inputFile9,inputFile90,inputFile90_filetype,inputFile91,inputFile91_filetype,inputFile92,inputFile92_filetype,inputFile93,inputFile93_filetype,inputFile94,inputFile94_filetype,inputFile95,inputFile95_filetype,inputFile96,inputFile96_filetype,inputFile97,inputFile97_filetype,inputFile98,inputFile98_filetype,inputFile99,inputFile99_filetype,inputFile9_filetype,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.assume_sorted,parameters.chromInfo,parameters.comments,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.merge_sequence_dictionaries,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-06-22 08:55:28.136896,slurm_normal,1498122054.0,0,,1.0,main_w4_handler0,3166204,16161883,False,,1169601747,1169601747,,,,,,,,,,,,,,,,,,,,,,,bam,132428382.0,,,,,,,,,,,,,,,,,,,,,bam,22882011.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10239648.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/?.len""",[],"""?""",,"[{'src': 'hda', 'id': 30122026}, {'src': 'hda', 'id': 30122455}, {'src': 'hda', 'id': 30122474}]","""false""","""LENIENT""",32.0,,38712096.0,1498121744.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/2.7.1.0,2.7.1.0,,2017-06-22 09:00:58.354828,106675.0,310.0
,,2017-06-19 20:22:44.312383,slurm_normal,1497903855.0,0,,1.0,main_w3_handler0,3157393,16136309,False,,7190,7190,,,,,,,,,,,,,,,,,,,,,,,bam,7190.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10216053.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/hg38.len""",[],"""hg38""",,"[{'src': 'hda', 'id': 30085179}, {'src': 'hda', 'id': 30085181}]","""false""","""LENIENT""",32.0,,38566769.0,1497903792.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/2.7.1.0,2.7.1.0,,2017-06-19 20:24:20.375491,107447.0,63.0
,,2017-05-30 08:16:34.961825,slurm_normal,1496132369.0,0,,1.0,main_w4_handler0,3126567,15966333,False,,51109547,51109547,,,,,,,,,,,,,,,,,,,,,,,bam,206083907.0,,,,,,,,,,,,,,,,,,,,,bam,24971716.0,,,,,,,,,,,,,,,,,,,,,bam,165222020.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10063207.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/sacCer2.len""",[],"""sacCer2""",,"[{'src': 'hdca', 'id': 57059}]","""false""","""LENIENT""",32.0,,38207175.0,1496132208.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/2.7.1.0,2.7.1.0,,2017-05-30 08:19:31.974191,66745.0,161.0
,,2017-05-30 09:16:03.358518,slurm_normal,1496135790.0,0,,1.0,main_w3_handler1,3132564,15966618,False,,10218197,10218197,,,,,,,,,,,,,,,,,,,,,,,bam,13484563.0,,,,,,,,,,,,,,,,,,,,,bam,10197504.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10063499.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""",,"[{'src': 'hda', 'id': 29814007}, {'src': 'hda', 'id': 29814100}, {'src': 'hda', 'id': 29814112}]","""false""","""LENIENT""",32.0,,37850370.0,1496135775.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/2.7.1.0,2.7.1.0,,2017-05-30 09:16:31.424513,57146.0,15.0
,,2017-05-30 14:51:21.025022,slurm_normal,1496155905.0,0,,1.0,main_w3_handler0,3077281,15969232,False,,13946794,13946794,,,,,,,,,,,,,,,,,,,,,,,bam,10568364.0,,,,,,,,,,,,,,,,,,,,,bam,10529784.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10065949.roundup,slurm,,132112168.0,corral-repl,,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""",,"[{'src': 'hda', 'id': 29818072}, {'src': 'hda', 'id': 29818082}, {'src': 'hda', 'id': 29818120}]","""true""","""LENIENT""",32.0,,37497197.0,1496155894.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/2.7.1.0,2.7.1.0,,2017-05-30 14:51:48.370538,97066.0,11.0
,,2017-05-30 17:32:58.638098,reserved,1496165625.0,0,,1.0,main_w4_handler0,3133199,15971031,False,,7827404,7827404,,,,,,,,,,,,,,,,,,,,,,,bam,8677489.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10067648.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/?.len""",[],"""?""",,"[{'src': 'hda', 'id': 29820743}, {'src': 'hda', 'id': 29820744}]","""false""","""LENIENT""",32.0,,38168481.0,1496165598.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/2.7.1.0,2.7.1.0,,2017-05-30 17:33:48.381139,621.0,27.0
,,2017-05-30 18:16:52.323957,slurm_normal,1496168434.0,0,,1.0,main_w4_handler1,3133203,15971619,False,,8599146,8599146,,,,,,,,,,,,,,,,,,,,,,,bam,16887372.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10068200.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/hg38.len""",[],"""hg38""",,"[{'src': 'hda', 'id': 29821179}, {'src': 'hda', 'id': 29821180}]","""false""","""LENIENT""",32.0,,38035534.0,1496168420.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/2.7.1.0,2.7.1.0,,2017-05-30 18:20:42.811107,106132.0,14.0
,,2017-07-13 18:25:57.274991,slurm_normal,1499970390.0,0,,1.0,main_w4_handler0,3192133,16336930,False,,6229757,6229757,,,,,,,,,,,,,,,,,,,,,,,bam,12609874.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10402521.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/hg38.len""",[],"""hg38""",,"[{'src': 'hdca', 'id': 62442}]","""false""","""LENIENT""",32.0,,39290164.0,1499970378.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/2.7.1.0,2.7.1.0,,2017-07-13 18:26:31.782906,2212.0,12.0
,,2017-06-21 10:10:22.574993,slurm_normal,1498040236.0,0,,1.0,main_w4_handler1,3166204,16151967,False,,1636128191,1636128191,,,,,,,,,,,,,,,,,,,,,,,bam,11299830.0,,,,,,,,,,,,,,,,,,,,,bam,687796.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10230723.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/?.len""",[],"""?""",,"[{'src': 'hda', 'id': 30108019}, {'src': 'hda', 'id': 30108227}, {'src': 'hda', 'id': 30108233}]","""false""","""LENIENT""",32.0,,38712096.0,1498039835.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/2.7.1.0,2.7.1.0,,2017-06-21 10:17:23.548476,106675.0,401.0
,,2017-06-20 18:03:49.549874,slurm_normal,1497981958.0,0,,1.0,main_w3_handler0,3163592,16145779,False,,85120545,85120545,,,,,,,,,,,,,,,,,,,,,,,sam,67119090.0,,,,,,,,,,,,,,,,,,,,,sam,63696290.0,,,,,,,,,,,,,,,,,,,,,sam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sam,10224744.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""",,"[{'src': 'hda', 'id': 30084788}, {'src': 'hda', 'id': 30084789}, {'src': 'hda', 'id': 30084790}]","""false""","""LENIENT""",32.0,,38556616.0,1497981917.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/2.7.1.0,2.7.1.0,,2017-06-20 18:06:23.592012,107436.0,41.0
