chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.allow_contig_length_discordance,parameters.allow_incomplete_dict_concordance,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.__class__,parameters.reference_source.ref_file.value,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-10-02 17:21:04.182798,slurm_normal,1506967297.0,0,,1.0,main_w4_handler1,3272888,16990310,False,,246761159,bam,11056319.roundup,slurm,,132112168.0,corral-repl,,"""3ef2edaca78a11e7a7be005056ba2773""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31507081}]",1,,,,"[{'src': 'hda', 'id': 31497330}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1506967191.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-10-02 18:01:44.053883,80563.0,106.0
,,2017-10-02 17:17:51.895803,slurm_normal,1506965998.0,0,,1.0,main_w4_handler0,3272888,16990173,False,,246761159,bam,11055905.roundup,slurm,,132112168.0,corral-repl,,"""702f1be2a74f11e7954d005056ba55fb""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31506877}]",1,,,,"[{'src': 'hda', 'id': 31497330}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1506965854.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-10-02 17:40:11.953831,80563.0,144.0
,,2018-03-02 10:20:34.416167,slurm_normal,1519986414.0,0,7680.0,1.0,main_w4_handler1,3449168,18578551,False,,61987654,bam,12673065,slurm,,132112168.0,corral-repl,,"""52d801f01e0311e8bc1b005056ba55fb""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 34166592}]",1,,,,"[{'src': 'hda', 'id': 34166526}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1519986326.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2018-03-02 10:26:57.144014,80563.0,88.0
,,2017-10-02 17:18:31.379647,slurm_normal,1506966241.0,0,,1.0,main_w4_handler1,3272888,16990198,False,,246761159,bam,11056015.roundup,slurm,,132112168.0,corral-repl,,"""074ea68ca75011e79b3e005056ba55fb""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31506915}]",1,,,,"[{'src': 'hda', 'id': 31497330}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1506966136.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-10-02 17:44:10.030181,80563.0,105.0
,,2017-10-02 17:19:50.469009,slurm_normal,1506966594.0,0,,1.0,main_w3_handler0,3272888,16990240,False,,246761160,bam,11056130.roundup,slurm,,132112168.0,corral-repl,,"""2fb2a96ca75411e78a0a005056ba55fb""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31506981}]",1,,,,"[{'src': 'hda', 'id': 31497330}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1506966456.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-10-02 17:49:58.414539,80563.0,138.0
,,2017-10-02 17:19:08.583379,slurm_normal,1506966718.0,0,,1.0,main_w3_handler1,3272888,16990214,False,,246761159,bam,11056178.roundup,slurm,,132112168.0,corral-repl,,"""e6d11f3aa75311e79e21005056ba55fb""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31506946}]",1,,,,"[{'src': 'hda', 'id': 31497330}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1506966607.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-10-02 17:52:37.160314,80563.0,111.0
,,2018-03-02 10:09:55.634198,slurm_normal,1519985931.0,0,7680.0,1.0,main_w3_handler1,3449135,18578462,False,,90795089,bam,12672983,slurm,,132112168.0,corral-repl,,"""d68136d61e0111e8956b005056ba2773""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 34166469}]",1,,,,"[{'src': 'hda', 'id': 34165949}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1519985862.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2018-03-02 10:18:54.190015,80563.0,69.0
,,2017-08-22 13:03:26.862082,slurm_normal,1503408322.0,0,,1.0,main_w3_handler1,3229422,16631485,False,,282636048,bam,10704023.roundup,slurm,,132112168.0,corral-repl,,"""451db6d2873a11e7a8d3005056ba55fb""","""false""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30950107}]",1,,,,"[{'src': 'hda', 'id': 30950081}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1503408146.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-08-22 13:25:23.581674,58017.0,176.0
,,2017-08-22 13:45:15.702024,slurm_normal,1503410585.0,0,,1.0,main_w3_handler1,3229453,16631723,False,,1764,bam,10704306.roundup,slurm,,132112168.0,corral-repl,,"""1ec6506a874011e7bdee005056ba55fb""","""false""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30950708}]",1,,,,"[{'src': 'hda', 'id': 30950154}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1503410520.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-08-22 14:03:10.316551,83620.0,65.0
,,2017-08-24 15:54:29.275555,slurm_normal,1503591177.0,0,,1.0,main_w3_handler1,3232020,16649746,False,,187693892,bam,10722639.roundup,slurm,,132112168.0,corral-repl,,"""8027d62688e411e78ca1005056ba55fb""","""false""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30978411}]",1,,,,"[{'src': 'hda', 'id': 30978287}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1503591005.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-08-24 16:13:03.799406,83620.0,172.0
