chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_bams,input_bams1,input_bams10,input_bams100,input_bams100_filetype,input_bams101,input_bams101_filetype,input_bams102,input_bams102_filetype,input_bams103,input_bams103_filetype,input_bams104,input_bams104_filetype,input_bams105,input_bams105_filetype,input_bams106,input_bams106_filetype,input_bams107,input_bams107_filetype,input_bams108,input_bams108_filetype,input_bams10_filetype,input_bams11,input_bams11_filetype,input_bams12,input_bams12_filetype,input_bams13,input_bams13_filetype,input_bams14,input_bams14_filetype,input_bams15,input_bams15_filetype,input_bams16,input_bams16_filetype,input_bams17,input_bams17_filetype,input_bams18,input_bams18_filetype,input_bams19,input_bams19_filetype,input_bams1_filetype,input_bams2,input_bams20,input_bams20_filetype,input_bams21,input_bams21_filetype,input_bams22,input_bams22_filetype,input_bams23,input_bams23_filetype,input_bams24,input_bams24_filetype,input_bams25,input_bams25_filetype,input_bams26,input_bams26_filetype,input_bams27,input_bams27_filetype,input_bams28,input_bams28_filetype,input_bams29,input_bams29_filetype,input_bams2_filetype,input_bams3,input_bams30,input_bams30_filetype,input_bams31,input_bams31_filetype,input_bams32,input_bams32_filetype,input_bams33,input_bams33_filetype,input_bams34,input_bams34_filetype,input_bams35,input_bams35_filetype,input_bams36,input_bams36_filetype,input_bams37,input_bams37_filetype,input_bams38,input_bams38_filetype,input_bams39,input_bams39_filetype,input_bams3_filetype,input_bams4,input_bams40,input_bams40_filetype,input_bams41,input_bams41_filetype,input_bams42,input_bams42_filetype,input_bams43,input_bams43_filetype,input_bams44,input_bams44_filetype,input_bams45,input_bams45_filetype,input_bams46,input_bams46_filetype,input_bams47,input_bams47_filetype,input_bams48,input_bams48_filetype,input_bams49,input_bams49_filetype,input_bams4_filetype,input_bams5,input_bams50,input_bams50_filetype,input_bams51,input_bams51_filetype,input_bams52,input_bams52_filetype,input_bams53,input_bams53_filetype,input_bams54,input_bams54_filetype,input_bams55,input_bams55_filetype,input_bams56,input_bams56_filetype,input_bams57,input_bams57_filetype,input_bams58,input_bams58_filetype,input_bams59,input_bams59_filetype,input_bams5_filetype,input_bams6,input_bams60,input_bams60_filetype,input_bams61,input_bams61_filetype,input_bams62,input_bams62_filetype,input_bams63,input_bams63_filetype,input_bams64,input_bams64_filetype,input_bams65,input_bams65_filetype,input_bams66,input_bams66_filetype,input_bams67,input_bams67_filetype,input_bams68,input_bams68_filetype,input_bams69,input_bams69_filetype,input_bams6_filetype,input_bams7,input_bams70,input_bams70_filetype,input_bams71,input_bams71_filetype,input_bams72,input_bams72_filetype,input_bams73,input_bams73_filetype,input_bams74,input_bams74_filetype,input_bams75,input_bams75_filetype,input_bams76,input_bams76_filetype,input_bams77,input_bams77_filetype,input_bams78,input_bams78_filetype,input_bams79,input_bams79_filetype,input_bams7_filetype,input_bams8,input_bams80,input_bams80_filetype,input_bams81,input_bams81_filetype,input_bams82,input_bams82_filetype,input_bams83,input_bams83_filetype,input_bams84,input_bams84_filetype,input_bams85,input_bams85_filetype,input_bams86,input_bams86_filetype,input_bams87,input_bams87_filetype,input_bams88,input_bams88_filetype,input_bams89,input_bams89_filetype,input_bams8_filetype,input_bams9,input_bams90,input_bams90_filetype,input_bams91,input_bams91_filetype,input_bams92,input_bams92_filetype,input_bams93,input_bams93_filetype,input_bams94,input_bams94_filetype,input_bams95,input_bams95_filetype,input_bams96,input_bams96_filetype,input_bams97,input_bams97_filetype,input_bams98,input_bams98_filetype,input_bams99,input_bams99_filetype,input_bams9_filetype,input_bams_filetype,input_bed,input_bed_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_bams,parameters.input_bams.values,parameters.input_bed,parameters.input_bed.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-02-22 21:25:34.898142,slurm_normal,1487803903.0,0,1.0,main_w4_handler0,3006596,15112253,False,,497305862,497305862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,9865671,bed,9267345.roundup,slurm,,132112168.0,corral-repl,,"""71f5b3eaf94511e6b5f5005056a52a46""","""/galaxy-repl/localdata/chrom/sacCer2.len""","""sacCer2""",,"[{'src': 'hda', 'id': 28469839}]",,"[{'src': 'hda', 'id': 28469391}]",32.0,,,1487801238.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0,2.0,,2017-02-22 22:51:45.802789,31286.0,2665.0
,,2017-02-22 21:47:11.875329,slurm_normal,1487808365.0,0,1.0,main_w4_handler1,3006624,15112510,False,,420577437,420577437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,9865671,bed,9268016.roundup,slurm,,132112168.0,corral-repl,,"""76b629f2f94811e680c5005056a51846""","""/galaxy-repl/localdata/chrom/sacCer2.len""","""sacCer2""",,"[{'src': 'hda', 'id': 28470309}]",,"[{'src': 'hda', 'id': 28469391}]",32.0,,,1487806957.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0,2.0,,2017-02-23 00:06:08.552341,31286.0,1408.0
,,2017-02-22 21:36:21.544879,slurm_normal,1487808977.0,0,1.0,main_w3_handler1,3006613,15112384,False,,473050367,473050367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,9865671,bed,9267930.roundup,slurm,,132112168.0,corral-repl,,"""f2a1c96af94611e69615005056a51846""","""/galaxy-repl/localdata/chrom/sacCer2.len""","""sacCer2""",,"[{'src': 'hda', 'id': 28470046}]",,"[{'src': 'hda', 'id': 28469391}]",32.0,,,1487806368.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0,2.0,,2017-02-23 00:16:19.324613,31286.0,2609.0
,,2017-02-22 21:48:24.196647,slurm_normal,1487808494.0,0,1.0,main_w4_handler1,3006626,15112526,False,,153046944,153046944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,9865671,bed,9268102.roundup,slurm,,132112168.0,corral-repl,,"""a188b640f94811e6a898005056a51846""","""/galaxy-repl/localdata/chrom/sacCer2.len""","""sacCer2""",,"[{'src': 'hda', 'id': 28470326}]",,"[{'src': 'hda', 'id': 28469391}]",32.0,,,1487807628.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0,2.0,,2017-02-23 00:08:18.285609,31286.0,866.0
,,2017-02-22 21:37:51.414907,slurm_normal,1487809268.0,0,1.0,main_w3_handler1,3006615,15112421,False,,478091638,478091638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,9865671,bed,9268019.roundup,slurm,,132112168.0,corral-repl,,"""288f8e7cf94711e68ee0005056a51846""","""/galaxy-repl/localdata/chrom/sacCer2.len""","""sacCer2""",,"[{'src': 'hda', 'id': 28470140}]",,"[{'src': 'hda', 'id': 28469391}]",32.0,,,1487806977.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0,2.0,,2017-02-23 00:21:11.766021,31286.0,2291.0
,,2017-02-23 17:54:21.780192,slurm_normal,1487875142.0,0,1.0,main_w4_handler0,3007626,15121016,False,,393009510,393009510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,9865671,bed,9275259.roundup,slurm,,132112168.0,corral-repl,,"""18251d40f9f111e68b6c005056a52a46""","""/galaxy-repl/localdata/chrom/sacCer2.len""","""sacCer2""",,"[{'src': 'hda', 'id': 28483346}]",,"[{'src': 'hda', 'id': 28469391}]",32.0,,,1487872936.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0,2.0,,2017-02-23 18:39:07.065075,31286.0,2206.0
,,2017-02-23 17:47:53.205587,slurm_normal,1487875152.0,0,1.0,main_w4_handler0,3007609,15120967,False,,393011984,393011984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,9865671,bed,9275246.roundup,slurm,,132112168.0,corral-repl,,"""310d69c6f9f011e69efc005056a52a46""","""/galaxy-repl/localdata/chrom/sacCer2.len""","""sacCer2""",,"[{'src': 'hda', 'id': 28483273}]",,"[{'src': 'hda', 'id': 28469391}]",32.0,,,1487872876.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0,2.0,,2017-02-23 18:39:15.311644,31286.0,2276.0
,,2017-02-23 20:50:47.882743,slurm_normal,1487886511.0,0,1.0,main_w4_handler0,3007975,15122889,False,,420063454,420063454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,9865671,bed,9276965.roundup,slurm,,132112168.0,corral-repl,,"""bd00151efa0911e6bc3e005056a51846""","""/galaxy-repl/localdata/chrom/sacCer2.len""","""sacCer2""",,"[{'src': 'hda', 'id': 28486439}]",,"[{'src': 'hda', 'id': 28469391}]",32.0,,,1487884127.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0,2.0,,2017-02-23 21:48:34.204232,31286.0,2384.0
,,2017-02-23 20:52:37.640898,slurm_normal,1487887927.0,0,1.0,main_w4_handler0,3007976,15122917,False,,320392903,320392903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,9865671,bed,9277468.roundup,slurm,,132112168.0,corral-repl,,"""fd261828fa0911e69c2f005056a51846""","""/galaxy-repl/localdata/chrom/sacCer2.len""","""sacCer2""",,"[{'src': 'hda', 'id': 28486481}]",,"[{'src': 'hda', 'id': 28469391}]",32.0,,,1487886829.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0,2.0,,2017-02-23 22:12:10.048559,31286.0,1098.0
,,2017-02-23 21:11:20.221021,slurm_normal,1487890418.0,0,1.0,main_w4_handler1,3007997,15123101,False,,431715238,431715238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,9865671,bed,9277615.roundup,slurm,,132112168.0,corral-repl,,"""9d399d88fa0c11e6a707005056a51846""","""/galaxy-repl/localdata/chrom/sacCer2.len""","""sacCer2""",,"[{'src': 'hda', 'id': 28486924}]",,"[{'src': 'hda', 'id': 28469391}]",32.0,,,1487887932.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0,2.0,,2017-02-23 22:53:43.766339,31286.0,2486.0
