create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_bam.values,parameters.option_set.__current_case__,parameters.option_set.change_identical,parameters.option_set.compute_cap,parameters.option_set.extended_baq,parameters.option_set.modify_quality,parameters.option_set.option_sets,parameters.reference_source.__current_case__,parameters.reference_source.ref_fasta,parameters.reference_source.ref_fasta.values,parameters.reference_source.reference_source_selector,processor_count,ref_fasta,ref_fasta_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-05-31 09:30:06.022370,slurm_normal,1496223049.0,0,,1.0,main_w3_handler1,3132555,15976500,False,,49565403,bam,10072482.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29829288}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29829462}]",history,32.0,5658.0,fasta,,38328568.0,1496223020.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-05-31 09:30:56.037038,53244.0,29.0
2017-05-31 09:27:31.283564,slurm_normal,1496222938.0,0,,1.0,main_w4_handler1,3132555,15976477,False,,72881024,bam,10072462.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29828878}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29829411}]",history,32.0,5658.0,fasta,,38328568.0,1496222896.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-05-31 09:28:59.844051,53244.0,42.0
2017-05-31 23:02:43.481191,slurm_normal,1496272602.0,0,,1.0,main_w3_handler0,3134558,15983626,False,,72881019,bam,10078933.roundup,slurm,,132112168.0,corral-repl,,"""3f1c0e1c465511e79332005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29833261}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29841069}]",history,32.0,5658.0,fasta,,,1496272559.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-05-31 23:16:49.281127,53244.0,43.0
2017-06-01 01:54:05.899587,slurm_normal,1496282106.0,0,,1.0,main_w3_handler0,3134558,15984421,False,,72881019,bam,10079701.roundup,slurm,,132112168.0,corral-repl,,"""3039a3d8466d11e792b7005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29833261}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29841069}]",history,32.0,5658.0,fasta,,,1496282063.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-01 01:55:08.898837,53244.0,43.0
2017-06-01 04:05:29.361579,slurm_normal,1496290010.0,0,,1.0,main_w4_handler0,3135285,15985243,False,,77883720,bam,10080492.roundup,slurm,,132112168.0,corral-repl,,"""8ae252f0467f11e7bb91005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29842821}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29843196}]",history,32.0,5658.0,fasta,,,1496289963.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-01 04:06:51.814591,53244.0,47.0
2017-06-01 16:12:51.863220,slurm_normal,1496333942.0,0,,1.0,main_w4_handler0,3135524,15990349,False,,139123125,bam,10085224.roundup,slurm,,132112168.0,corral-repl,,"""287bd80a46e511e79b99005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29845120}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29851401}]",history,32.0,5709.0,fasta,,,1496333855.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-01 16:19:07.398155,53244.0,87.0
2017-06-01 16:14:09.273991,slurm_normal,1496333985.0,0,,1.0,main_w3_handler1,3135584,15990362,False,,78007862,bam,10085229.roundup,slurm,,132112168.0,corral-repl,,"""56dc230846e511e79b99005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29850277}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29851446}]",history,32.0,5707.0,fasta,,,1496333931.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-01 16:19:48.820064,53244.0,54.0
2017-06-01 16:14:49.965550,slurm_normal,1496334061.0,0,,1.0,main_w4_handler1,3135581,15990368,False,,36514184,bam,10085250.roundup,slurm,,132112168.0,corral-repl,,"""6eaf0fe046e511e7916e005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29849741}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29851410}]",history,32.0,5707.0,fasta,,,1496334035.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-01 16:21:02.589637,53244.0,26.0
2017-06-01 16:12:20.564515,slurm_normal,1496333890.0,0,,1.0,main_w3_handler0,3135585,15990344,False,,72812518,bam,10085220.roundup,slurm,,132112168.0,corral-repl,,"""1429019846e511e78e01005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29847683}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29851408}]",history,32.0,5707.0,fasta,,,1496333844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-01 16:18:12.519848,53244.0,46.0
2017-06-01 16:13:24.398056,slurm_normal,1496333981.0,0,,1.0,main_w3_handler0,3135350,15990356,False,,176669273,bam,10085226.roundup,slurm,,132112168.0,corral-repl,,"""3c2a3c1646e511e7ace5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29847060}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29851404}]",history,32.0,5709.0,fasta,,,1496333876.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-01 16:19:42.928620,53244.0,105.0
