chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.identifier,parameters.identifier.__class__,parameters.identifier.value,parameters.input_file,parameters.input_file.values,parameters.input_file|__identifier__,parameters.quality,parameters.quality.__class__,parameters.quality.value,parameters.sequence,parameters.sequence.__class__,parameters.sequence.value,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-04-06 14:52:44.735160,slurm_normal,1428331978.0,0,,1.0,main_w1_handler1,2260938,9149883,False,,53366912,tabular,3432752.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",,,19159956,,,"""1""",,,"""1""",,,32.0,,22056544.0,1428331973.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-06 14:52:59.702048,60914.0,5.0
,,2015-06-19 16:51:52.070234,slurm_normal,1434732738.0,0,,1.0,main_w1_handler1,2346576,9693869,False,,265,tabular,4002590.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",,,20071664,,,"""3""",,,"""2""",,,32.0,,23531070.0,1434732735.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-06-19 16:52:21.852563,5613.0,3.0
,,2015-04-07 12:51:39.890047,slurm_normal,1428411245.0,0,,1.0,main_w2_handler0,2253926,9157536,False,,7131106367,tabular,3439756.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",,,19172623,,,"""1""",,,"""1""",,,32.0,,21921182.0,1428411117.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-07 12:54:09.898734,29506.0,128.0
,,2015-04-10 10:34:48.790410,slurm_normal,1428662405.0,0,,1.0,main_w1_handler0,2266006,9192088,False,,99068,tabular,3473764.roundup,slurm,,132112168.0,corral-repl,,,,"""34ba0b8cdf6d11e48c67005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19224743,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22370742.0,1428662402.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 10:40:07.973013,50963.0,3.0
,,2015-04-10 10:34:42.149846,slurm_normal,1428662314.0,0,,1.0,main_w1_handler1,2266005,9192079,False,,10552,tabular,3473743.roundup,slurm,,132112168.0,corral-repl,,,,"""2fcdac82df6d11e48c67005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19224733,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22370742.0,1428662312.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 10:38:41.761908,50963.0,2.0
,,2015-04-10 10:34:27.355492,slurm_normal,1428662371.0,0,,1.0,main_w2_handler1,2266003,9192064,False,,236530,tabular,3473755.roundup,slurm,,132112168.0,corral-repl,,,,"""27fc8ad2df6d11e48c67005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19224716,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22370742.0,1428662342.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 10:39:33.853563,50963.0,29.0
,,2015-04-10 11:15:54.121943,slurm_normal,1428664939.0,0,,1.0,main_w1_handler1,2030615,9192297,False,,144732750,tabular,3474077.roundup,slurm,,132112168.0,corral-repl,,,,"""f2095b84df7211e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19224993,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428664934.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:22:23.402211,17011.0,5.0
,,2015-04-10 11:15:36.600811,slurm_normal,1428664939.0,0,,1.0,main_w1_handler1,2030615,9192277,False,,170413850,tabular,3474075.roundup,slurm,,132112168.0,corral-repl,,,,"""e70a31aedf7211e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19224973,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428664934.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:22:22.907889,17011.0,5.0
,,2015-04-10 11:15:46.351992,slurm_normal,1428664957.0,0,,1.0,main_w2_handler0,2030615,9192285,False,,197938228,tabular,3474080.roundup,slurm,,132112168.0,corral-repl,,,,"""ed2c4248df7211e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19224981,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428664952.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:22:41.958212,17011.0,5.0
,,2015-04-10 11:55:56.822856,slurm_normal,1428667098.0,0,,1.0,main_w2_handler0,2266075,9192500,False,,2739620,tabular,3474358.roundup,slurm,,132112168.0,corral-repl,,,,"""8a30ea26df7811e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225227,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22370742.0,1428667095.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:58:20.187489,50963.0,3.0
,,2015-04-10 11:16:11.062009,slurm_normal,1428665543.0,0,,1.0,main_w2_handler0,2030615,9192314,False,,169053986,tabular,3474164.roundup,slurm,,132112168.0,corral-repl,,,,"""fbd3ad86df7211e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225010,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428665534.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:32:28.027596,17011.0,9.0
,,2015-04-10 11:16:20.628138,slurm_normal,1428665107.0,0,,1.0,main_w2_handler0,2030615,9192322,False,,156000826,tabular,3474105.roundup,slurm,,132112168.0,corral-repl,,,,"""00ccde48df7311e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225018,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428665102.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:25:09.518319,17011.0,5.0
,,2015-04-10 11:16:03.498889,slurm_normal,1428665300.0,0,,1.0,main_w1_handler1,2030615,9192306,False,,188092448,tabular,3474131.roundup,slurm,,132112168.0,corral-repl,,,,"""f6ab5dd6df7211e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225002,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428665294.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:28:22.660831,17011.0,6.0
,,2015-04-07 18:40:42.152677,slurm_normal,1428432084.0,0,,1.0,main_w2_handler0,2262660,9162046,False,,433190416,interval,3443954.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,19178810,,,"""1""",,,"""1""",,,32.0,,22301119.0,1428432062.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-07 18:41:31.485817,51666.0,22.0
,,2015-04-10 11:16:29.227989,slurm_normal,1428665709.0,0,,1.0,main_w2_handler1,2030615,9192330,False,,164902390,tabular,3474198.roundup,slurm,,132112168.0,corral-repl,,,,"""06e97bb0df7311e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225026,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428665702.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:35:15.243421,17011.0,7.0
,,2015-04-10 11:16:36.917488,slurm_normal,1428665680.0,0,,1.0,main_w1_handler1,2030615,9192338,False,,106158262,tabular,3474190.roundup,slurm,,132112168.0,corral-repl,,,,"""0b3fa63adf7311e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225034,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428665672.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:34:43.846632,17011.0,8.0
,,2015-04-10 11:16:47.948144,slurm_normal,1428665736.0,0,,1.0,main_w1_handler1,2030615,9192350,False,,105451744,tabular,3474204.roundup,slurm,,132112168.0,corral-repl,,,,"""1110d7c8df7311e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225045,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428665732.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:35:39.109927,17011.0,4.0
,,2015-04-10 11:16:56.382723,slurm_normal,1428665800.0,0,,1.0,main_w2_handler1,2030615,9192358,False,,130008368,tabular,3474211.roundup,slurm,,132112168.0,corral-repl,,,,"""16f9c8f2df7311e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225054,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22190725.0,1428665792.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:36:45.655229,17011.0,8.0
,,2015-04-10 11:56:12.316012,slurm_normal,1428667115.0,0,,1.0,main_w2_handler0,2266078,9192521,False,,2210122,tabular,3474364.roundup,slurm,,132112168.0,corral-repl,,,,"""93cee038df7811e49ba5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,19225251,,,,UnvalidatedValue,3,,UnvalidatedValue,2,32.0,,22370742.0,1428667112.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0,1.0.0,,2015-04-10 11:58:39.707202,50963.0,3.0
