bed_data,bed_data_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bed_data,parameters.bed_data.values,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.key_option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
9910,bed,,,2016-03-09 20:38:31.067995,slurm_normal,1457556275.0,0,1.0,main_w1_handler0,2627515,12088018,False,,29759,vcf,6312729.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764346,,"""26""","""BED-features""",32.0,,28352648.0,1457556230.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:44:40.803612,77099.0,45.0
9910,bed,,,2016-03-09 20:38:34.477246,slurm_normal,1457556275.0,0,1.0,main_w1_handler0,2627515,12088021,False,,27330,vcf,6312733.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764349,,"""29""","""BED-features""",32.0,,28352648.0,1457556243.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:44:41.174363,77099.0,32.0
9910,bed,,,2016-03-09 20:38:39.898785,slurm_normal,1457556311.0,0,1.0,main_w1_handler0,2627515,12088026,False,,29984,vcf,6312749.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764356,,"""33""","""BED-features""",32.0,,28352648.0,1457556306.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:45:16.114572,77099.0,5.0
9910,bed,,,2016-03-09 20:42:03.224597,slurm_normal,1457556330.0,0,1.0,main_w1_handler1,2627515,12088203,False,,27894,vcf,6312755.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764522,,"""175""","""BED-features""",32.0,,28352648.0,1457556325.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:45:32.898363,77099.0,5.0
9910,bed,,,2016-03-09 20:38:00.502424,slurm_normal,1457555901.0,0,1.0,main_w1_handler2,2627515,12087991,False,,7645,vcf,6312654.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764313,,"""0""","""BED-features""",32.0,,28352648.0,1457555898.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:38:25.682662,77099.0,3.0
9910,bed,,,2016-03-09 20:38:01.898501,slurm_normal,1457555910.0,0,1.0,main_w1_handler0,2627515,12087992,False,,22171,vcf,6312655.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764316,,"""1""","""BED-features""",32.0,,28352648.0,1457555900.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:38:32.804466,77099.0,10.0
9910,bed,,,2016-03-09 20:38:06.359525,slurm_normal,1457555912.0,0,1.0,main_w1_handler2,2627515,12087995,False,,30159,vcf,6312657.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764321,,"""4""","""BED-features""",32.0,,28352648.0,1457555909.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:38:36.145167,77099.0,3.0
18514733,bed,,,2015-06-18 20:01:26.976366,slurm_normal,1434657729.0,0,1.0,main_w1_handler2,2348238,9686907,False,,12609659,vcf,3996163.roundup,slurm,,132112168.0,corral-repl,,,20060512,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20060561,,,"""-d=1""",32.0,,23709056.0,1434657707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2015-06-18 20:02:11.145991,64892.0,22.0
9910,bed,,,2016-03-09 20:38:37.117042,slurm_normal,1457555969.0,0,1.0,main_w1_handler2,2627515,12088023,False,,30905,vcf,6312668.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764353,,"""31""","""BED-features""",32.0,,28352648.0,1457555954.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:39:33.016844,77099.0,15.0
9910,bed,,,2016-03-09 20:38:41.099564,slurm_normal,1457555969.0,0,1.0,main_w1_handler2,2627515,12088027,False,,31862,vcf,6312670.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764357,,"""34""","""BED-features""",32.0,,28352648.0,1457555964.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:39:33.680620,77099.0,5.0
