chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-05 02:34:38.616575,slurm_normal,1430793304.0,0,,1.0,main_w2_handler1,2290533,9392919,False,,56162045,vcf,3725387.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19539099,,,32.0,,22834306.0,1430793292.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-05-05 02:35:07.933816,37542.0,12.0
,,2015-05-05 02:38:53.439808,slurm_normal,1430793584.0,0,,1.0,main_w1_handler1,2290533,9393020,False,,374854681,vcf,3725429.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",19551884,,,32.0,,22834306.0,1430793554.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-05-05 02:39:47.207337,37542.0,30.0
,,2015-07-27 11:41:52.923271,slurm_normal,1438000053.0,0,,1.0,main_w2_handler0,2391764,10005396,False,,1198045,vcf,4287955.roundup,slurm,,132112168.0,corral-repl,,"""5c9277fc345411e58cd3005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20577358,,,32.0,,24291770.0,1438000046.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-07-27 12:27:35.559028,65657.0,7.0
,,2015-07-27 17:41:17.153418,slurm_normal,1438019809.0,0,,1.0,main_w1_handler1,2392156,10009081,False,,1628771,vcf,4291452.roundup,slurm,,132112168.0,corral-repl,,"""a1c12daa348611e5a8b1005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20582317,,,32.0,,24272315.0,1438019806.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-07-27 17:56:51.555180,66674.0,3.0
,,2015-07-27 17:41:14.943776,slurm_normal,1438019793.0,0,,1.0,main_w2_handler0,2392156,10009078,False,,1628771,vcf,4291449.roundup,slurm,,132112168.0,corral-repl,,"""a1c12daa348611e5a8b1005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20582312,,,32.0,,24272315.0,1438019788.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-07-27 17:56:37.252954,66674.0,5.0
,,2015-07-27 17:41:18.388337,slurm_normal,1438020048.0,0,,1.0,main_w2_handler1,2392156,10009082,False,,1910456,vcf,4291488.roundup,slurm,,132112168.0,corral-repl,,"""a1c12daa348611e5a8b1005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20582320,,,32.0,,24272315.0,1438020043.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-07-27 18:00:51.193256,66674.0,5.0
,,2015-07-27 17:41:16.052264,slurm_normal,1438020700.0,0,,1.0,main_w2_handler1,2392156,10009080,False,,1628771,vcf,4291562.roundup,slurm,,132112168.0,corral-repl,,"""a1c12daa348611e5a8b1005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20582315,,,32.0,,24272315.0,1438020695.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-07-27 18:11:42.974464,66674.0,5.0
,,2015-07-27 18:53:29.575481,slurm_normal,1438023242.0,0,,1.0,main_w1_handler2,2389432,10009660,False,,1201698,vcf,4291905.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20583037,,,32.0,,24137079.0,1438023234.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-07-27 18:54:08.842516,66136.0,8.0
,,2015-05-08 13:31:59.618334,slurm_normal,1431091950.0,0,,1.0,main_w2_handler1,2298379,9429890,False,,15358709,vcf,3757536.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19637507,,,32.0,,22958430.0,1431091944.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-05-08 13:32:33.568222,63288.0,6.0
,,2015-05-08 13:33:24.273475,slurm_normal,1431092028.0,0,,1.0,main_w2_handler1,2298379,9429895,False,,15387061,vcf,3757540.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19637508,,,32.0,,22958430.0,1431092018.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-05-08 13:33:50.450174,63288.0,10.0
,,2015-05-08 13:30:50.086046,slurm_normal,1431091875.0,0,,1.0,main_w1_handler0,2298379,9429884,False,,15392124,vcf,3757530.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19637506,,,32.0,,22958430.0,1431091867.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-05-08 13:31:17.804800,63288.0,8.0
,,2015-05-11 14:07:29.206484,slurm_normal,1431353286.0,0,,1.0,main_w2_handler1,2275499,9444482,False,,8162892,vcf,3770460.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19662919,,,32.0,,22617174.0,1431353277.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-05-11 14:08:09.210352,30333.0,9.0
,,2015-04-29 09:36:59.816301,slurm_normal,1430300241.0,0,,1.0,main_w2_handler1,2261788,9358664,False,,88526,vcf,3695330.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19510068,,,32.0,,22288778.0,1430300237.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-04-29 09:37:25.521701,,4.0
,,2015-06-23 21:04:06.857114,slurm_normal,1435093552.0,0,,1.0,main_w2_handler1,2352304,9719966,False,,1061174372,vcf,4026214,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20110095,,,32.0,,23760254.0,1435093492.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-06-23 21:06:03.818627,,60.0
,,2015-10-24 01:59:26.894247,slurm_normal,1445651990.0,0,,1.0,main_w1_handler1,2483193,10709168,False,,1137880,vcf,4972025.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21712341,,,32.0,,25662149.0,1445651986.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-10-24 01:59:53.798318,71120.0,4.0
,,2015-05-03 19:48:54.492411,slurm_normal,1430682554.0,0,,1.0,main_w1_handler1,2292092,9383443,False,,82851,vcf,3717764.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19549696,,,32.0,,22846639.0,1430682551.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-05-03 19:49:16.056106,,3.0
,,2015-05-03 19:48:43.679888,slurm_normal,1430682545.0,0,,1.0,main_w1_handler0,2292092,9383441,False,,59373,vcf,3717763.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19549697,,,32.0,,22846639.0,1430682542.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2015-05-03 19:49:06.624732,,3.0
