chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.condition,parameters.dbkey,parameters.description,parameters.filter,parameters.input,parameters.input.values,parameters.tag,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-02-01 16:03:23.477194,slurm_normal,1517501020.0,255,,1.0,main_w3_handler1,3406206,18224761,False,,56940344,vcf,12305177,slurm,,132111800.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""","""""",,"[{'src': 'hda', 'id': 33610774}]","""""",32.0,,43453816.0,1517501013.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-01 16:03:42.194848,108472.0,7.0
,,2018-02-03 14:12:24.354423,slurm_normal,1517667156.0,255,,1.0,main_w3_handler0,3412012,18246449,False,,13367,vcf,12327764,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""""","""hg38""","""""","""""",,"[{'src': 'hda', 'id': 33653682}]","""""",32.0,,43629314.0,1517667152.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-03 14:12:37.040441,121035.0,4.0
,,2018-02-04 01:33:33.198662,slurm_normal,1517710620.0,255,,1.0,main_w3_handler1,2612817,18249102,False,,10950030,vcf,12330888,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""",""">= ${allele_freq}""","""hg38""","""MinAF [${allele_freq}] ""","""MinAF""",,"[{'src': 'hda', 'id': 33657770}]","""FORMAT/FREQ""",32.0,,43648854.0,1517710616.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-04 02:17:01.593869,79334.0,4.0
,,2018-02-04 01:43:30.569840,slurm_normal,1517710632.0,255,,1.0,main_w3_handler1,2612817,18249128,False,,0,vcf,12330890,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""",""">= ${allele_freq} ""","""hg38""","""MinAF [${allele_freq}]""","""MinAF""",,"[{'src': 'hda', 'id': 33657774}]","""FORMAT/FREQ""",32.0,,43648854.0,1517710629.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-04 02:17:14.383582,79334.0,3.0
,,2018-02-06 03:02:39.951285,slurm_normal,1517886173.0,255,7680.0,1.0,main_w4_handler0,3400159,18265200,False,,886092,vcf,12346816,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""""","""hg19""","""""","""""",,"[{'src': 'hda', 'id': 33565033}]","""""",32.0,,43364160.0,1517886169.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-06 03:02:55.211087,120336.0,4.0
,,2018-02-07 14:37:38.701671,slurm_normal,1518014365.0,255,7680.0,1.0,main_w3_handler0,3419009,18295626,False,,65973748,vcf,12376738,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""""","""hg19""","""""","""""",,"[{'src': 'hda', 'id': 33725755}]","""""",32.0,,43715639.0,1518014362.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-07 14:39:29.233698,,3.0
,,2018-02-11 20:57:34.621985,slurm_normal,1518382663.0,255,7680.0,1.0,main_w4_handler0,3423341,18344066,False,,22028577,vcf,12428412,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""",""">= ${allele_freq}""","""hg38""","""MinAF [${allele_freq}]""","""MinAF""",,"[{'src': 'hda', 'id': 33798532}]","""FORMAT/FREQ""",32.0,,43823299.0,1518382661.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-11 20:57:44.766529,121082.0,2.0
,,2018-02-12 13:42:58.229913,slurm_normal,1518442989.0,255,7680.0,1.0,main_w4_handler1,2292601,18349718,False,,392421442,vcf,12434314,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""","""""",,"[{'src': 'hda', 'id': 33479382}]","""""",32.0,,43349829.0,1518442985.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-12 13:43:11.552002,63052.0,4.0
,,2018-02-13 09:56:53.867560,slurm_normal,1518515827.0,25,7680.0,1.0,main_w3_handler1,3423341,18363404,False,,22028577,vcf,12448303,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""",""">= [desired allele freq]""","""hg38""","""""","""MinAF""",,"[{'src': 'hda', 'id': 33798532}]","""FORMAT/FREQ""",32.0,,43712752.0,1518515823.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-13 09:57:10.154873,121082.0,4.0
,,2018-02-13 10:06:50.024780,slurm_normal,1518516454.0,0,7680.0,1.0,main_w3_handler1,3423341,18363485,False,,22028577,vcf,12448377,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""",""">= 0.05""","""hg38""","""""","""MinAF""",,"[{'src': 'hda', 'id': 33798532}]","""FORMAT/FREQ""",32.0,,43712752.0,1518516422.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-13 10:07:36.993461,121082.0,32.0
