chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.A,parameters.D.__current_case__,parameters.D.input,parameters.D.input.values,parameters.D.seq_dictionary,parameters.F,parameters.G,parameters.N,parameters.S,parameters.__workflow_invocation_uuid__,parameters.b,parameters.c,parameters.chromInfo,parameters.dbkey,parameters.e,parameters.g,parameters.i.__current_case__,parameters.i.alt_indel_snp_ratio,parameters.i.ratio,parameters.input,parameters.input.values,parameters.p.__current_case__,parameters.p.float_value,parameters.p.variant_filter,parameters.t.__current_case__,parameters.t.mutation_rate,parameters.t.rate,parameters.u,parameters.v,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-02-10 10:24:20.145919,rodeo_normal,1423563880.0,0.0,,1.0,main_w2_handler0,2199435,8692490,False,,3040185.0,bcf,2698428.roundup,slurm,,132112168.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""true""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","""true""",1,false,,18459101,,1,,false,1,false,,"""false""","""true""",32.0,,21160889.0,1423563877.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2015-02-10 10:24:42.783965,59380.0,3.0
,,2017-03-17 18:44:47.144216,slurm_normal,1489776299.0,0.0,,1.0,main_w4_handler1,3018411,15327064,False,,127607678.0,bcf,9467901.roundup,slurm,,132112168.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""true""",1,false,,,"[{'src': 'hda', 'id': 28810721}]",1,,false,1,false,,"""false""","""true""",32.0,,36690100.0,1489776291.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2017-03-17 18:45:00.532118,101341.0,8.0
,,2014-11-13 17:56:52.130435,rodeo_normal,1415903157.0,0.0,,1.0,main_w1_handler1,2117577,8160664,False,,2316589.0,bcf,201572.rodeo,slurm,,16332532.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""true""","""false""","""600c80ae6b5e11e498fc005056a51846""","""false""","""true""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""false""","""true""",1,false,,17530082,,1,,false,1,false,,"""false""","""false""",2.0,,16445999.0,1415903144.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-11-13 18:26:00.272004,31372.0,13.0
,,2014-11-13 17:56:51.259343,rodeo_normal,1415903519.0,0.0,,1.0,main_w1_handler1,2117577,8160663,False,,2900983.0,bcf,201673.rodeo,slurm,,8059880.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""true""","""false""","""600c80ae6b5e11e498fc005056a51846""","""false""","""true""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""false""","""true""",1,false,,17530080,,1,,false,1,false,,"""false""","""false""",1.0,,16445999.0,1415903508.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-11-13 18:32:02.494371,31372.0,11.0
,,2015-02-08 06:37:10.965091,rodeo_normal,1423377454.0,0.0,,1.0,main_w2_handler1,2194742,8682358,False,,13019519.0,bcf,2678671.roundup,slurm,,132112168.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""true""",1,false,,18443873,,1,,false,1,false,,"""false""","""true""",32.0,,21085841.0,1423377450.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2015-02-08 06:37:35.791402,59147.0,4.0
,,2014-10-29 12:43:10.922378,rodeo_normal,1414586605.0,0.0,,1.0,main_w2_handler0,2099892,8062446,False,,931838.0,bcf,92513.rodeo,slurm,,16332532.0,corral-repl,,"""true""",1,,,false,"""false""","""false""","""true""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""true""",1,false,,17366271,,1,,false,1,false,,"""false""","""false""",2.0,,17997769.0,1414586602.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-10-29 12:43:28.534847,42091.0,3.0
,,2015-02-09 23:38:38.382480,rodeo_normal,1423525494.0,0.0,,1.0,main_w1_handler0,2197694,8690161,False,,3726925391.0,bcf,2693681.roundup,slurm,,132112168.0,corral-repl,,"""true""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""false""","""true""",1,false,,18450253,,1,,false,1,false,,"""false""","""true""",32.0,,21137266.0,1423525144.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2015-02-09 23:44:57.961922,43570.0,350.0
,,2015-02-09 23:38:23.919814,rodeo_normal,1423525721.0,0.0,,1.0,main_w1_handler0,2197694,8690158,False,,3726925391.0,bcf,2693677.roundup,slurm,,132112168.0,corral-repl,,"""true""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""false""","""true""",1,false,,18450253,,1,,false,1,false,,"""false""","""true""",32.0,,21137266.0,1423525130.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2015-02-09 23:48:44.180193,43570.0,591.0
,,2014-09-10 17:47:36.488792,roundup_single,1410372300.0,0.0,,1.0,main_w2_handler1,2030035,7692652,False,,27783271294.0,bcf,1678510,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","""false""","""true""",1,false,,16684914,,1,,false,1,false,,"""false""","""true""",32.0,,16681833.0,1410371285.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-10 18:05:03.066288,52416.0,1015.0
,,2014-09-10 23:29:47.928098,roundup_single,1410391876.0,0.0,,1.0,main_w1_handler0,2041840,7695193,False,,2913373207.0,bcf,1682055,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""true""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""false""","""true""",1,false,,16712737,,0,0.5,true,0,true,0.001,"""false""","""true""",32.0,,16819378.0,1410391805.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-10 23:31:18.123710,52782.0,71.0
