create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB1,inputB10,inputB10_filetype,inputB11,inputB11_filetype,inputB12,inputB12_filetype,inputB13,inputB13_filetype,inputB14,inputB14_filetype,inputB15,inputB15_filetype,inputB16,inputB16_filetype,inputB17,inputB17_filetype,inputB18,inputB18_filetype,inputB19,inputB19_filetype,inputB1_filetype,inputB2,inputB2_filetype,inputB3,inputB3_filetype,inputB4,inputB4_filetype,inputB5,inputB5_filetype,inputB6,inputB6_filetype,inputB7,inputB7_filetype,inputB8,inputB8_filetype,inputB9,inputB9_filetype,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.addition,parameters.addition2.__current_case__,parameters.addition2.addition2_select,parameters.addition2.id,parameters.addition2.iu,parameters.chromInfo,parameters.dbkey,parameters.inputA,parameters.inputA.values,parameters.inputB,parameters.inputB.values,parameters.io,parameters.mdb,parameters.strand,parameters.ties,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-02-23 17:56:21.623633,slurm_normal,1487872604.0,0,1.0,main_w4_handler1,2788464,15121038,False,,6932652,bed,14583342,14583342,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9275180.roundup,slurm,,132112168.0,corral-repl,,,"""false""",2,b,false,false,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28449586}]",,"[{'src': 'hda', 'id': 28435331}]","""false""","""each""","""""","""all""",32.0,,35483211.0,1487872586.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-02-23 17:56:48.457726,66832.0,18.0
2017-04-04 09:19:40.550661,slurm_normal,1491297606.0,0,1.0,main_w3_handler0,2802843,15480334,False,,10037,bed,2958228,2958228,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9609028.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29058592}]",,"[{'src': 'hda', 'id': 27562165}]","""false""","""each""","""""","""all""",32.0,,37092707.0,1491297587.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-04-04 09:20:08.795705,89095.0,19.0
2017-04-04 09:19:41.369331,slurm_normal,1491297608.0,0,1.0,main_w3_handler0,2802843,15480335,False,,67877,bed,2958228,2958228,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9609029.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29058593}]",,"[{'src': 'hda', 'id': 27562165}]","""false""","""each""","""""","""all""",32.0,,37092707.0,1491297593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-04-04 09:20:10.919206,89095.0,15.0
2017-02-28 23:12:31.836233,slurm_normal,1488323562.0,0,1.0,main_w3_handler1,2204713,15172432,False,,180184,bed,6149748,6149748,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9323237.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 28561495}]",,"[{'src': 'hda', 'id': 28562163}]","""false""","""each""","""""","""all""",32.0,,34702533.0,1488323557.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-02-28 23:12:43.545801,58981.0,5.0
2017-03-01 16:13:25.732465,slurm_normal,1488384814.0,0,1.0,main_w3_handler0,2990499,15180142,False,,17261,bed,12058080,12058080,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9330552.roundup,slurm,,132112168.0,corral-repl,,,"""false""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28573590}]",,"[{'src': 'hda', 'id': 28573582}]","""false""","""each""","""""","""first""",32.0,,36352879.0,1488384808.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-01 16:13:38.310270,29502.0,6.0
2017-04-06 05:32:34.979649,slurm_normal,1491456768.0,0,1.0,main_w3_handler1,1323885,15502592,False,,4206386,bed,23526324,23526324,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9629837.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 29093948}]",,"[{'src': 'hda', 'id': 29093960}]","""false""","""each""","""""","""first""",32.0,,36602417.0,1491456757.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-04-06 05:32:51.960545,31552.0,11.0
2017-03-12 21:14:55.617469,slurm_normal,1489353314.0,0,1.0,main_w4_handler0,2709324,15276095,False,,4491,bed,4491,4491,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9420971.roundup,slurm,,132112168.0,corral-repl,,,"""false""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28728363}]",,"[{'src': 'hda', 'id': 28728363}]","""false""","""each""","""""","""all""",32.0,,36438177.0,1489353310.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-12 21:15:16.615286,65184.0,4.0
2017-03-12 19:57:56.553090,slurm_normal,1489348915.0,0,1.0,main_w4_handler0,2709324,15275683,False,,12368,bed,601696,601696,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9420601.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28727713}]",,"[{'src': 'hda', 'id': 28727715}]","""false""","""each""","""""","""all""",32.0,,36438177.0,1489348911.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-12 20:03:29.025158,65184.0,4.0
2017-03-12 20:12:18.175402,slurm_normal,1489349545.0,0,1.0,main_w3_handler1,2709324,15275752,False,,16831,bed,601696,601696,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9420659.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28727822}]",,"[{'src': 'hda', 'id': 28727715}]","""false""","""each""","""""","""first""",32.0,,36438177.0,1489349541.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-12 20:12:26.576386,65184.0,4.0
2017-03-12 22:02:42.997524,slurm_normal,1489356262.0,0,1.0,main_w3_handler0,2709324,15276329,False,,12368,bed,762498,762498,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9421182.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28727713}]",,"[{'src': 'hda', 'id': 28728644}]","""false""","""each""","""""","""first""",32.0,,36438177.0,1489356167.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-12 22:04:24.260125,65184.0,95.0
