create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.genome_file_opts.__current_case__,parameters.genome_file_opts.genome,parameters.genome_file_opts.genome_file_opts_selector,parameters.inputA.values,parameters.inputB.values,parameters.m,parameters.overlap,parameters.reciprocal,parameters.split,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-26 11:38:29.472784,slurm_normal,1519645130.0,0,7680.0,1.0,main_w3_handler1,3263966,18521260,False,,33722,bed,25120,bed,12617401,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,hg19_rCRS_pUC18_phiX174,loc,"[{'src': 'hda', 'id': 34070039}]","[{'src': 'hda', 'id': 34070260}]","""false""","""1e-09""","""false""","""false""","""""",32.0,,44165428,1519645126.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_fisher/2.27.0.0,2.27.0.0,,2018-02-26 11:38:52.279090,86752,4.0
2018-02-26 11:39:14.589304,slurm_normal,1519645165.0,0,7680.0,1.0,main_w3_handler0,3263966,18521272,False,,24008,bed,24400,bed,12617407,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,hg19_rCRS_pUC18_phiX174,loc,"[{'src': 'hda', 'id': 34070038}]","[{'src': 'hda', 'id': 34070213}]","""false""","""1e-09""","""false""","""false""","""""",32.0,,44165428,1519645162.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_fisher/2.27.0.0,2.27.0.0,,2018-02-26 11:39:26.235112,86752,3.0
2018-02-26 11:39:13.217686,slurm_normal,1519645166.0,0,7680.0,1.0,main_w3_handler1,3263966,18521269,False,,701,bed,24400,bed,12617408,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,hg19_rCRS_pUC18_phiX174,loc,"[{'src': 'hda', 'id': 34070035}]","[{'src': 'hda', 'id': 34070213}]","""false""","""1e-09""","""false""","""false""","""""",32.0,,44165428,1519645162.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_fisher/2.27.0.0,2.27.0.0,,2018-02-26 11:39:27.472306,86752,4.0
2018-02-26 11:39:12.815832,slurm_normal,1519645165.0,0,7680.0,1.0,main_w3_handler0,3263966,18521268,False,,5722,bed,24400,bed,12617406,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,hg19_rCRS_pUC18_phiX174,loc,"[{'src': 'hda', 'id': 34070034}]","[{'src': 'hda', 'id': 34070213}]","""false""","""1e-09""","""false""","""false""","""""",32.0,,44165428,1519645162.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_fisher/2.27.0.0,2.27.0.0,,2018-02-26 11:39:27.608814,86752,3.0
2018-02-26 11:39:13.990927,slurm_normal,1519645185.0,0,7680.0,1.0,main_w4_handler0,3263966,18521271,False,,13403,bed,24400,bed,12617411,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,hg19_rCRS_pUC18_phiX174,loc,"[{'src': 'hda', 'id': 34070037}]","[{'src': 'hda', 'id': 34070213}]","""false""","""1e-09""","""false""","""false""","""""",32.0,,44165428,1519645182.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_fisher/2.27.0.0,2.27.0.0,,2018-02-26 11:39:46.905407,86752,3.0
2018-02-26 11:39:15.285440,slurm_normal,1519645190.0,0,7680.0,1.0,main_w4_handler0,3263966,18521274,False,,13125,bed,24400,bed,12617414,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,hg19_rCRS_pUC18_phiX174,loc,"[{'src': 'hda', 'id': 34070040}]","[{'src': 'hda', 'id': 34070213}]","""false""","""1e-09""","""false""","""false""","""""",32.0,,44165428,1519645185.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_fisher/2.27.0.0,2.27.0.0,,2018-02-26 11:39:51.026464,86752,5.0
2018-02-26 11:39:13.728437,slurm_normal,1519645191.0,0,7680.0,1.0,main_w4_handler0,3263966,18521270,False,,18508,bed,24400,bed,12617409,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,hg19_rCRS_pUC18_phiX174,loc,"[{'src': 'hda', 'id': 34070036}]","[{'src': 'hda', 'id': 34070213}]","""false""","""1e-09""","""false""","""false""","""""",32.0,,44165428,1519645165.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_fisher/2.27.0.0,2.27.0.0,,2018-02-26 11:39:52.357101,86752,26.0
2018-02-26 11:36:38.496822,slurm_normal,1519645013.0,0,7680.0,1.0,main_w3_handler1,3263966,18521244,False,,25120,bed,13125,bed,12617383,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,hg19_rCRS_pUC18_phiX174,loc,"[{'src': 'hda', 'id': 34070260}]","[{'src': 'hda', 'id': 34070040}]","""false""","""1e-09""","""false""","""false""","""""",32.0,,44165428,1519645006.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_fisher/2.27.0.0,2.27.0.0,,2018-02-26 11:36:55.239511,86752,7.0
2018-02-26 11:38:28.991144,slurm_normal,1519645119.0,0,7680.0,1.0,main_w4_handler0,3263966,18521258,False,,13403,bed,25120,bed,12617397,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,hg19_rCRS_pUC18_phiX174,loc,"[{'src': 'hda', 'id': 34070037}]","[{'src': 'hda', 'id': 34070260}]","""false""","""1e-09""","""false""","""false""","""""",32.0,,44165428,1519645115.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_fisher/2.27.0.0,2.27.0.0,,2018-02-26 11:38:41.605653,86752,4.0
2018-02-26 11:38:29.185027,slurm_normal,1519645130.0,0,7680.0,1.0,main_w4_handler0,3263966,18521259,False,,24008,bed,25120,bed,12617400,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,hg19_rCRS_pUC18_phiX174,loc,"[{'src': 'hda', 'id': 34070038}]","[{'src': 'hda', 'id': 34070260}]","""false""","""1e-09""","""false""","""false""","""""",32.0,,44165428,1519645126.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_fisher/2.27.0.0,2.27.0.0,,2018-02-26 11:38:51.855881,86752,4.0
