chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.d,parameters.dbkey,parameters.dz,parameters.five,parameters.genome,parameters.genome.values,parameters.input,parameters.input.values,parameters.report.__current_case__,parameters.report.max,parameters.report.report_select,parameters.report.scale,parameters.report.zero_regions,parameters.split,parameters.strand,parameters.three,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-03-05 11:29:24.716694,slurm_normal,1457177498.0,0,1.0,299887018,bedgraph,main_w1_handler0,2595799,12028396,False,,428590646,bam,6257443.roundup,slurm,,132112168.0,corral-repl,,"""831434fee2c511e5b503005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""False""","""False""",23291544,,23287075,,0,,bg,1.0,False,"""True""","""-strand +""","""False""",32.0,,27266724.0,1457177387.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-03-05 11:31:41.860749,63572.0,111.0
,,2016-05-19 09:00:21.546014,slurm_normal,1463649169.0,0,1.0,5271625,gff,main_w2_handler0,2711107,12938024,False,,5002073,bam,7132601.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""false""","""sacCer3""","""false""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c3560e1ae1f74aa8'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57b8f7ce569aff3da'}]",0,,bg,1.0,true,"""false""","""-strand +""","""false""",32.0,,30007743.0,1463648486.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-05-19 09:12:52.021986,70909.0,683.0
,,2016-04-15 02:31:18.617045,slurm_normal,1460688002.0,0,1.0,4216615,bed,main_w1_handler0,2663000,12460504,False,,2099433104,bam,6655614.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ba2af5646342f14e'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d7eb6725ded63fb9'}]",0,,bg,1.0,false,"""false""","""""","""false""",32.0,,29254761.0,1460687519.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-04-15 02:40:05.739263,81546.0,483.0
,,2016-01-28 19:45:48.507443,slurm_normal,1454010365.0,0,1.0,16575,tabular,main_w2_handler1,2579549,11625649,False,,9143291,bam,5889576.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""False""","""Homo_sapiens_nuHg19_mtrCRS""","""False""","""False""",23072103,,23065982,,0,,bg,1.0,False,"""False""","""-strand +""","""False""",32.0,,26870028.0,1454010357.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-01-28 19:46:12.730829,64540.0,8.0
,,2016-02-18 14:05:46.405202,slurm_normal,1455807973.0,0,1.0,3137162640,tabular,main_w1_handler2,2604211,11868199,False,,32091770,bam,6109362.roundup,slurm,,132112168.0,corral-repl,,"""a0a3a088d64811e59b3a005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""False""","""False""",23405700,,23405694,,1,141,hist,,,"""False""","""""","""False""",32.0,,28366005.0,1455807389.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-02-18 15:06:16.183710,77849.0,584.0
,,2016-02-09 16:06:57.596395,slurm_normal,1455034110.0,0,1.0,1488681,bed,main_w2_handler0,2578781,11764753,False,,4464097,bed,6017464.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""False""","""False""",23258165,,23255285,,0,,bg,1.0,False,"""False""","""""","""False""",32.0,,27765908.0,1455034045.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-02-09 16:08:40.996402,,65.0
,,2016-03-25 00:44:05.909678,slurm_normal,1458866955.0,0,1.0,1972,gg,main_w2_handler1,2645970,12247318,False,,175748691,bam,6459512.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""False""","""False""",24009730,,24006090,,0,,bg,1.0,False,"""True""","""""","""False""",32.0,,29181479.0,1458866792.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-03-25 00:49:18.783188,81357.0,163.0
,,2016-01-15 13:01:24.024170,slurm_normal,1452863427.0,0,1.0,67915629,bed,main_w1_handler1,2566060,11511737,False,,67915629,bed,5780292.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""False""","""mm10""","""False""","""False""",22906878,,22906878,,1,0,hist,,,"""False""","""""","""False""",32.0,,27438668.0,1452862900.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-01-15 13:10:34.646527,76849.0,527.0
,,2016-05-10 21:41:59.974465,slurm_normal,1462916733.0,0,1.0,293503194,gtf,main_w1_handler0,2691075,12848730,False,,1304235440,bam,7048792.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b525fa2d4979bed069'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55efb1de4a7fefb55'}]",0,,bg,1.0,false,"""true""","""""","""false""",32.0,,30149612.0,1462916546.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-05-10 21:45:34.985429,83670.0,187.0
,,2016-03-18 16:50:12.221690,slurm_normal,1458320584.0,0,1.0,3734968,tabular,main_w1_handler0,2638758,12182770,False,,5344174107,bam,6397656.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""False""","""False""",23910519,,23910107,,0,,bg,1.0,False,"""False""","""""","""False""",32.0,,27337228.0,1458319970.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.22.0,2.22.0,,2016-03-18 17:03:10.415538,76422.0,614.0
