chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.c_and_o_argument_repeat,parameters.chromInfo,parameters.dbkey,parameters.genome.__current_case__,parameters.genome.genome_choose,parameters.header,parameters.inputA.values,parameters.inputB.values,parameters.overlap,parameters.reciprocal,parameters.split,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-16 21:23:48.866236,slurm_normal,1466112248.0,0,1.0,main_w2_handler1,2729593,13187786,False,,5195829,bed,69024,bed,7372632.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b559765111a354620c'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5808329c3371de913'}]","""1e-09""","""false""","""false""","""""",32.0,,30673787.0,1466112242.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2016-06-16 21:24:11.460355,85554.0,6.0
,,2016-06-16 21:36:34.431947,slurm_normal,1466113021.0,0,1.0,main_w2_handler0,2729593,13187868,False,,5195829,bed,97063,bed,7372699.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b559765111a354620c'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d12f8011d93e3c57'}]","""1e-09""","""false""","""false""","""""",32.0,,30673787.0,1466113014.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2016-06-16 21:37:04.443221,85554.0,7.0
,,2016-06-16 21:43:41.292677,slurm_normal,1466113441.0,0,1.0,main_w2_handler0,2729593,13188033,False,,5195829,bed,97063,bed,7372822.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b559765111a354620c'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d12f8011d93e3c57'}]","""1e-09""","""false""","""false""","""""",32.0,,30673787.0,1466113433.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2016-06-16 21:44:04.516305,85554.0,8.0
,,2016-06-16 21:40:50.080047,slurm_normal,1466113265.0,0,1.0,main_w1_handler0,2729593,13188020,False,,5195829,bed,97063,bed,7372772.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b559765111a354620c'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d12f8011d93e3c57'}]","""1e-09""","""false""","""false""","""""",32.0,,30673787.0,1466113259.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2016-06-16 21:41:08.277862,85554.0,6.0
,,2016-06-16 21:47:15.034436,slurm_normal,1466113660.0,0,1.0,main_w1_handler1,2729593,13188051,False,,5195829,bed,154214,bed,7372869.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b559765111a354620c'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c98357f59f459ea8'}]","""1e-09""","""false""","""false""","""""",32.0,,30673787.0,1466113646.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2016-06-16 21:47:45.568340,85554.0,14.0
,,2016-06-16 21:47:01.823386,slurm_normal,1466113641.0,0,1.0,main_w1_handler1,2729593,13188050,False,,5195829,bed,122665,bed,7372865.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,false,"""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b559765111a354620c'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5fd4d3fb9d1a555b7'}]","""1e-09""","""false""","""false""","""""",32.0,,30673787.0,1466113634.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2016-06-16 21:47:24.921621,85554.0,7.0
,,2016-09-13 06:15:19.677688,slurm_normal,1473747338.0,0,1.0,main_w3_handler1,2816877,13838797,False,,182763,bed,182763,bed,8061341.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",1,false,"""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b96b5fbd2bd4c29b'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b96b5fbd2bd4c29b'}]","""1e-09""","""false""","""false""","""""",32.0,,32894224.0,1473747335.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2016-09-13 06:15:40.942879,,3.0
,,2016-07-03 00:32:05.115099,slurm_normal,1467505986.0,0,1.0,main_w1_handler1,2755984,13316159,False,,3654100,bed,81818057,bed,7519982.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",1,false,"""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d20699abad339eba'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a0e59c8aeb7d7cfc'}]","""1e-09""","""false""","""false""","""""",32.0,,31238750.0,1467505957.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2016-07-03 00:33:09.111481,26773.0,29.0
,,2016-09-13 18:03:10.573677,slurm_normal,1473789941.0,0,1.0,main_w4_handler1,2812263,13844103,False,,27205,bed,5477959,bed,8066712.roundup,slurm,,132112168.0,corral-repl,,,"[{""__index__"": 0, ""operation"": ""max"", ""col"": ""5""}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,false,"""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c2c3e5c77b118aba'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5dd911f7e93027485'}]","""1e-09""","""false""","""false""","""""",32.0,,32800223.0,1473789844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2016-09-13 18:05:45.066414,,97.0
,,2016-07-03 00:32:21.678915,slurm_normal,1467505983.0,0,1.0,main_w2_handler0,2755984,13316160,False,,81818057,bed,3654100,bed,7519983.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",1,false,"""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a0e59c8aeb7d7cfc'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d20699abad339eba'}]","""1e-09""","""false""","""false""","""""",32.0,,31238750.0,1467505969.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_map/2.24.1,2.24.1,,2016-07-03 00:33:06.045309,26773.0,14.0
