create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-03-05 10:58:50.618857,slurm_normal,1520247547.0,0,7680.0,1.0,main_w4_handler1,3386199,18608456,False,,1740192,bed,12703812,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34213303}]","""""",32.0,,42540200.0,1520247541.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-05 10:59:08.172335,68782.0,6.0
2018-03-05 10:58:50.881950,slurm_normal,1520247555.0,0,7680.0,1.0,main_w3_handler1,3386199,18608457,False,,1963179,bed,12703816,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34213304}]","""""",32.0,,42540200.0,1520247549.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-05 10:59:18.765874,68782.0,6.0
2018-03-05 10:58:51.403105,slurm_normal,1520247561.0,0,7680.0,1.0,main_w4_handler0,3386199,18608462,False,,2141606,bed,12703823,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34213306}]","""""",32.0,,42540200.0,1520247555.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-05 10:59:22.845720,68782.0,6.0
2018-03-05 10:58:51.132717,slurm_normal,1520247560.0,0,7680.0,1.0,main_w4_handler1,3386199,18608459,False,,1767896,bed,12703821,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34213305}]","""""",32.0,,42540200.0,1520247555.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-05 10:59:22.383129,68782.0,5.0
2018-03-05 11:10:57.522465,slurm_normal,1520248273.0,0,7680.0,1.0,main_w3_handler1,3386199,18608603,False,,1970590,bed,12703966,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34213559}]","""""",32.0,,42540200.0,1520248267.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-05 11:11:15.843790,68782.0,6.0
2018-03-05 11:10:57.729843,slurm_normal,1520248269.0,0,7680.0,1.0,main_w4_handler0,3386199,18608604,False,,1850045,bed,12703965,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34213560}]","""""",32.0,,42540200.0,1520248264.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-05 11:11:11.098865,68782.0,5.0
2018-03-05 11:10:57.981779,slurm_normal,1520248272.0,0,7680.0,1.0,main_w3_handler1,3386199,18608605,False,,1876205,bed,12703968,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34213561}]","""""",32.0,,42540200.0,1520248267.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-05 11:11:14.376351,68782.0,5.0
2018-03-05 11:10:57.358191,slurm_normal,1520248272.0,0,7680.0,1.0,main_w3_handler0,3386199,18608602,False,,1747603,bed,12703967,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34213558}]","""""",32.0,,42540200.0,1520248267.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-05 11:11:14.509531,68782.0,5.0
2018-03-05 13:37:16.119505,slurm_normal,1520257050.0,0,7680.0,1.0,main_w3_handler0,3449576,18610350,False,,8164,bed,12705942,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19Patch10.len""","""hg19Patch10""","[{'src': 'hda', 'id': 34214291}]","""""",32.0,,44229525.0,1520257047.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-05 13:37:35.731177,121976.0,3.0
2018-03-05 13:02:38.211022,slurm_normal,1520254971.0,0,7680.0,1.0,main_w3_handler1,3436128,18609832,False,,15806,bed,12705225,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34215441}]","""""",32.0,,44334994.0,1520254968.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-03-05 13:02:53.739513,121284.0,3.0
