create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.addition.__current_case__,parameters.addition.addition_select,parameters.addition.l,parameters.addition.r,parameters.addition.w,parameters.bed,parameters.chromInfo,parameters.dbkey,parameters.header,parameters.inputA.values,parameters.inputB.values,parameters.nooverlaps,parameters.number,parameters.original,parameters.strandB,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-07-25 17:48:44.399246,slurm_normal,1469468945.0,0,1.0,main_w1_handler0,2408954,13487666,False,,93816,bed,34169,bed,7703770.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,29900,"""false""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b572c2eff266472709'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a73d599feacda281'}]","""false""","""false""","""false""","""""",32.0,,31141514.0,1469468940.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-25 17:49:09.251798,65481.0,5.0
2016-07-25 17:42:57.474554,slurm_normal,1469468596.0,0,1.0,main_w1_handler1,2408954,13487602,False,,34169,bed,34128,bed,7703710.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,29900,"""false""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a73d599feacda281'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b527855052304dfaf4'}]","""false""","""false""","""true""","""""",32.0,,31141514.0,1469468593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-25 17:43:21.451950,65481.0,3.0
2016-07-25 17:44:23.942108,slurm_normal,1469468677.0,0,1.0,main_w2_handler1,2408954,13487629,False,,34169,bed,93816,bed,7703737.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,29900,"""false""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a73d599feacda281'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b572c2eff266472709'}]","""false""","""false""","""true""","""""",32.0,,31141514.0,1469468674.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-25 17:44:40.575469,65481.0,3.0
2016-07-25 18:02:36.239923,slurm_normal,1469469778.0,0,1.0,main_w2_handler1,2408954,13487842,False,,93816,bed,34169,bed,7703940.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,29900,"""false""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b572c2eff266472709'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a73d599feacda281'}]","""false""","""true""","""false""","""""",32.0,,31141514.0,1469469769.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-25 18:03:00.578734,65481.0,9.0
2016-07-26 15:03:31.974436,slurm_normal,1469545434.0,0,1.0,main_w1_handler0,2408954,13498560,False,,518435,bed,38720,bed,7713977.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,29900,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b54207ac75b18160ed'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b53644f7ca7e664c54'}]","""false""","""false""","""true""","""""",32.0,,31141514.0,1469545426.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-26 15:03:58.246801,65481.0,8.0
2016-07-26 14:47:29.841936,slurm_normal,1469544553.0,0,1.0,main_w2_handler1,2408954,13498437,False,,38720,bed,518435,bed,7713848.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,29900,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53644f7ca7e664c54'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b54207ac75b18160ed'}]","""false""","""false""","""false""","""""",32.0,,31141514.0,1469544525.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-26 14:49:15.732455,65481.0,28.0
2016-07-26 15:07:34.790531,slurm_normal,1469545672.0,0,1.0,main_w2_handler0,2408954,13498584,False,,38720,bed,518435,bed,7714005.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,29900,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53644f7ca7e664c54'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b54207ac75b18160ed'}]","""false""","""false""","""true""","""""",32.0,,31141514.0,1469545667.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-26 15:07:56.343418,65481.0,5.0
2016-07-26 14:21:02.540917,slurm_normal,1469542969.0,0,1.0,main_w2_handler0,2408954,13498223,False,,93816,bed,34169,bed,7713557.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,30000,"""false""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b572c2eff266472709'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a73d599feacda281'}]","""false""","""false""","""false""","""""",32.0,,31141514.0,1469542958.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-26 14:22:51.204504,65481.0,11.0
2016-07-27 00:48:49.932064,slurm_normal,1469580547.0,0,1.0,main_w2_handler0,2408954,13504163,False,,28212,bed,111358,bed,7719556.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,100,"""false""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b54b2423b171c481'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b54273d4b6542ca36a'}]","""false""","""false""","""true""","""""",32.0,,31141514.0,1469580544.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-27 00:49:09.502163,65481.0,3.0
2016-07-27 12:49:57.541973,slurm_normal,1469623816.0,0,1.0,main_w1_handler0,2502735,13506999,False,,12058080,bed,16029,bed,7722415.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,0,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a16121696d7b938a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f280d4e846de4990'}]","""false""","""true""","""false""","""-sm""",32.0,,31729148.0,1469623808.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-27 12:50:18.746293,55649.0,8.0
2016-07-27 12:42:33.315486,slurm_normal,1469623377.0,0,1.0,main_w1_handler1,2502735,13506963,False,,12058080,bed,4220,bed,7722370.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,0,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a16121696d7b938a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5754f0dfe9f589934'}]","""false""","""true""","""false""","""-sm""",32.0,,31729148.0,1469623368.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-27 12:43:00.939454,55649.0,9.0
2016-07-27 13:05:09.329956,slurm_normal,1469624726.0,0,1.0,main_w1_handler1,2502735,13507056,False,,12058080,bed,4220,bed,7722480.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,0,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a16121696d7b938a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ad8e1a197b1f19e7'}]","""false""","""true""","""false""","""-sm""",32.0,,31729148.0,1469624717.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-27 13:05:27.652194,55649.0,9.0
