chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,history_item,history_item_filetype,id,imported,info,input_format|reads,input_format|reads1,input_format|reads1_filetype,input_format|reads2,input_format|reads2_filetype,input_format|reads_f,input_format|reads_f_filetype,input_format|reads_filetype,input_format|reads_r,input_format|reads_r_filetype,job_runner_external_id,job_runner_name,known_splice_gtf,known_splice_gtf_filetype,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.alignment_options.__current_case__,parameters.alignment_options.alignment_options_selector,parameters.alignment_options.coefficient,parameters.alignment_options.constant_term,parameters.alignment_options.function_type,parameters.alignment_options.ignore_quals,parameters.alignment_options.skip_forward,parameters.alignment_options.skip_reverse,parameters.chromInfo,parameters.dbkey,parameters.input_format.__current_case__,parameters.input_format.input_format_selector,parameters.input_format.paired.__current_case__,parameters.input_format.paired.aligned_file,parameters.input_format.paired.paired_end_options.__current_case__,parameters.input_format.paired.paired_end_options.no_discordant,parameters.input_format.paired.paired_end_options.no_mixed,parameters.input_format.paired.paired_end_options.paired_end_options_selector,parameters.input_format.paired.paired_end_options.skip_reverse,parameters.input_format.paired.paired_selector,parameters.input_format.paired.reads.values,parameters.input_format.paired.reads_f.values,parameters.input_format.paired.reads_r.values,parameters.input_format.paired.unaligned_file,parameters.input_format|reads_f|__identifier__,parameters.input_format|reads_r|__identifier__,parameters.input_format|reads|__identifier__,parameters.input_options.__current_case__,parameters.input_options.input_options_selector,parameters.input_options.skip,parameters.input_options.stop_after,parameters.input_options.trim_five,parameters.input_options.trim_three,parameters.max_primary,parameters.max_seeds,parameters.paired_options.__current_case__,parameters.paired_options.contain,parameters.paired_options.dovetail,parameters.paired_options.maxins,parameters.paired_options.minins,parameters.paired_options.no_discordant,parameters.paired_options.no_mixed,parameters.paired_options.overlap,parameters.paired_options.paired_options_selector,parameters.reference_genome.__current_case__,parameters.reference_genome.history_item.values,parameters.reference_genome.index,parameters.reference_genome.reference_genome_source,parameters.scoring_options.__current_case__,parameters.scoring_options.ambiguous_penalty,parameters.scoring_options.coefficient,parameters.scoring_options.constant_term,parameters.scoring_options.function_type,parameters.scoring_options.match_bonus,parameters.scoring_options.max_mismatch,parameters.scoring_options.min_mismatch,parameters.scoring_options.no_softclip,parameters.scoring_options.read_extend_penalty,parameters.scoring_options.read_open_penalty,parameters.scoring_options.ref_extend_penalty,parameters.scoring_options.ref_open_penalty,parameters.scoring_options.scoring_options_selector,parameters.scoring_options.soft_clip_penalty_max,parameters.scoring_options.soft_clip_penalty_min,parameters.secondary,parameters.spliced_options.__current_case__,parameters.spliced_options.canonical_penalty,parameters.spliced_options.coefficient,parameters.spliced_options.constant_term,parameters.spliced_options.function_type,parameters.spliced_options.known_splice_gtf.values,parameters.spliced_options.max_intron,parameters.spliced_options.min_intron,parameters.spliced_options.nc_coefficient,parameters.spliced_options.nc_constant_term,parameters.spliced_options.nc_function_type,parameters.spliced_options.no_spliced_alignment_options.__current_case__,parameters.spliced_options.no_spliced_alignment_options.maxins,parameters.spliced_options.no_spliced_alignment_options.minins,parameters.spliced_options.no_spliced_alignment_options.no_spliced_alignment,parameters.spliced_options.noncanonical_penalty,parameters.spliced_options.rna_strandness,parameters.spliced_options.spliced_options_selector,parameters.spliced_options.tma,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-06-30 16:40:25.495849,slurm_multi,1498843503.0,0,,6.0,main_w4_handler2,3150912,19095911.0,fasta,16233150,False,,,,,,,1645766089.0,fastqsanger,,1641027061.0,fastqsanger,10309252,slurm,,,,132112168.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/galaxy-repl/main/files/017/914/dataset_17914164.dat""","""PbANKA_v29""",1,fastq,1,false,0.0,,,defaults,,paired,,"[{'src': 'hda', 'id': 29994500}]","[{'src': 'hda', 'id': 29994506}]",false,,,,0,defaults,,,,,"""1""","""5""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 30168066}]",,history,0,,,,,,,,,,,,,defaults,,,"""true""",,,,,,,,,,,,,,,,,,,,32.0,,38990866.0,1498843298.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-30 17:25:04.715300,90526,205.0
,,2017-06-21 06:42:27.333201,slurm_multi,1498032621.0,0,,6.0,main_w4_handler2,3166133,,,16150772,False,,1448929043.0,,,,,,,fastqsanger,,,10230035,slurm,,,,132112168.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,fastq,2,false,,,,,,single,"[{'src': 'hda', 'id': 30106536}]",,,false,,,,0,defaults,,,,,"""""","""""",0,,,,,,,,defaults,0,,mm9,indexed,0,,,,,,,,,,,,,defaults,,,"""false""",0.0,,,,,,,,,,,,,,,,,defaults,,32.0,,38324111.0,1498032466.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-21 08:10:23.973752,95737,155.0
,,2017-07-15 09:57:50.943053,slurm_multi,1500113288.0,0,,6.0,main_w4_handler2,3193650,380710511.0,fasta,16350902,False,,,,,,,4262289869.0,fastqsanger,,4262289869.0,fastqsanger,10416168,slurm,,,,132112168.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,1,false,0.0,,,defaults,,paired,,"[{'src': 'hda', 'id': 30501601}]","[{'src': 'hda', 'id': 30501602}]",false,,,,0,defaults,,,,,"""""","""""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 30501599}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",0.0,,,,,,,,,,,,,,,,,defaults,,32.0,,39152818.0,1500112719.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-07-15 10:08:09.707512,89879,569.0
,,2017-06-19 05:20:29.629483,slurm_multi,1497905609.0,0,,6.0,main_w4_handler2,3159970,,,16129001,False,,9649409783.0,,,,,,,fastqsanger.gz,,,10215890,slurm,,,,132112168.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,2,false,,,,,,single,"[{'src': 'hda', 'id': 30066510}]",,,false,,,,0,defaults,,,,,"""""","""""",0,,,,,,,,defaults,0,,hg19,indexed,0,,,,,,,,,,,,,defaults,,,"""false""",0.0,,,,,,,,,,,,,,,,,defaults,,32.0,,38750454.0,1497902754.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-19 20:53:32.510465,47785,2855.0
,,2017-06-20 02:18:14.459728,slurm_multi,1497929203.0,0,,6.0,main_w4_handler2,3163577,1394651513.0,fasta,16138609,False,,9743703885.0,,,,,,,fastqsanger,,,10218626,slurm,,,,132112168.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/danRer10.len""","""danRer10""",1,fastq,2,false,,,,,,single,"[{'src': 'hda', 'id': 30089533}]",,,false,,,"""FASTQ Groomer on data 3""",0,defaults,,,,,"""5""","""5""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 30089531}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",,,,,,,,,,,,,,,,,,,,32.0,,38795085.0,1497927688.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-20 03:26:45.214140,104536,1515.0
,,2017-06-19 05:20:31.397640,slurm_multi,1497916355.0,0,,6.0,main_w4_handler2,3159970,,,16129006,False,,12439364517.0,,,,,,,fastqsanger.gz,,,10217342,slurm,,,,132112168.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,2,false,,,,,,single,"[{'src': 'hda', 'id': 30066515}]",,,false,,,,0,defaults,,,,,"""""","""""",0,,,,,,,,defaults,0,,hg19,indexed,0,,,,,,,,,,,,,defaults,,,"""false""",0.0,,,,,,,,,,,,,,,,,defaults,,32.0,,38750454.0,1497913044.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-19 23:52:37.392900,47785,3311.0
,,2017-06-19 05:20:29.995091,slurm_multi,1497908115.0,0,,6.0,main_w4_handler2,3159970,,,16129002,False,,9392815012.0,,,,,,,fastqsanger.gz,,,10216442,slurm,,,,132112168.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,2,false,,,,,,single,"[{'src': 'hda', 'id': 30066511}]",,,false,,,,0,defaults,,,,,"""""","""""",0,,,,,,,,defaults,0,,hg19,indexed,0,,,,,,,,,,,,,defaults,,,"""false""",0.0,,,,,,,,,,,,,,,,,defaults,,32.0,,38750454.0,1497905620.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-19 21:35:18.310193,47785,2495.0
,,2017-06-21 09:05:51.809493,slurm_multi,1498038822.0,0,,6.0,main_w4_handler2,3166204,1394651513.0,fasta,16151617,False,,35416252.0,,,,,,,fastqsanger,,,10230559,slurm,109125021.0,gtf,,132111800.0,corral-repl,,0,no,,,1,advanced,0,0,C,false,false,false,"""/cvmfs/data.galaxyproject.org/managed/len/danRer10.len""","""danRer10""",1,fastq,2,true,,,,,,single,"[{'src': 'hda', 'id': 30107894}]",,,true,,,,1,advanced,0,0,0,0,"""""","""""",1,false,false,500,0,false,false,false,advanced,1,"[{'src': 'hda', 'id': 30107982}]",,history,1,1,0,0,C,2,6,2,false,3,5,3,5,advanced,2,1,"""true""",1.0,0,0,0,C,"[{'src': 'hda', 'id': 30107984}]",500000,20,1,-8,G,1.0,,,,3,R,advanced,--dta-cufflinks,32.0,,38712096.0,1498038180.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-21 09:53:46.036476,106675,642.0
,,2017-06-19 15:12:53.498220,slurm_multi,1497886573.0,0,,6.0,main_w3_handler2,2989367,,,16133091,False,,670456087.0,,,,,,,fastqsanger,,,10213044,slurm,,,,132111800.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",1,fastq,2,false,,,,,,single,"[{'src': 'hda', 'id': 30080014}]",,,false,,,,0,defaults,,,,,"""""","""""",0,,,,,,,,defaults,0,,hg19_rCRS_pUC18_phiX174,indexed,0,,,,,,,,,,,,,defaults,,,"""false""",0.0,,,,,,,,,,,,,,,,,defaults,,32.0,,38483883.0,1497886469.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-19 15:36:16.088501,99804,104.0
,,2017-06-19 15:12:54.681857,slurm_multi,1497887450.0,0,,6.0,main_w3_handler2,2989367,,,16133093,False,,510055351.0,,,,,,,fastqsanger,,,10213217,slurm,,,,132112168.0,corral-repl,,0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",1,fastq,2,false,,,,,,single,"[{'src': 'hda', 'id': 30080016}]",,,false,,,,0,defaults,,,,,"""""","""""",0,,,,,,,,defaults,0,,hg19_rCRS_pUC18_phiX174,indexed,0,,,,,,,,,,,,,defaults,,,"""false""",0.0,,,,,,,,,,,,,,,,,defaults,,32.0,,38483883.0,1497887373.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.1,2.0.5.1,,2017-06-19 15:52:24.594326,99804,77.0
