classification,classification1,classification10,classification10_filetype,classification11,classification11_filetype,classification12,classification12_filetype,classification13,classification13_filetype,classification14,classification14_filetype,classification15,classification15_filetype,classification16,classification16_filetype,classification17,classification17_filetype,classification18,classification18_filetype,classification19,classification19_filetype,classification1_filetype,classification2,classification20,classification20_filetype,classification21,classification21_filetype,classification22,classification22_filetype,classification23,classification23_filetype,classification24,classification24_filetype,classification25,classification25_filetype,classification2_filetype,classification3,classification3_filetype,classification4,classification4_filetype,classification5,classification5_filetype,classification6,classification6_filetype,classification7,classification7_filetype,classification8,classification8_filetype,classification9,classification9_filetype,classification_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.classification.values,parameters.cluster.__current_case__,parameters.cluster.cluster,parameters.cluster.summation,parameters.dbkey,parameters.header_line,parameters.intermediate,parameters.kraken_database,parameters.otu_name,parameters.sanitize_names,parameters.show_rank,parameters.show_zeros,parameters.taxonomy,parameters.tree,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
162855566,162855566,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,2017-10-25 02:07:08.294905,slurm_normal,1508898479.0,0,,1.0,main_w4_handler1,3298810,17204964,False,,11264823,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31865345}]",0,,false,"""?""","""true""","""true""","""plasmids""","""""","""true""","""false""","""false""","""false""","""false""",32.0,,41500995.0,1508897249.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/kraken_taxonomy_report/kraken_taxonomy_report/0.0.2,0.0.2,,2017-10-25 02:28:17.678970,108247.0,1230.0
162855566,162855566,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,2017-10-25 02:07:33.602376,slurm_normal,1508898442.0,0,,1.0,main_w3_handler0,3298810,17204965,False,,11264825,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31865345}]",0,,false,"""?""","""true""","""true""","""bacteria""","""""","""true""","""false""","""false""","""false""","""false""",32.0,,41500995.0,1508897266.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/kraken_taxonomy_report/kraken_taxonomy_report/0.0.2,0.0.2,,2017-10-25 02:27:24.823548,108247.0,1176.0
162855566,162855566,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,2017-10-25 02:50:52.610175,slurm_normal,1508901095.0,0,,1.0,main_w3_handler1,3298810,17205225,False,,11265111,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31865345}]",0,,false,"""?""","""true""","""true""","""bacteria""","""""","""true""","""false""","""false""","""false""","""false""",32.0,,41500995.0,1508899860.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/kraken_taxonomy_report/kraken_taxonomy_report/0.0.2,0.0.2,,2017-10-25 03:11:38.297658,108247.0,1235.0
6788056232,6788056232,,,,,,,,,,,,,,,,,,,,,sam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sam,2018-01-07 12:53:41.498830,slurm_normal,1515329802.0,0,,1.0,main_w4_handler0,3383836,17965645,False,,12042246,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 33203537}]",0,,false,"""?""","""true""","""true""","""bacteria""","""--name-long""","""true""","""false""","""false""","""false""","""false""",32.0,,43023474.0,1515329627.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/kraken_taxonomy_report/kraken_taxonomy_report/0.0.2,0.0.2,,2018-01-07 12:56:43.921483,99424.0,175.0
393745,393745,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,2017-10-27 10:39:46.971767,slurm_normal,1509104935.0,0,,1.0,main_w4_handler0,3302073,17238546,False,,11299628,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31921742}]",0,,false,"""?""","""true""","""true""","""bacteria""","""""","""true""","""false""","""false""","""false""","""false""",32.0,,41562791.0,1509104874.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/kraken_taxonomy_report/kraken_taxonomy_report/0.0.2,0.0.2,,2017-10-27 11:49:02.502227,113752.0,61.0
163205,163205,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,2017-10-27 14:37:14.561349,slurm_normal,1509115064.0,0,,1.0,main_w4_handler0,3300941,17240569,False,,11301263,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31924247}]",0,,false,"""?""","""true""","""true""","""plasmids""","""""","""true""","""false""","""false""","""false""","""false""",32.0,,41542842.0,1509115042.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/kraken_taxonomy_report/kraken_taxonomy_report/0.0.2,0.0.2,,2017-10-27 14:37:45.859547,114572.0,22.0
28,28,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,2017-10-30 15:08:53.748803,slurm_normal,1509376216.0,0,,1.0,main_w4_handler0,3282221,17265313,False,,11324486,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31966107}]",1,Superkingdom,,"""?""","""true""","""true""","""viruses""","""""","""true""","""false""","""false""","""false""","""true""",32.0,,41501115.0,1509376187.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/kraken_taxonomy_report/kraken_taxonomy_report/0.0.2,0.0.2,,2017-10-30 15:10:43.747341,108199.0,29.0
5624552,5624552,,,,,,,,,,,,,,,,,,,,,taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taxonomy,2017-10-30 16:07:37.282879,slurm_normal,1509379713.0,0,,1.0,main_w3_handler0,3282221,17266268,False,,11325369,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31867712}]",1,Superkingdom,,"""?""","""true""","""true""","""bacteria""","""--name-long""","""true""","""false""","""true""","""false""","""true""",32.0,,41501115.0,1509379681.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/kraken_taxonomy_report/kraken_taxonomy_report/0.0.2,0.0.2,,2017-10-30 16:08:43.023987,108199.0,32.0
10076980,10076980,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,2017-11-01 22:15:34.205460,slurm_normal,1509575284.0,0,,1.0,main_w4_handler1,3131770,17291375,False,,11353350,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31858725}]",0,,false,"""?""","""true""","""true""","""viruses""","""""","""true""","""false""","""false""","""false""","""false""",32.0,,40548735.0,1509574553.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/kraken_taxonomy_report/kraken_taxonomy_report/0.0.2,0.0.2,,2017-11-01 22:28:09.904357,39573.0,731.0
159289,159289,,,,,,,,,,,,,,,,,,,,,interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,interval,2017-11-02 02:27:16.972638,slurm_normal,1509589727.0,0,,1.0,main_w3_handler1,3305474,17293729,False,,11355728,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31981625}]",0,,false,"""?""","""true""","""true""","""bacteria""","""--name-long""","""true""","""true""","""false""","""true""","""false""",32.0,,41502438.0,1509589651.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/kraken_taxonomy_report/kraken_taxonomy_report/0.0.2,0.0.2,,2017-11-02 02:28:49.759957,,76.0
388605237,388605237,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,2017-11-02 02:48:56.136919,slurm_normal,1509591155.0,0,,1.0,main_w3_handler1,3305474,17293983,False,,11355971,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 32015897}]",0,,true,"""?""","""true""","""true""","""bacteria""","""--name-long""","""true""","""true""","""true""","""true""","""true""",32.0,,41502438.0,1509591089.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/kraken_taxonomy_report/kraken_taxonomy_report/0.0.2,0.0.2,,2017-11-02 02:52:44.557235,,66.0
