chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.effective_genome_size_options.__current_case__,parameters.effective_genome_size_options.effective_genome_size_options_selector,parameters.effective_genome_size_options.gsize,parameters.infile,parameters.infile.values,parameters.keep_dup_options.__current_case__,parameters.keep_dup_options.keep_dup_options_selector,parameters.pvalue,parameters.tsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-03-11 08:48:23.081533,slurm_normal,1457686501.0,0,1.0,main_w2_handler0,1155412,12103990,False,4000006616,bam,,6327953.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,2451960000,,23790809,,1,1,"""1e-5""","""-1.0""",32.0,,28119245.0,1457686132.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-11 08:55:04.653740,22384,369.0
,,2016-03-12 20:51:42.277842,slurm_normal,1457815962.0,0,1.0,main_w1_handler0,2629246,12115721,False,643887514,sam,,6338867.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,2150570000,,23811078,,1,1,"""1e-5""","""-1.0""",32.0,,28961073.0,1457815923.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-12 20:52:45.399009,46988,39.0
,,2016-03-17 13:09:45.034637,slurm_normal,1458220336.0,0,1.0,main_w1_handler0,2636961,12165685,False,834998933,bam,,6382972.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23884981,,1,1,"""1e-5""","""-1.0""",32.0,,27374779.0,1458220221.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-17 13:12:17.155140,57113,115.0
,,2016-03-17 13:09:45.354309,slurm_normal,1458220589.0,0,1.0,main_w1_handler0,2636961,12165686,False,2810425148,bam,,6382973.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23885575,,1,1,"""1e-5""","""-1.0""",32.0,,27374779.0,1458220221.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-17 13:16:33.305393,57113,368.0
,,2016-03-17 13:09:44.735546,slurm_normal,1458220352.0,0,1.0,main_w2_handler0,2636961,12165684,False,774567999,bam,,6382976.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23884980,,1,1,"""1e-5""","""-1.0""",32.0,,27374779.0,1458220244.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-17 13:12:34.442698,57113,108.0
,,2016-06-27 23:24:21.031295,slurm_normal,1467070540.0,0,1.0,main_w1_handler1,2751264,13271875,False,3498702140,bam,,7460251.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5070eb5d44c37d476'}]",1,1,"""1e-5""","""50.0""",32.0,,31116688.0,1467069898.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-06-27 23:35:50.145992,86683,642.0
,,2016-03-07 20:20:19.736851,slurm_normal,1457383252.0,0,1.0,main_w2_handler1,2624475,12061183,False,62211643,bam,,6283522.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",4,user_defined,12100000,23726674,,1,1,"""1e-5""","""-1.0""",32.0,,28648787.0,1457383208.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-07 20:41:00.155161,54241,44.0
,,2016-03-07 20:20:18.627948,slurm_normal,1457384039.0,0,1.0,main_w1_handler0,2624475,12061182,False,359030798,bam,,6283601.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",4,user_defined,12100000,23726672,,1,1,"""1e-5""","""-1.0""",32.0,,28648787.0,1457383879.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-07 20:54:04.095574,54241,160.0
,,2016-03-30 11:01:54.912869,slurm_normal,1459336287.0,0,1.0,main_w1_handler0,2312125,12283229,False,5119261983,bam,,6492417.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24051124,,1,1,"""1e-5""","""-1.0""",32.0,,28975786.0,1459335733.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-30 11:11:29.867080,29072,554.0
,,2016-03-30 11:01:55.812236,slurm_normal,1459373504.0,0,1.0,main_w2_handler1,2312125,12283230,False,7899974870,bam,,6494374.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24052024,,1,1,"""1e-5""","""-1.0""",32.0,,28975786.0,1459372067.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-30 21:32:08.114483,29072,1437.0
,,2016-03-30 11:01:56.624325,slurm_normal,1459373149.0,0,1.0,main_w2_handler1,2312125,12283231,False,6228730107,bam,,6494375.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24052025,,1,1,"""1e-5""","""-1.0""",32.0,,28975786.0,1459372067.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-30 21:26:22.437710,29072,1082.0
,,2016-03-30 21:37:16.013211,slurm_normal,1459378055.0,0,1.0,main_w1_handler1,2649851,12290716,False,2622771316,bam,,6495062.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24052605,,3,auto,"""1e-5""","""-1.0""",32.0,,29307570.0,1459377055.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-30 22:48:36.694235,80466,1000.0
,,2016-03-30 21:40:43.222178,slurm_normal,1459378620.0,0,1.0,main_w2_handler1,2649851,12290737,False,2324406791,bam,,6495092.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24052603,,3,auto,"""1e-5""","""-1.0""",32.0,,29307570.0,1459377477.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-30 22:57:09.899978,80466,1143.0
,,2016-04-09 16:24:57.642344,slurm_normal,1460219926.0,0,1.0,main_w2_handler0,2663524,12401189,False,4516045566,bam,,6601047.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,2150570000,,24230927,,1,1,"""1e-5""","""-1.0""",32.0,,28735017.0,1460219107.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-09 16:38:51.419540,14978,819.0
,,2016-04-08 17:47:34.044861,slurm_normal,1460137680.0,0,1.0,main_w1_handler0,2648269,12393447,False,2104745,bed,,6589817.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24096569,,1,1,"""1e-5""","""-1.0""",32.0,,29500789.0,1460137671.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-08 17:48:03.952716,81481,9.0
,,2016-04-08 17:47:35.563821,slurm_normal,1460137679.0,0,1.0,main_w1_handler0,2648269,12393451,False,102564,bed,,6589818.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24096578,,1,1,"""1e-5""","""-1.0""",32.0,,29500789.0,1460137672.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-08 17:48:04.181829,81481,7.0
,,2016-04-08 17:47:34.558631,slurm_normal,1460137684.0,0,1.0,main_w2_handler0,2648269,12393449,False,826302,bed,,6589819.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24096572,,1,1,"""1e-5""","""-1.0""",32.0,,29500789.0,1460137676.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-08 17:48:11.006510,81481,8.0
,,2016-04-08 17:47:36.138047,slurm_normal,1460137726.0,0,1.0,main_w2_handler1,2648269,12393452,False,1295958,bed,,6589841.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24096581,,1,1,"""1e-5""","""-1.0""",32.0,,29500789.0,1460137716.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-08 17:48:48.242993,81481,10.0
,,2016-04-07 22:28:04.120659,slurm_normal,1460068129.0,0,1.0,main_w1_handler2,2265172,12376514,False,28450,bed,,6574016.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,2150570000,,24197786,,1,1,"""1e-5""","""-1.0""",32.0,,28908772.0,1460068123.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-07 22:28:51.859523,61557,6.0
,,2016-04-08 17:47:38.698143,slurm_normal,1460137717.0,0,1.0,main_w2_handler0,2648269,12393456,False,3385516,bed,,6589839.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24096593,,1,1,"""1e-5""","""-1.0""",32.0,,29500789.0,1460137707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-08 17:48:41.723684,81481,10.0
,,2016-04-08 17:47:35.005062,slurm_normal,1460137701.0,0,1.0,main_w2_handler1,2648269,12393450,False,73790,bed,,6589836.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24096575,,1,1,"""1e-5""","""-1.0""",32.0,,29500789.0,1460137695.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-08 17:48:23.963621,81481,6.0
,,2016-04-08 17:47:36.668824,slurm_normal,1460137702.0,0,1.0,main_w2_handler0,2648269,12393453,False,978537,bed,,6589833.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24096584,,1,1,"""1e-5""","""-1.0""",32.0,,29500789.0,1460137692.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-08 17:48:29.867404,81481,10.0
,,2016-04-08 17:47:39.262398,slurm_normal,1460137707.0,0,1.0,main_w1_handler1,2648269,12393457,False,3682340,bed,,6589834.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24096596,,1,1,"""1e-5""","""-1.0""",32.0,,29500789.0,1460137693.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-08 17:48:31.608548,81481,14.0
,,2016-04-08 17:47:37.212076,slurm_normal,1460137734.0,0,1.0,main_w2_handler1,2648269,12393454,False,214925,bed,,6589843.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24096587,,1,1,"""1e-5""","""-1.0""",32.0,,29500789.0,1460137728.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-08 17:49:00.225250,81481,6.0
,,2016-04-08 17:47:37.757748,slurm_normal,1460137746.0,0,1.0,main_w2_handler1,2648269,12393455,False,214925,bed,,6589848.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24096590,,1,1,"""1e-5""","""-1.0""",32.0,,29500789.0,1460137739.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-08 17:49:09.111500,81481,7.0
,,2016-04-08 19:31:56.082171,slurm_normal,1460144037.0,0,1.0,main_w2_handler1,2662750,12395054,False,32919565,bam,,6591712.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,2451960000,,24220999,,1,1,"""1e-5""","""-1.0""",32.0,,29494677.0,1460143939.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-08 19:34:00.127126,81051,98.0
,,2016-04-09 16:10:00.148434,slurm_normal,1460218836.0,0,1.0,main_w1_handler2,2663524,12401085,False,3654766048,bam,,6600947.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,2150570000,,24230898,,1,1,"""1e-5""","""-1.0""",32.0,,28735017.0,1460218217.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-09 16:20:39.942905,14978,619.0
