create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.expblen,parameters.expdist,parameters.infile|__identifier__,parameters.input.__current_case__,parameters.input.infile.values,parameters.input.source,parameters.matrixout,parameters.neighbor,parameters.norandom,parameters.ntrees,parameters.seed,parameters.shuffle,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-12-19 17:25:50.771198,slurm_normal,1513704367.0,0,1.0,main_w3_handler1,3363441,17851314,False,1851,mothur.dist,,11924461,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","""false""","""jclass.0.03.lt""",2,"[{'src': 'hda', 'id': 33007047}]",phylip,"""false""","""true""","""false""","""1""","""""","""false""",32.0,,42668866,1513704362.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_clearcut/mothur_clearcut/1.36.1.0,1.36.1.0,,2017-12-19 17:26:09.597925,112430,5.0
2017-12-19 17:25:50.526225,slurm_normal,1513704364.0,0,1.0,main_w4_handler0,3363441,17851313,False,1851,mothur.dist,,11924460,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","""false""","""braycurtis.0.03.lt""",2,"[{'src': 'hda', 'id': 33007046}]",phylip,"""false""","""true""","""false""","""1""","""""","""false""",32.0,,42668866,1513704359.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_clearcut/mothur_clearcut/1.36.1.0,1.36.1.0,,2017-12-19 17:26:06.799131,112430,5.0
2017-12-19 17:25:51.019042,slurm_normal,1513704367.0,0,1.0,main_w4_handler1,3363441,17851315,False,1851,mothur.dist,,11924462,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","""false""","""thetayc.0.03.lt""",2,"[{'src': 'hda', 'id': 33007048}]",phylip,"""false""","""true""","""false""","""1""","""""","""false""",32.0,,42668866,1513704362.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_clearcut/mothur_clearcut/1.36.1.0,1.36.1.0,,2017-12-19 17:26:09.842999,112430,5.0
2017-12-05 14:08:28.513849,slurm_normal,1512482924.0,0,1.0,main_w4_handler0,3274927,17703602,False,1902866,mothur.square.dist,,11768006,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","""false""",,2,"[{'src': 'hda', 'id': 32740736}]",phylip,"""false""","""true""","""false""","""1""","""""","""false""",32.0,,42421588,1512482918.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_clearcut/mothur_clearcut/1.36.1.0,1.36.1.0,,2017-12-05 14:08:45.176172,112739,6.0
2017-12-06 09:11:23.436044,slurm_normal,1512551496.0,0,1.0,main_w4_handler1,3274927,17715127,False,1902866,mothur.square.dist,,11780451,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","""false""",,2,"[{'src': 'hda', 'id': 32762804}]",phylip,"""false""","""true""","""false""","""1""","""""","""false""",32.0,,42421588,1512551491.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_clearcut/mothur_clearcut/1.36.1.0,1.36.1.0,,2017-12-06 09:11:37.672204,112739,5.0
2017-12-06 09:09:17.413779,slurm_normal,1512551376.0,0,1.0,main_w3_handler0,3274927,17715111,False,1902866,mothur.square.dist,,11780434,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","""false""",,2,"[{'src': 'hda', 'id': 32763653}]",phylip,"""false""","""true""","""false""","""1""","""""","""false""",32.0,,42421588,1512551371.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_clearcut/mothur_clearcut/1.36.1.0,1.36.1.0,,2017-12-06 09:09:38.480543,112739,5.0
2018-01-18 05:50:11.001505,slurm_normal,1516254628.0,0,1.0,main_w3_handler0,3395242,18068475,False,1657,mothur.dist,,12146960,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","""false""","""thetayc.0.03.lt.ave""",2,"[{'src': 'hda', 'id': 33364169}]",phylip,"""false""","""true""","""false""","""1""","""""","""false""",32.0,,43244112,1516254623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_clearcut/mothur_clearcut/1.36.1.0,1.36.1.0,,2018-01-18 05:50:30.015227,120071,5.0
2018-01-18 05:50:09.968135,slurm_normal,1516254621.0,0,1.0,main_w4_handler1,3395242,18068473,False,1657,mothur.dist,,12146957,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","""false""","""jclass.0.03.lt""",2,"[{'src': 'hda', 'id': 33364167}]",phylip,"""false""","""true""","""false""","""1""","""""","""false""",32.0,,43244112,1516254615.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_clearcut/mothur_clearcut/1.36.1.0,1.36.1.0,,2018-01-18 05:50:23.407197,120071,6.0
2018-01-18 05:50:10.477017,slurm_normal,1516254617.0,0,1.0,main_w3_handler0,3395242,18068474,False,1657,mothur.dist,,12146955,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","""false""","""jclass.0.03.lt.std""",2,"[{'src': 'hda', 'id': 33364168}]",phylip,"""false""","""true""","""false""","""1""","""""","""false""",32.0,,43244112,1516254612.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_clearcut/mothur_clearcut/1.36.1.0,1.36.1.0,,2018-01-18 05:50:20.240110,120071,5.0
2018-01-18 05:50:09.443785,slurm_normal,1516254620.0,0,1.0,main_w4_handler1,3395242,18068472,False,1657,mothur.dist,,12146956,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","""false""","""jclass.0.03.lt.ave""",2,"[{'src': 'hda', 'id': 33364166}]",phylip,"""false""","""true""","""false""","""1""","""""","""false""",32.0,,43244112,1516254615.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_clearcut/mothur_clearcut/1.36.1.0,1.36.1.0,,2018-01-18 05:50:23.194370,120071,5.0
