accnos,accnos_filetype,create_time,destination_id,end_epoch,exit_code,fasta_in,fasta_in_filetype,galaxy_memory_mb,galaxy_slots,group_in,group_in_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fasta_in.values,parameters.group_in.values,parameters.groupnames.__current_case__,parameters.groupnames.accnos.values,parameters.groupnames.groups,parameters.groupnames.source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-12-17 16:38:14.274387,slurm_normal,1513528706.0,0,1110368,fasta,,1.0,229292,mothur.count_table,main_w3_handler1,3368213,17830710,False,,11904200,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32972791}]","[{'src': 'hda', 'id': 32972792}]",0,,['Mock'],groups,32.0,,42702488,1513528700.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-12-17 16:38:28.486652,97420.0,6.0
,,2017-12-18 20:01:21.671511,reserved_normal,1513627301.0,0,1101918,fasta,,1.0,227553,mothur.count_table,main_w4_handler0,3280912,17841270,False,,11915535.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32992809}]","[{'src': 'hda', 'id': 32992810}]",0,,['Mock'],groups,32.0,,42691248,1513627292.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-12-18 20:01:45.137004,5254.0,9.0
,,2017-10-06 11:47:16.244312,slurm_normal,1507290449.0,0,1101918,fasta,,1.0,227553,mothur.count_table,main_w3_handler0,3277547,17038808,False,,11095952.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31582477}]","[{'src': 'hda', 'id': 31582478}]",0,,['Mock'],groups,32.0,,39823809,1507290445.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-10-06 11:47:31.938062,29532.0,4.0
,,2017-10-06 20:19:10.338381,slurm_normal,1507321158.0,0,1101918,fasta,,1.0,227553,mothur.count_table,main_w3_handler1,3278085,17043344,False,,11100650.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31589816}]","[{'src': 'hda', 'id': 31589817}]",0,,['Mock'],groups,32.0,,41097146,1507321153.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-10-06 20:19:23.681728,112430.0,5.0
,,2017-10-16 09:00:54.843394,slurm_normal,1508144489.0,0,344304307,fasta,,1.0,37068893,mothur.count_table,main_w4_handler0,3269217,17109603,False,,11166690.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31673380}]","[{'src': 'hda', 'id': 31673381}]",0,,"['a1_S1_L001_001', 'a2_S11_L001_001', 'a3_S21_L001_001', 'a4_S31_L001_001', 'b1_S32_L001_001', 'b2_S42_L001_001', 'b3_S52_L001_001', 'b4_S62_L001_001']",groups,32.0,,40906309,1508144461.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-10-16 09:01:35.840549,20086.0,28.0
,,2017-10-18 08:09:12.328130,slurm_normal,1508314191.0,0,344304307,fasta,,1.0,37068893,mothur.count_table,main_w3_handler0,3269217,17127461,False,,11184279,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31673380}]","[{'src': 'hda', 'id': 31673381}]",0,,['b3_S52_L001_001'],groups,32.0,,40906309,1508314164.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-10-18 08:09:55.362256,20086.0,27.0
,,2017-10-24 14:29:38.243752,slurm_normal,1508855414.0,0,16677699,mothur.align,,1.0,67954,mothur.count_table,main_w4_handler1,3276720,17197627,False,,11257092,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31852098}]","[{'src': 'hda', 'id': 31852099}]",0,,['Mock'],groups,32.0,,41090485,1508855394.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-10-24 14:30:18.422276,112972.0,20.0
,,2017-10-30 16:00:40.438561,slurm_normal,1509379269.0,0,341043,fasta,,1.0,49136,mothur.count_table,main_w3_handler1,3304442,17266188,False,,11325265,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31967274}]","[{'src': 'hda', 'id': 31967275}]",0,,['Mock'],groups,32.0,,39677360,1509379264.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-10-30 16:01:15.486704,654.0,5.0
,,2017-11-02 07:42:52.047499,slurm_normal,1509608591.0,0,16716334,fasta,,1.0,2139790,mothur.count_table,main_w4_handler1,3307905,17295266,False,,11357611,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32018118}]","[{'src': 'hda', 'id': 32018119}]",0,,['BF7_S9_L001_001'],groups,32.0,,41627267,1509608586.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-11-02 07:43:15.443816,36706.0,5.0
,,2017-11-04 14:42:22.354539,slurm_normal,1509806580.0,0,1105294,fasta,,1.0,228261,mothur.count_table,main_w4_handler1,3310785,17327431,False,,11388985,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32064724}]","[{'src': 'hda', 'id': 32064725}]",0,,['Mock_'],groups,32.0,,40381825,1509806575.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-11-04 14:43:07.522032,94887.0,5.0
,,2017-11-07 18:29:10.508890,slurm_normal,1510079747.0,0,35660565,fasta,,1.0,4370226,mothur.count_table,main_w4_handler1,3308920,17371551,False,,11429045,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32133801}]","[{'src': 'hda', 'id': 32133802}]",0,,['BF7_S9_L001_001'],groups,32.0,,41628482,1510079740.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-11-07 18:36:03.637378,110821.0,7.0
,,2017-11-08 03:40:49.081467,slurm_normal,1510112493.0,0,16865895,fasta,,1.0,2158884,mothur.count_table,main_w3_handler0,3315882,17376560,False,,11437865,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32141700}]","[{'src': 'hda', 'id': 32141701}]",0,,['BF7_S9_L001_001'],groups,32.0,,40487806,1510112488.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-11-08 03:41:38.912625,110860.0,5.0
,,2017-11-10 17:45:54.435504,slurm_normal,1510335963.0,0,1101918,fasta,,1.0,227833,mothur.count_table,main_w3_handler0,3307154,17412748,False,,11474586,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32234377}]","[{'src': 'hda', 'id': 32234378}]",0,,['Mock_S280_L001_001'],groups,32.0,,41917246,1510335957.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-11-10 17:46:05.184358,114886.0,6.0
