annot,annot_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input1,input10,input10_filetype,input11,input11_filetype,input12,input12_filetype,input13,input13_filetype,input14,input14_filetype,input15,input15_filetype,input16,input16_filetype,input17,input17_filetype,input18,input18_filetype,input19,input19_filetype,input1_filetype,input2,input20,input20_filetype,input2_filetype,input3,input3_filetype,input4,input4_filetype,input5,input5_filetype,input6,input6_filetype,input7,input7_filetype,input8,input8_filetype,input9,input9_filetype,input_filetype,input_ref,input_ref_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.annot.values,parameters.chromInfo,parameters.dbkey,parameters.gene_selection,parameters.input.values,parameters.input_ref.values,parameters.input_size,parameters.min_contig,parameters.threshold_contig,parameters.type_file,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-03-02 12:32:40.304998,slurm_normal,1519993976.0,1,7680.0,1.0,main_w4_handler0,3401878,18579595,False,,4684141,4684141,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,4684141.0,fasta,12674278,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 34167998}]","[{'src': 'hda', 'id': 34167998}]","""""","""500""","""0,1000""","""contig""",32.0,,44285650,1519993970.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-02 12:33:00.608143,120355.0,6.0
,,2018-03-03 16:43:01.833952,slurm_normal,1520095402.0,4,7680.0,1.0,main_w3_handler0,3450636,18592767,False,,274466103,274466103,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12687335,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 34187805}]",,"""""","""500""","""0,1000""","""contig""",32.0,,44309579,1520095390.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-03 16:43:25.076353,123217.0,12.0
,,2018-03-05 07:32:02.707790,slurm_normal,1520235146.0,1,7680.0,1.0,main_w4_handler0,3023394,18606438,False,,7610682,7610682,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12701754,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 34199957}]",,"""""","""500""","""0,1000""","""contig""",32.0,,44334522,1520235136.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-05 07:32:30.773885,52639.0,10.0
,,2018-03-05 18:00:06.665144,slurm_normal,1520272829.0,1,7680.0,1.0,main_w4_handler1,3325966,18613651,False,,145664,145664,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12709316,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 34222135}]",,"""143000""","""500""","""0,1000""","""scaffold""",32.0,,44351424,1520272818.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-05 18:00:32.308708,116309.0,11.0
,,2018-03-06 16:31:32.283252,slurm_normal,1520353918.0,1,7680.0,1.0,main_w3_handler0,3376279,18626089,False,,233924,233924,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12722446,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 34236055}]",,"""""","""500""","""0,1000""","""contig""",32.0,,44374695,1520353909.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-06 16:32:01.751319,110149.0,9.0
,,2018-03-06 19:57:23.254764,slurm_normal,1520366263.0,1,7680.0,1.0,main_w4_handler1,3419528,18629350,False,,2512169,2512169,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12725576,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 34244379}]",,"""""","""500""","""0,1000""","""contig""",32.0,,44377561,1520366253.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-06 19:57:47.456527,121461.0,10.0
,,2018-03-07 14:52:27.053363,slurm_normal,1520434407.0,4,7680.0,1.0,main_w3_handler1,3454940,18640872,False,,601061914,601061914,,,,,,,,,,,,,,,,,,,,,fasta,692000822.0,,,fasta,,,,,,,,,,,,,,,fasta,389.0,fasta,12736658,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""eukaryote""","[{'src': 'hda', 'id': 34262012}, {'src': 'hda', 'id': 34263939}]","[{'src': 'hda', 'id': 34267797}]","""372""","""500""","""0,1000""","""contig""",32.0,,44420146,1520434370.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-07 14:53:35.649617,123527.0,37.0
,,2018-03-07 19:36:24.942928,slurm_normal,1520451401.0,4,7680.0,1.0,main_w4_handler1,3455346,18645335,False,,0,0,,,,,,,,,,,,,,,,,,,,,fasta,0.0,,,fasta,0.0,fasta,0.0,fasta,,,,,,,,,,,fasta,,,12740549,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""eukaryote""","[{'src': 'hdca', 'id': 114921}]",,"""""","""500""","""0,1000""","""contig""",32.0,,44435414,1520451393.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-07 19:36:43.992598,103938.0,8.0
,,2018-03-07 20:18:09.056679,slurm_normal,1520453937.0,4,7680.0,1.0,main_w3_handler0,3446448,18645839,False,,48090410,48090410,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,46921056.0,fasta,12740971,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 34275571}]","[{'src': 'hda', 'id': 34132704}]","""""","""500""","""0,1000""","""contig""",32.0,,44231776,1520453926.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-07 20:19:04.566978,123026.0,11.0
,,2018-03-08 22:34:42.689091,slurm_normal,1520548505.0,1,7680.0,1.0,main_w4_handler1,3455990,18664894,False,,4647215,4647215,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12760761,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 34281541}]",,"""""","""500""","""0,1000""","""contig""",32.0,,44045437,1520548495.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-08 22:35:11.631855,110331.0,10.0
