create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.annotations,parameters.chr,parameters.chromInfo,parameters.dbkey,parameters.filter.__current_case__,parameters.filter.specificEffects,parameters.filterOut,parameters.generate_stats,parameters.input.values,parameters.inputFormat,parameters.input|__identifier__,parameters.noLog,parameters.offset,parameters.outputConditional.__current_case__,parameters.outputConditional.gatk_v1,parameters.outputConditional.outputFormat,parameters.snpDb.__current_case__,parameters.snpDb.extra_annotations,parameters.snpDb.genomeSrc,parameters.snpDb.genome_version,parameters.snpDb.regulation,parameters.snpDb.snpeff_db.values,parameters.spliceRegion.__current_case__,parameters.spliceRegion.setSpliceRegions,parameters.spliceSiteSize,parameters.transcripts.values,parameters.udLength,processor_count,runner_name,session_id,snpeff_db,snpeff_db_filetype,start_epoch,state,swaptotal,tool_id,tool_version,traceback,transcripts,transcripts_filetype,update_time,user_id,runtime
2017-05-30 09:38:18.195581,slurm_normal,1496137207.0,0,,1.0,main_w4_handler1,3102056,15966755,False,,196322885,vcf,10063613.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",0,no,,"""true""","[{'src': 'hda', 'id': 29814180}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,hg19,,,0,no,"""2""",,"""5000""",32.0,,37824756.0,,,1496137114.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-05-30 09:40:11.353986,,93.0
2017-05-30 08:46:18.180574,slurm_normal,1496134003.0,0,,1.0,main_w3_handler1,3102056,15966475,False,,5981896,vcf,10063352.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 29813945}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,hg19,,,0,no,"""2""",,"""5000""",32.0,,37824756.0,,,1496133988.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-05-30 08:46:48.852656,,15.0
2017-05-30 08:47:15.788853,slurm_normal,1496134068.0,0,,1.0,main_w4_handler1,3102056,15966477,False,,5085739,vcf,10063357.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 29813950}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,hg19,,,0,no,"""2""",,"""5000""",32.0,,37824756.0,,,1496134049.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-05-30 08:47:55.421023,,19.0
2017-06-01 07:31:57.977460,slurm_normal,1496302418.0,0,,1.0,main_w4_handler0,3102056,15986441,False,,174011649,vcf,10081512.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 29814796}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,hg19,,,0,no,"""2""",,"""5000""",32.0,,37824756.0,,,1496302332.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-01 07:33:42.440531,,86.0
2017-06-02 04:46:52.620449,slurm_normal,1496379081.0,0,,1.0,main_w4_handler0,3135957,15995345,False,,175730677,vcf,10089874.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""",0,no,,"""true""","[{'src': 'hda', 'id': 29849272}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,hg19,,,0,no,"""2""",,"""5000""",32.0,,37824756.0,,,1496378990.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-02 04:51:26.563539,,91.0
2017-02-22 15:10:45.310624,slurm_normal,1487776255.0,0,,1.0,main_w4_handler0,2987333,15108095,False,,23018354065,vcf,9263069.roundup,slurm,,132112168.0,corral-repl,,,,"""""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,no,,"""true""","[{'src': 'hda', 'id': 28450557}]","""vcf""",,"""true""","""default""",1,true,gatk,2.0,,named,GRCm38,,,0,no,"""2""",,"""5000""",32.0,,35956865.0,,,1487776249.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-02-22 15:10:58.185783,12159.0,6.0
2017-06-03 21:24:18.051007,slurm_normal,1496525084.0,0,,1.0,main_w4_handler1,3102290,16006406,False,,68309,vcf,10099973.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,,"""true""","[{'src': 'hda', 'id': 29878230}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,GRCh37.73,,,0,no,"""2""",,"""5000""",32.0,,37527947.0,,,1496525070.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-03 21:24:47.692085,93913.0,14.0
2017-06-03 21:24:19.011866,slurm_normal,1496525079.0,0,,1.0,main_w3_handler1,3102290,16006408,False,,84577,vcf,10099974.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,,"""true""","[{'src': 'hda', 'id': 29878265}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,GRCh37.73,,,0,no,"""2""",,"""5000""",32.0,,37527947.0,,,1496525073.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-03 21:24:41.602555,93913.0,6.0
2017-06-03 21:24:18.579692,slurm_normal,1496525083.0,0,,1.0,main_w4_handler0,3102290,16006407,False,,89973,vcf,10099972.roundup,slurm,,132112168.0,corral-repl,,,"[""-cancer"", ""-canon"", ""-geneId"", ""-lof"", ""-oicr"", ""-onlyReg"", ""-classic"", ""-hgvs"", ""-sequenceOntology"", ""-formatEff"", ""-noHgvs"", ""-noLof"", ""-noShiftHgvs""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,,"""true""","[{'src': 'hda', 'id': 29878244}]","""vcf""",,"""true""","""default""",0,,vcf,2.0,,named,GRCh37.73,,,0,no,"""2""",,"""5000""",32.0,,37527947.0,,,1496525070.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-03 21:24:48.414263,93913.0,13.0
2017-06-05 06:00:18.420955,slurm_normal,1496642549.0,0,,1.0,main_w4_handler0,337203,16012943,False,,3246907,vcf,10105755.roundup,slurm,,132112168.0,corral-repl,,,,"""""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",0,no,,"""true""","[{'src': 'hda', 'id': 29888747}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""5000""",32.0,,38440379.0,138.0,snpeffdb,1496642430.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-05 06:02:32.322890,4574.0,119.0
