chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,guide_gff,guide_gff_filetype,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.guide.__current_case__,parameters.guide.guide_gff.values,parameters.guide.input_estimation,parameters.guide.output_ballgown,parameters.guide.use_guide,parameters.input_bam.values,parameters.input_bam|__identifier__,parameters.option_set.__current_case__,parameters.option_set.abundance_estimation,parameters.option_set.bdist,parameters.option_set.bundle_fraction,parameters.option_set.disable_trimming,parameters.option_set.fraction,parameters.option_set.min_anchor_cov,parameters.option_set.min_anchor_len,parameters.option_set.min_bundle_cov,parameters.option_set.min_tlen,parameters.option_set.multi_mapping,parameters.option_set.name_prefix,parameters.option_set.omit_sequences,parameters.option_set.options,parameters.option_set.sensitive,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-02-22 21:26:58.281694,slurm_multi,1487802778.0,0,,6.0,,,main_w4_handler2,2956611,15112280,False,,1366323448,bam,9267540,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 28469858}]",,0,,,,,,,,,,,,,default,,32.0,,36097043.0,1487802744.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-02-22 22:33:00.072585,91355,34.0
780167.0,len,2017-03-06 07:40:08.758870,slurm_multi,1488798209.0,0,,6.0,,,main_w3_handler2,3015900,15216653,False,,2325188155,bam,9367248,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/main/files/019/074/dataset_19074903.dat""","""?""",0,,,,no,"[{'src': 'hda', 'id': 28623741}]","""Group3day10_K1_R_Groom""",0,,,,,,,,,,,,,default,,32.0,,36443558.0,1488798073.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-03-06 11:03:31.534881,99438,136.0
,,2017-03-06 10:59:51.018189,slurm_multi,1488798712.0,0,,6.0,116963244.0,gtf,main_w3_handler2,3020092,15218238,False,,830699953,bam,9367319,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,"[{'src': 'hda', 'id': 28634131}]",true,false,yes,"[{'src': 'hda', 'id': 28634302}]",,0,,,,,,,,,,,,,default,,32.0,,36024417.0,1488798626.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-03-06 11:11:56.984133,99041,86.0
,,2017-04-09 03:25:42.774126,slurm_multi,1491730113.0,0,,6.0,1236675323.0,gtf,main_w4_handler2,3059795,15532742,False,,604819895,bam,9659484,slurm,,132111800.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,"[{'src': 'hda', 'id': 29105813}]",false,false,yes,"[{'src': 'hda', 'id': 29129285}]",,0,,,,,,,,,,,,,default,,32.0,,37033965.0,1491730008.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-04-09 09:28:34.474488,102330,105.0
,,2017-02-21 18:13:51.859647,slurm_multi,1487701244.0,0,,6.0,,,main_w3_handler2,3004332,15097530,False,,597659723,bam,9252508,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,,,,no,"[{'src': 'hda', 'id': 28448226}]","""https://zenodo.org/record/254485/files/G1E_R1__downsampled_SRR549355.fastqsanger""",0,,,,,,,,,,,,,default,,32.0,,35855463.0,1487701203.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-02-21 18:20:45.623450,46626,41.0
,,2017-02-21 18:13:52.579191,slurm_multi,1487701296.0,0,,6.0,,,main_w4_handler2,3004332,15097531,False,,718875283,bam,9252512,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,,,,no,"[{'src': 'hda', 'id': 28448227}]","""https://zenodo.org/record/254485/files/G1E_R2__downsampled_SRR549356.fastqsanger""",0,,,,,,,,,,,,,default,,32.0,,35855463.0,1487701249.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-02-21 18:21:40.413121,46626,47.0
,,2017-02-21 18:14:02.515424,slurm_multi,1487701338.0,0,,6.0,,,main_w4_handler2,3004332,15097535,False,,443749198,bam,9252517,slurm,,132111800.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,,,,no,"[{'src': 'hda', 'id': 28448232}]","""https://zenodo.org/record/254485/files/Megakaryocyte_R1__downsampled_SRR549357.fastqsanger""",0,,,,,,,,,,,,,default,,32.0,,35855463.0,1487701304.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-02-21 18:22:20.444242,46626,34.0
,,2017-02-21 18:14:02.928425,slurm_multi,1487701350.0,0,,6.0,,,main_w4_handler2,3004332,15097536,False,,29318259,bam,9252521,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,,,,no,"[{'src': 'hda', 'id': 28448233}]","""https://zenodo.org/record/254485/files/Megakaryocyte_R2__downsampled_SRR549358.fastqsanger""",0,,,,,,,,,,,,,default,,32.0,,35855463.0,1487701343.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-02-21 18:22:32.158204,46626,7.0
,,2017-01-10 03:56:38.322713,slurm_multi,1484020624.0,0,,6.0,,,main_w4_handler2,2945918,14721527,False,,628124231,bam,8890344,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27861989}]",,0,,,,,,,,,,,,,default,,32.0,,35082505.0,1484020601.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 03:57:05.641572,91355,23.0
,,2017-01-10 09:45:28.901716,slurm_multi,1484041633.0,0,,6.0,,,main_w4_handler2,2931971,14722467,False,,136992088,bam,8891174,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767304}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:47:15.879198,80465,10.0
