count,count_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,list,list_filetype,memtotal,name,name_filetype,object_store_id,param_filename,parameters.chromInfo,parameters.count.values,parameters.cutoff,parameters.dbkey,parameters.fasta.values,parameters.name.values,parameters.otu.__current_case__,parameters.otu.use,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-03-23 06:43:00.046905,slurm_normal,1490251395.0,0,63117660,fastq,1.0,main_w3_handler0,3041177,15372855,False,,9511046.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 28878442}]",,0.0,no,32.0,,36799491,1490251385.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-03-23 06:43:17.087612,102567.0,10.0
,,2017-03-24 15:59:39.626757,slurm_normal,1490371672.0,0,222627357,fastqsanger,1.0,main_w4_handler0,3015424,15388192,False,,9524189.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 28911738}]",,0.0,no,32.0,,36642647,1490371509.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-03-24 16:08:04.035006,64413.0,163.0
,,2017-03-15 22:12:04.342708,slurm_normal,1489615934.0,0,21036,fasta,1.0,main_w4_handler0,2999054,15307584,False,,9449889.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 28775321}]",,0.0,no,32.0,,36648615,1489615928.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-03-15 22:12:15.231718,98626.0,6.0
,,2017-03-15 22:12:04.768930,slurm_normal,1489615938.0,0,14307,fasta,1.0,main_w3_handler0,2999054,15307585,False,,9449891.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 28775322}]",,0.0,no,32.0,,36648615,1489615934.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-03-15 22:12:24.547940,98626.0,4.0
,,2017-02-25 03:42:20.581702,slurm_normal,1487994149.0,0,43329,fasta,1.0,main_w3_handler0,2998468,15139656,False,,9292870.roundup,slurm,,,,132112168.0,1610.0,fasta,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 28511220}]","[{'src': 'hda', 'id': 28511190}]",0.0,no,32.0,,35698865,1487994145.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-02-25 03:42:30.687809,99128.0,4.0
3632609.0,fasta,2017-02-27 21:20:31.206365,slurm_normal,1488230445.0,0,3632609,fasta,1.0,main_w4_handler0,3011797,15159416,False,,9311032.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 28531051}]","""100""","""?""","[{'src': 'hda', 'id': 28531051}]",,0.0,no,32.0,,36314751,1488230438.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-02-27 21:20:47.952478,99424.0,7.0
,,2017-03-04 15:41:03.871075,slurm_normal,1488642075.0,0,34154440,fasta,1.0,main_w4_handler1,895333,15207425,False,,9357312.roundup,slurm,,,,132112168.0,34154440.0,fasta,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 28532334}]","[{'src': 'hda', 'id': 28532334}]",0.0,no,32.0,,36378451,1488642067.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-03-04 15:41:18.342684,20563.0,8.0
,,2017-03-09 23:59:07.314354,slurm_normal,1489103961.0,0,4428,fastq,1.0,main_w3_handler0,2888528,15258998,False,,9405178.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 28702400}]",,0.0,no,32.0,,36180298,1489103955.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-03-09 23:59:24.909297,77853.0,6.0
,,2017-04-14 22:12:00.893364,slurm_normal,1492207943.0,0,430558,fasta,1.0,main_w4_handler1,3073753,15590288,False,,9711977.roundup,slurm,,,,132112168.0,430558.0,fasta,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""10""","""?""","[{'src': 'hda', 'id': 29223934}]","[{'src': 'hda', 'id': 29223934}]",0.0,no,32.0,,37339356,1492207938.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-04-14 22:12:24.846687,,5.0
,,2017-04-18 09:28:59.118645,slurm_normal,1492507764.0,0,45567117,txt,1.0,main_w4_handler1,3068942,15612552,False,,9731441.roundup,slurm,,4821793.0,fasta,132112168.0,1794744.0,txt,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 29256796}]","[{'src': 'hda', 'id': 29256795}]",,,32.0,,37370514,1492507755.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-04-18 09:29:27.189813,103902.0,9.0
