chromInfo,chromInfo_filetype,count,count_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,name,name_filetype,object_store_id,param_filename,parameters.chromInfo,parameters.count.values,parameters.count|__identifier__,parameters.dbkey,parameters.fasta.values,parameters.fasta|__identifier__,parameters.name.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,,,2017-04-26 11:17:10.729945,slurm_normal,1493205446.0,0,19515430,fasta,1.0,main_w3_handler0,3077539,15680241,False,,9794884.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29364842}]",,,32.0,,37571403,1493205441.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-04-26 11:17:28.557550,104269.0,5.0
,,,,2017-04-18 10:13:26.051176,slurm_normal,1492510443.0,0,186462739,fasta,1.0,main_w4_handler1,3077160,15612710,False,,9731581.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29256801}]",,,32.0,,37330514,1492510427.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-04-18 10:14:05.766632,80831.0,16.0
,,,,2017-04-18 10:13:25.518084,slurm_normal,1492510444.0,0,178970913,fasta,1.0,main_w3_handler0,3077160,15612708,False,,9731583.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29256736}]",,,32.0,,37330514,1492510430.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-04-18 10:14:08.850596,80831.0,14.0
,,,,2017-04-18 10:13:25.206039,slurm_normal,1492510452.0,0,193316220,fasta,1.0,main_w3_handler0,3077160,15612707,False,,9731582.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29256692}]",,,32.0,,37330514,1492510427.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-04-18 10:14:13.978139,80831.0,25.0
,,,,2017-04-18 10:13:25.789230,slurm_normal,1492510453.0,0,207283993,fasta,1.0,main_w3_handler1,3077160,15612709,False,,9731584.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29256770}]",,,32.0,,37330514,1492510437.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-04-18 10:14:16.753447,80831.0,16.0
,,,,2017-04-18 10:21:04.754914,slurm_normal,1492510899.0,0,19131572,fasta,1.0,main_w4_handler0,3066993,15612753,False,,9731632.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29257350}]",,,32.0,,37243043,1492510893.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-04-18 10:21:46.311698,,6.0
,,,,2017-04-18 11:39:07.810573,slurm_normal,1492515590.0,0,158207655,fasta,1.0,main_w4_handler1,3077160,15613203,False,,9731982.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29258001}]",,,32.0,,37330514,1492515578.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-04-18 11:39:53.570548,80831.0,12.0
,,,,2017-03-24 05:02:41.186394,slurm_normal,1490331973.0,0,1493637066,fastq,1.0,main_w3_handler1,3043045,15382711,False,,9520110.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 28898637}]",,,32.0,,36826275,1490331765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-03-24 05:06:14.357681,82194.0,208.0
28.0,len,,,2017-05-31 18:10:16.402322,slurm_normal,1496255048.0,0,964183954,fastqsanger,1.0,main_w4_handler1,2865661,15981471,False,,10076829.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/main/files/019/294/dataset_19294018.dat""",,,"""?""","[{'src': 'hda', 'id': 29836303}]",,,32.0,,36717976,1496255001.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-05-31 18:24:17.860257,39242.0,47.0
,,16938636.0,fasta,2017-03-24 18:35:26.885724,slurm_normal,1490380537.0,0,16938636,fasta,1.0,main_w4_handler0,3042010,15390394,False,,9526374.roundup,slurm,,132112168.0,16938636.0,fasta,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 28915590}]",,"""?""","[{'src': 'hda', 'id': 28915590}]",,"[{'src': 'hda', 'id': 28915590}]",32.0,,36762747,1490380530.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-03-24 18:35:39.671472,82349.0,7.0
,,30570329.0,fasta,2017-03-24 18:35:27.448525,slurm_normal,1490380681.0,0,30570329,fasta,1.0,main_w3_handler0,3042010,15390396,False,,9526376.roundup,slurm,,132112168.0,30570329.0,fasta,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 28915592}]",,"""?""","[{'src': 'hda', 'id': 28915592}]",,"[{'src': 'hda', 'id': 28915592}]",32.0,,36762747,1490380538.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-03-24 18:38:05.555591,82349.0,143.0
,,31361175.0,fasta,2017-03-24 18:35:27.839291,slurm_normal,1490380542.0,0,31361175,fasta,1.0,main_w4_handler1,3042010,15390397,False,,9526373.roundup,slurm,,132112168.0,31361175.0,fasta,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 28915593}]",,"""?""","[{'src': 'hda', 'id': 28915593}]",,"[{'src': 'hda', 'id': 28915593}]",32.0,,36762747,1490380530.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-03-24 18:35:46.771724,82349.0,12.0
,,17066960.0,fasta,2017-03-24 18:35:27.156875,slurm_normal,1490380543.0,0,17066960,fasta,1.0,main_w3_handler1,3042010,15390395,False,,9526375.roundup,slurm,,132112168.0,17066960.0,fasta,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 28915591}]",,"""?""","[{'src': 'hda', 'id': 28915591}]",,"[{'src': 'hda', 'id': 28915591}]",32.0,,36762747,1490380534.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-03-24 18:35:49.169594,82349.0,9.0
,,,,2017-03-29 09:26:54.423570,slurm_normal,1490779625.0,0,4375560,fastq,1.0,main_w3_handler0,3049487,15422255,False,,9554385.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 28954713}]","""forward""",,32.0,,36932955,1490779620.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-03-29 09:27:07.473827,100995.0,5.0
,,,,2017-03-29 09:26:59.395608,slurm_normal,1490779628.0,0,3292547,fastq,1.0,main_w3_handler0,3049487,15422258,False,,9554386.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 28954716}]","""reverse""",,32.0,,36932955,1490779623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-03-29 09:27:09.625400,100995.0,5.0
,,,,2017-03-29 09:27:01.273882,slurm_normal,1490779630.0,0,3794704,fastq,1.0,main_w3_handler1,3049487,15422261,False,,9554387.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 28954721}]","""forward""",,32.0,,36932955,1490779625.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-03-29 09:27:12.547134,100995.0,5.0
,,,,2017-03-29 09:26:58.417327,slurm_normal,1490779890.0,0,3295299,fastq,1.0,main_w4_handler1,3049487,15422257,False,,9554412.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 28954715}]","""forward""",,32.0,,36932955,1490779885.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-03-29 09:35:19.232642,100995.0,5.0
,,,,2017-03-29 09:27:00.085228,slurm_normal,1490780365.0,0,11016599,fastq,1.0,main_w4_handler1,3049487,15422259,False,,9554432.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 28954719}]","""forward""",,32.0,,36932955,1490780358.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-03-29 09:44:50.011911,100995.0,7.0
,,70394.0,count_table,2017-03-29 18:00:15.869197,slurm_normal,1490810461.0,0,2473135,fasta,1.0,main_w4_handler1,3042010,15426619,False,,9558685.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 28973398}]",,"""?""","[{'src': 'hda', 'id': 28972600}]",,,32.0,,36762747,1490810420.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-03-29 18:01:02.790699,82349.0,41.0
,,810215.0,tabular,2017-04-02 16:54:55.804354,slurm_normal,1491152102.0,0,15825100641,align,1.0,main_w4_handler1,3051903,15462651,False,,9592935.roundup,slurm,,132112168.0,402538708.0,tabular,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 29022462}]",,"""?""","[{'src': 'hda', 'id': 29026212}]",,"[{'src': 'hda', 'id': 29022526}]",32.0,,37043856,1491152098.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-04-02 16:55:06.041127,97888.0,4.0
,,,,2017-04-02 16:56:55.247949,slurm_normal,1491152719.0,0,15825100641,align,1.0,main_w3_handler1,3051903,15462656,False,,9592954.roundup,slurm,,132112168.0,402538708.0,tabular,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,,"""?""","[{'src': 'hda', 'id': 29026212}]",,"[{'src': 'hda', 'id': 29022526}]",32.0,,37043856,1491152219.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_summary_seqs/1.20.0,1.20.0,,2017-04-02 17:05:24.101147,97888.0,500.0
