chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_collection1,input_collection1_filetype,input_collection2,input_collection2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_type.__current_case__,parameters.input_type.input_collection.values,parameters.input_type.input_type_selector,parameters.input_type.read1.values,parameters.input_type.read2.values,parameters.minOverlap,parameters.pctMaxDiff,parameters.splitChar,parameters.stitchLengthReport,processor_count,read1,read1_filetype,read2,read2_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-03 13:17:37.104888,slurm_normal,1509715123.0,0,,1.0,main_w3_handler1,3308499,17317049,False,,,,,,11377209,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",0,,paired,"[{'src': 'hda', 'id': 32034311}]","[{'src': 'hda', 'id': 32034314}]","""6""","""8.0""",""" ""","""false""",32.0,833245213.0,fastqsanger,833245213.0,fastqsanger,,41699128.0,1509715076.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-11-03 13:22:19.337469,,47.0
,,2018-01-21 21:57:07.687415,slurm_normal,1516571876.0,0,,1.0,main_w4_handler0,2929475,18106294,False,,,,,,12186629,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 33312920}]","[{'src': 'hda', 'id': 33312920}]","""6""","""8.0""",""" ""","""false""",32.0,295195365.0,fastqsanger,295195365.0,fastqsanger,,42374353.0,1516571840.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2018-01-21 21:57:58.831014,97440.0,36.0
,,2018-03-02 04:28:35.045236,slurm_normal,1519964958.0,0,7680.0,1.0,main_w4_handler1,2621413,18576210,False,,,,,,12670468,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 34162432}]","[{'src': 'hda', 'id': 34162442}]","""6""","""8.0""",""" ""","""false""",32.0,285621568.0,fastqsanger,285674380.0,fastqsanger,,44273428.0,1519964926.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2018-03-02 04:29:21.543111,79769.0,32.0
,,2018-03-02 08:20:30.459344,slurm_normal,1519978858.0,0,7680.0,1.0,main_w4_handler0,3447961,18577210,False,,,,,,12671433,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",0,,paired,"[{'src': 'hda', 'id': 34144782}]","[{'src': 'hda', 'id': 34144783}]","""10""","""8.0""",""" ""","""false""",32.0,74300566.0,fastqsanger,74300566.0,fastqsanger,,44284362.0,1519978838.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2018-03-02 08:21:03.952074,64295.0,20.0
37.0,len,2017-12-17 08:21:20.228414,slurm_normal,1513498908.0,0,,1.0,main_w3_handler1,3355572,17828351,False,,,,,,11901865,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/022/707/dataset_22707686.dat""","""?""",0,,paired,"[{'src': 'hda', 'id': 32969318}]","[{'src': 'hda', 'id': 32969318}]","""6""","""8.0""",""" ""","""false""",32.0,217747871.0,fastqsanger,217747871.0,fastqsanger,,42575455.0,1513498887.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 08:21:50.302745,46250.0,21.0
,,2017-12-17 09:56:06.912919,slurm_normal,1513504584.0,0,,1.0,main_w4_handler1,3308628,17828675,False,,,,,,11902184,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,paired,"[{'src': 'hda', 'id': 32969814}]","[{'src': 'hda', 'id': 32969817}]","""6""","""8.0""",""" ""","""false""",32.0,22735253.0,fastqsanger,22748565.0,fastqsanger,,41700979.0,1513504578.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 09:56:26.922585,115015.0,6.0
37.0,len,2017-12-17 08:24:55.685281,slurm_normal,1513499124.0,0,,1.0,main_w4_handler1,3355572,17828416,False,,,,,,11901922,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/022/707/dataset_22707686.dat""","""?""",0,,paired,"[{'src': 'hda', 'id': 32969364}]","[{'src': 'hda', 'id': 32969365}]","""6""","""8.0""",""" ""","""false""",32.0,199483001.0,fastqsanger,208607491.0,fastqsanger,,42575455.0,1513499107.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 08:25:26.291546,46250.0,17.0
,,2017-12-17 10:37:47.032776,slurm_normal,1513507084.0,0,,1.0,main_w4_handler1,3341152,17829276,False,,,,,,11902360,slurm,,132112168.0,corral-repl,,"""4d2a5d02e31611e7a29a005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714066}]","[{'src': 'hda', 'id': 32714072}]","""4""","""10.0""",""" ""","""false""",32.0,4783093.0,fastqsanger,4782823.0,fastqsanger,,,1513507079.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 10:38:06.436559,117327.0,5.0
,,2017-12-17 11:12:16.182784,slurm_normal,1513509161.0,0,,1.0,main_w4_handler1,3341152,17829412,False,,,,,,11902549,slurm,,132112168.0,corral-repl,,"""2198b2a6e31b11e7a64e005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714078}]","[{'src': 'hda', 'id': 32714079}]","""4""","""10.0""",""" ""","""false""",32.0,3248162.0,fastqsanger,3256640.0,fastqsanger,,,1513509157.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 11:12:49.520634,117327.0,4.0
,,2017-12-17 09:43:47.513688,slurm_normal,1513503845.0,0,,1.0,main_w3_handler0,3341152,17828614,False,,,,,,11902117,slurm,,132112168.0,corral-repl,,"""c66c94f8e30e11e79dd1005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714058}]","[{'src': 'hda', 'id': 32714060}]","""4""","""10.0""",""" ""","""false""",32.0,3116534.0,fastqsanger,3111252.0,fastqsanger,,,1513503841.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 09:44:08.375405,117327.0,4.0
