create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.cons_thres,parameters.dbkey,parameters.input.values,parameters.keep_sscs,parameters.min_cons_reads,parameters.min_reads,parameters.phone,parameters.qual_format,parameters.qual_thres,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-26 21:06:43.753705,slurm_normal,1509053123.0,0,,1.0,main_w4_handler1,3014095,17233977,False,,2692,tabular,11294477,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""0.5""","""?""","[{'src': 'hda', 'id': 31912754}]","""true""","""0""","""3""","""false""","""sanger""","""25""",32.0,,40138345.0,1509053117.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-10-26 21:25:29.449731,24894.0,6.0
2017-10-27 01:50:33.786807,slurm_normal,1509069651.0,0,,1.0,main_w3_handler0,3014095,17235514,False,,0,tabular,11295994,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Homo_sapiens_nuHg19_mtrCRS.len""","""0.5""","""Homo_sapiens_nuHg19_mtrCRS""","[{'src': 'hda', 'id': 31916524}]","""true""","""0""","""3""","""true""","""sanger""","""25""",32.0,,40138345.0,1509069642.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-10-27 02:00:57.568389,24894.0,9.0
2017-10-27 02:19:04.703516,slurm_normal,1509078397.0,0,,1.0,main_w3_handler0,3014095,17235644,False,,3676660894,tabular,11296692,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Homo_sapiens_nuHg19_mtrCRS.len""","""0.5""","""Homo_sapiens_nuHg19_mtrCRS""","[{'src': 'hda', 'id': 31916688}]","""true""","""0""","""3""","""true""","""sanger""","""25""",32.0,,40138345.0,1509077771.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-10-27 04:26:47.980484,24894.0,626.0
2017-10-31 15:23:01.503364,slurm_normal,1509463480.0,0,,1.0,main_w3_handler1,3214826,17277081,False,,202008985,tabular,11337855,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""0.5""","""?""","[{'src': 'hda', 'id': 31987922}]","""false""","""0""","""3""","""false""","""sanger""","""25""",32.0,,39823805.0,1509463446.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-10-31 15:24:41.455671,76685.0,34.0
2017-11-01 18:43:55.463262,slurm_normal,1509561894.0,0,,1.0,main_w3_handler0,3307352,17288494,False,,144983771,tabular,11350282,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""0.5""","""?""","[{'src': 'hda', 'id': 32007619}]","""false""","""0""","""3""","""false""","""sanger""","""25""",32.0,,41679230.0,1509561882.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-11-01 18:45:02.551705,,12.0
2017-11-04 15:08:19.674914,slurm_normal,1509809105.0,0,,1.0,main_w3_handler0,3266956,17327531,False,,3787972948,tabular,11389089,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""0.7""","""?""","[{'src': 'hda', 'id': 32056874}]","""true""","""0""","""3""","""true""","""sanger""","""25""",32.0,,41328498.0,1509808122.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-11-04 15:25:13.978842,61346.0,983.0
2017-11-13 15:34:12.957482,slurm_normal,1510597553.0,0,,1.0,main_w3_handler1,3323163,17438744,False,,3387071172,tabular,11499332,slurm,,132112168.0,corral-repl,,"""162905eac88811e7b4af005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""0.7""","""?""","[{'src': 'hda', 'id': 32284154}]","""true""","""0""","""3""","""true""","""sanger""","""25""",32.0,,,1510597282.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-11-13 18:25:54.755284,61346.0,271.0
2017-11-13 18:49:41.684581,slurm_normal,1510662286.0,0,,1.0,main_w4_handler1,3323167,17440929,False,,10889028716,tabular,11509368,slurm,,132112168.0,corral-repl,,"""6581fc80c8a311e78aaf005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""0.7""","""?""","[{'src': 'hda', 'id': 32288817}]","""true""","""0""","""3""","""true""","""sanger""","""25""",32.0,,,1510660210.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-11-14 12:24:50.073219,61346.0,2076.0
2017-11-13 16:08:52.220302,slurm_normal,1510673332.0,0,,1.0,main_w4_handler0,3323165,17439304,False,,9611953778,tabular,11511668,slurm,,132112168.0,corral-repl,,"""ed6479aac88c11e78fb2005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""0.7""","""?""","[{'src': 'hda', 'id': 32285176}]","""true""","""0""","""3""","""true""","""sanger""","""25""",32.0,,,1510671023.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-11-14 15:28:59.939964,61346.0,2309.0
2017-11-14 19:10:37.664101,slurm_normal,1510688998.0,0,,1.0,main_w3_handler1,3323165,17457798,False,,9611953778,tabular,11515466,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""0.7""","""?""","[{'src': 'hda', 'id': 32285176}]","""false""","""0""","""3""","""true""","""sanger""","""25""",32.0,,41960766.0,1510686654.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-11-14 19:50:06.616853,61346.0,2344.0
2017-11-17 15:34:00.914240,slurm_normal,1510935173.0,0,,1.0,main_w4_handler1,3323167,17494296,False,,10889028716,tabular,11553066,slurm,,132112168.0,corral-repl,,"""b9a0b26ecbac11e7af72005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""0.7""","""?""","[{'src': 'hda', 'id': 32288817}]","""true""","""0""","""2""","""true""","""sanger""","""25""",32.0,,,1510932855.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-11-17 16:12:59.680012,61346.0,2318.0
2017-11-17 16:21:26.866609,slurm_normal,1510938391.0,0,,1.0,main_w3_handler1,3323165,17494684,False,,9611953778,tabular,11553513,slurm,,132112168.0,corral-repl,,"""58f4e974cbb311e7a5f2005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""0.7""","""?""","[{'src': 'hda', 'id': 32285176}]","""true""","""0""","""2""","""true""","""sanger""","""25""",32.0,,,1510935704.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-11-17 17:06:35.228864,61346.0,2687.0
2017-11-22 19:46:16.842236,slurm_normal,1511388580.0,0,,1.0,main_w3_handler1,3335945,17553219,False,,897283520,tabular,11614702,slurm,,132112168.0,corral-repl,,"""c7461db8cfbd11e7b149005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""0.7""","""?""","[{'src': 'hda', 'id': 32477245}]","""true""","""0""","""3""","""true""","""sanger""","""25""",32.0,,,1511388442.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-11-22 22:09:43.372749,61346.0,138.0
2017-11-22 19:51:23.762089,slurm_normal,1511421712.0,0,,1.0,main_w3_handler0,3335950,17553307,False,,11265628524,tabular,11618812,slurm,,132112168.0,corral-repl,,"""7fe206c0cfbe11e7aa29005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""0.7""","""?""","[{'src': 'hda', 'id': 32477373}]","""true""","""0""","""3""","""true""","""sanger""","""25""",32.0,,,1511420422.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-11-23 07:21:55.377931,61346.0,1290.0
2017-11-22 20:01:46.846253,slurm_normal,1511418721.0,0,,1.0,main_w3_handler1,3335948,17553423,False,,9708852704,tabular,11618237,slurm,,132112168.0,corral-repl,,"""f36577a2cfbf11e7a6d6005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""0.7""","""?""","[{'src': 'hda', 'id': 32477587}]","""true""","""0""","""3""","""true""","""sanger""","""25""",32.0,,,1511417362.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/dunovo/2.0.6,2.0.6,,2017-11-23 06:32:04.880595,61346.0,1359.0
