chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputSequences,inputSequences_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.adjustdirection,parameters.chromInfo,parameters.cond_flavour.__current_case__,parameters.cond_flavour.distance_method,parameters.cond_flavour.flavourType,parameters.cond_flavour.iterations,parameters.cond_flavour.retree,parameters.datatype,parameters.dbkey,parameters.ep,parameters.getTree,parameters.inputSequences.values,parameters.inputSequences|__identifier__,parameters.matrix_condition.BLOSUM,parameters.matrix_condition.PAM,parameters.matrix_condition.__current_case__,parameters.matrix_condition.matrix,parameters.op,parameters.outputFormat,parameters.reorder,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-16 20:37:51.466256,slurm_normal,1466116771.0,0,,1.0,main_w1_handler0,2741338,13187410,False,,1508260,fasta,7373220.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""--nuc""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b578e48f8983a88638'}]",,,,0,,"""1.53""","""--clustalout""","""false""",32.0,,30914119.0,1466116662.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-06-16 22:39:33.548867,,109.0
,,2017-05-09 15:30:26.761335,slurm_normal,1494343886.0,0,,1.0,main_w4_handler1,2998892,15795089,False,,47776,fasta,9900921.roundup,slurm,,132112168.0,corral-repl,,,,,,"""--adjustdirection""","""/galaxy-repl/localdata/chrom/?.len""",7,,mafft-linsi,,,"""""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 29538766}]",,,,0,,"""1.53""","""--clustalout""","""false""",32.0,,36095880.0,1494343834.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-05-09 15:31:38.587209,,52.0
,,2017-04-09 06:34:44.657013,slurm_normal,1491727246.0,0,,1.0,main_w4_handler1,3065323,15533093,False,,12339190,fasta,9659165.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",1,,mafft --auto,,,"""--nuc""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 29137990}]",,,,0,,"""1.53""","""--clustalout""","""false""",32.0,,37226478.0,1491720231.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-04-09 08:40:48.332058,66827.0,7015.0
,,2017-02-23 17:39:01.510306,slurm_normal,1487871551.0,0,,1.0,main_w4_handler0,3004941,15120912,False,,12035,fasta,9275019.roundup,slurm,,132112168.0,corral-repl,,,,,,"""--adjustdirection""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""--nuc""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 28483118}]",,,,0,,"""1.53""","""--clustalout""","""false""",32.0,,36011642.0,1487871544.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-02-23 17:39:15.662317,99394.0,7.0
,,2016-10-12 01:51:29.861461,slurm_normal,1476237102.0,0,,1.0,main_w3_handler1,2851499,14059397,False,,221664,fasta,8276556.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""--nuc""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5612f0afe83e08d09'}]",,,,0,,"""1.53""","""""","""false""",32.0,,33620125.0,1476237093.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-10-12 01:51:44.143288,92060.0,9.0
,,2016-10-12 01:44:27.631451,slurm_normal,1476236678.0,0,,1.0,main_w4_handler0,2851499,14059378,False,,204676,fasta,8276539.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59384777b5b7dd468'}]",,,,0,,"""1.53""","""""","""false""",32.0,,33620125.0,1476236670.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-10-12 01:44:39.902341,92060.0,8.0
,,2016-10-12 01:54:28.288197,slurm_normal,1476237280.0,0,,1.0,main_w3_handler1,2851499,14059405,False,,241189,fasta,8276563.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b54a733acff92a0239'}]",,,,0,,"""1.53""","""--phylipout""","""false""",32.0,,33620125.0,1476237270.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-10-12 01:54:41.555858,92060.0,10.0
,,2017-01-09 19:59:52.625412,slurm_normal,1483992050.0,0,,1.0,main_w3_handler0,2882823,14719069,False,,52854,fasta,8888037.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",7,,mafft-linsi,,,"""""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 27858364}]",,,,0,,"""1.53""","""""","""true""",32.0,,34600644.0,1483991997.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-01-09 20:00:54.392542,93822.0,53.0
,,2016-10-12 07:18:11.470445,slurm_normal,1476257325.0,0,,1.0,main_w3_handler1,2778243,14060913,False,,2661490,fasta,8277701.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/hg38.len""",0,,mafft-fftns,,,"""""","""hg38""","""0.123""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f3af8ceb8a66dc78'}]",,,,0,,"""1.53""","""""","""false""",32.0,,31780600.0,1476256693.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-10-12 07:28:46.464196,,632.0
,,2017-04-07 12:40:41.319432,slurm_normal,1491568867.0,0,,1.0,main_w3_handler1,3063688,15519687,False,,33898,fasta,9646130.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""--nuc""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 29116858}]",,,,0,,"""1.53""","""""","""false""",32.0,,37188833.0,1491568863.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-04-07 12:41:08.608475,,4.0
