create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fraction,parameters.inputA,parameters.inputB,parameters.invert,parameters.reciprocal,parameters.split,parameters.strand,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-28 08:11:56.941437,slurm_normal,,main_w1_handler1,2239404,9348081,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11041013307,bam,1606049656,bed,3684119.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",19474117,19490675,"""False""","""False""","""True""","""""",,22750239,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-04-28 08:33:09.729208,51777,1272.787771
2015-04-28 09:21:38.848990,slurm_normal,,main_w1_handler1,2239404,9348590,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11041013307,bam,1606049656,bed,3684887.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",19474117,19490675,"""False""","""False""","""True""","""""",,22750239,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-04-28 09:23:16.344700,51777,97.49571
2014-11-20 01:39:56.447144,rodeo_normal,,main_w2_handler0,2109983,8207215,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2281145,bam,2223782753,bed,266199.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",""".01""",17613698,17593707,"""True""","""True""","""True""","""""",,18361406,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2014-11-20 01:47:51.173484,55562,474.72634000000005
2015-04-29 03:45:58.074399,slurm_normal,,main_w1_handler1,2239404,9357550,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3204075298,bam,1314751960,bed,3694319.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",19493083,19491629,"""False""","""False""","""True""","""""",,22772613,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-04-29 03:47:38.133331,51777,100.05893200000001
2015-04-28 09:21:28.458681,slurm_normal,,main_w1_handler0,2239404,9348589,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8853726951,bam,1606049656,bed,3684883.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",19474115,19490675,"""False""","""False""","""True""","""""",,22750239,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-04-28 09:23:20.266427,51777,111.80774600000001
2015-04-21 07:03:01.720618,slurm_normal,,main_w1_handler1,2271637,9285661,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3717102790,bam,6973065154,bed,3593067.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/xenTro7.len""","""xenTro7""","""""",19395210,19396399,"""False""","""False""","""True""","""""",,22285726,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-04-21 07:22:02.047934,61020,1140.327316
2015-04-20 06:04:43.099062,slurm_normal,,main_w1_handler1,2271637,9270237,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3717102790,bam,12053376216,bed,3565272.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/xenTro7.len""","""xenTro7""","""""",19368738,19368811,"""False""","""False""","""True""","""""",,22285726,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-04-20 06:06:01.468300,61020,78.36923800000001
2015-04-28 09:57:13.031404,slurm_normal,,main_w2_handler0,2239404,9348835,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11041013307,bam,1314751960,bed,3685425.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",19474117,19491629,"""False""","""False""","""True""","""""",,22750239,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-04-28 10:15:13.910313,51777,1080.878909
2015-04-28 08:11:53.869888,slurm_normal,,main_w2_handler0,2239404,9348079,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8853726951,bam,1606049656,bed,3684118.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""",19474115,19490675,"""False""","""False""","""True""","""""",,22750239,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-04-28 08:32:58.349601,51777,1264.4797130000002
2015-04-21 04:19:27.014951,slurm_normal,,main_w1_handler1,2271637,9284542,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4771685853,bam,12053376216,bed,3591028.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/xenTro7.len""","""xenTro7""","""""",19354348,19368811,"""False""","""False""","""True""","""""",,22285726,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0,0.1.0,,2015-04-21 04:21:06.144630,61020,99.12967900000001
