bamInput,bamInput_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.MNase,parameters.advancedOpt.__current_case__,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.filterRNAstrand,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.ignoreForNormalization,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.advancedOpt.smoothLength,parameters.bamInput.values,parameters.binSize,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.effectiveGenomeSize.__current_case__,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.scaling.scaleFactor,parameters.scaling.type,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
19711176893,bam,2016-06-17 22:30:49.200303,slurm_multi,,main_w1_handler2,2741336,13197300,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7381973,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5242149c745528dfc'}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",0,,,,1.0,rpkm,,30743046,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 22:35:00.667591,85294,251.46728800000002
8792311735,bam,2016-07-24 14:49:41.289189,slurm_multi,,main_w2_handler2,2773215,13480034,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7695904,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a818d62efdf56db8'}]","""1""","""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""","""bigwig""","""""",2,0.0,63213215,specific,1.0,1x,,31665911,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-07-24 15:02:26.180602,87679,764.8914130000001
14742640,bam,2016-09-19 00:36:53.525129,slurm_multi,,main_w4_handler2,2821220,13877831,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8101105,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b533b9e5b8d1efec32'}]","""40""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,,33014701,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-19 00:44:59.360328,90275,485.83519900000005
27755359747,bam,2016-07-09 02:31:11.970360,slurm_multi,,main_w2_handler2,2761398,13365664,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7575746,slurm,,corral-repl,,0,no,,false,1,false,0.0,no,no,false,,1,,,yes,false,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b557ce750e9cd8da0d'}]","""500""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",2,0.0,2150570000,specific,1.0,1x,,31271638,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-07-09 03:04:40.229371,86121,2008.259011
19711176893,bam,2016-06-17 21:54:25.724776,slurm_multi,,main_w1_handler2,2741336,13196751,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7381373,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5242149c745528dfc'}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",0,,,,1.0,rpkm,,30743046,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 22:00:24.419644,85294,358.69486800000004
16596408918,bam,2016-06-17 23:37:28.480801,slurm_multi,,main_w1_handler2,2741336,13197621,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7382270,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a2bad19acf06b1a4'}]","""1000""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",0,,,,1.0,rpkm,,30743046,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 23:44:59.375845,85294,450.89504400000004
19711176893,bam,2016-06-17 21:23:57.202240,slurm_multi,,main_w1_handler2,2741336,13196420,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7381032,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5242149c745528dfc'}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",0,,,,1.0,rpkm,,30743046,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 21:30:36.016251,85294,398.81401100000005
16596408918,bam,2016-06-17 23:00:20.311376,slurm_multi,,main_w1_handler2,2741336,13197479,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7382136,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a2bad19acf06b1a4'}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",0,,,,1.0,rpkm,,30743046,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 23:08:20.654893,85294,480.343517
25711970230,bam,2016-07-09 02:31:12.517655,slurm_multi,,main_w1_handler2,2761398,13365665,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7575726,slurm,,corral-repl,,0,no,,false,1,false,0.0,no,no,false,,1,,,yes,false,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a4a9c2f99b18aa3b'}]","""500""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",2,0.0,2150570000,specific,1.0,1x,,31271638,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-07-09 02:58:08.932342,86121,1616.4146870000002
14742640,bam,2016-09-19 02:19:47.585546,slurm_multi,,main_w4_handler2,2821220,13878049,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8101341,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b533b9e5b8d1efec32'}]","""100""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,,33014701,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-19 02:27:22.114669,90275,454.529123
27755359747,bam,2016-07-09 02:09:22.139358,slurm_multi,,main_w1_handler2,2761398,13365633,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7575688,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b557ce750e9cd8da0d'}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,,31271638,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-07-09 02:16:48.800534,86121,446.661176
14394448721,bam,2016-09-02 21:13:53.412360,slurm_multi,,main_w3_handler2,2807142,13772748,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7994300,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51c8b763f7063620a'}]","""50""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,,1.0,rpkm,,32701295,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-02 22:44:09.779948,62135,5416.367588
20598650626,bam,2016-07-09 02:31:13.914678,slurm_multi,,main_w2_handler2,2761398,13365667,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7575758,slurm,,corral-repl,,0,no,,false,1,false,0.0,no,no,false,,1,,,yes,false,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5338645de8b90ddca'}]","""500""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",2,0.0,2150570000,specific,1.0,1x,,31271638,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-07-09 03:20:24.407252,86121,2950.4925740000003
8494028239,bam,2016-09-20 19:14:45.201464,slurm_multi,,main_w3_handler2,2820088,13898767,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8122020,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b552b30280acd321a9'}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,,32960623,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-20 20:03:13.679231,90190,2908.4777670000003
16596408918,bam,2016-06-17 21:33:06.412397,slurm_multi,,main_w2_handler2,2741336,13196642,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7381242,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a2bad19acf06b1a4'}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",0,,,,1.0,rpkm,,30743046,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 21:42:29.830601,85294,563.4182040000001
16596408918,bam,2016-06-17 23:39:09.485535,slurm_multi_development,,main_w1_handler2,2741336,13197622,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7382271.roundup,slurm,,corral-repl,,1,yes,slurm_multi_development,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a2bad19acf06b1a4'}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",0,,,,1.0,rpkm,,30743046,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 23:55:53.523941,85294,1004.038406
14742640,bam,2016-09-18 22:46:34.824777,slurm_multi,,main_w3_handler2,2821220,13877570,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8100998,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b533b9e5b8d1efec32'}]","""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,,33014701,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-19 00:09:05.508648,90275,4950.683871
14394448721,bam,2016-09-01 20:17:24.830506,slurm_multi,,main_w3_handler2,2807142,13765661,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7986982,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51c8b763f7063620a'}]","""100""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,,1.0,rpkm,,32701295,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-01 20:46:57.538634,62135,1772.7081280000002
14742640,bam,2016-09-19 00:20:16.590617,slurm_multi,,main_w4_handler2,2821220,13877805,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8101073,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b533b9e5b8d1efec32'}]","""20""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,,33014701,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-19 00:27:17.458524,90275,420.867907
27755359747,bam,2016-07-09 03:35:48.931511,slurm_multi,,main_w1_handler2,2761398,13365729,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7575833,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b557ce750e9cd8da0d'}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",1,,,,,no,,31271638,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-07-09 03:58:33.190658,86121,1364.259147
8792311735,bam,2016-07-24 14:25:02.228816,slurm_multi,,main_w1_handler2,2773215,13479966,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7695837,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a818d62efdf56db8'}]","""1""","""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""","""bigwig""","""""",2,0.0,63213215,specific,1.0,1x,,31665911,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-07-24 14:37:16.259984,87679,734.0311680000001
25711970230,bam,2016-07-09 03:35:49.324457,slurm_multi,,main_w2_handler2,2761398,13365730,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7575871,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a4a9c2f99b18aa3b'}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",1,,,,,no,,31271638,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-07-09 04:33:53.276607,86121,3483.95215
14394448721,bam,2016-09-02 21:00:14.535944,slurm_multi,,main_w3_handler2,2807142,13772637,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7993887,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51c8b763f7063620a'}]","""50""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,,1.0,rpkm,,32701295,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-02 21:10:03.203402,62135,588.667458
8792311735,bam,2016-07-24 16:13:05.727965,slurm_multi,,main_w2_handler2,2773215,13480242,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7696110,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a818d62efdf56db8'}]","""1""","""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""","""bigwig""","""""",2,0.0,1032854810,specific,1.0,1x,,31665911,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-07-24 16:24:04.575333,87679,658.8473680000001
14742640,bam,2016-09-19 02:09:21.276346,slurm_multi,,main_w4_handler2,2821220,13878017,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8101305,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b533b9e5b8d1efec32'}]","""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,,33014701,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-19 02:16:04.602874,90275,403.32652800000005
41207092844,bam,2016-06-15 09:29:51.398955,slurm_multi,,main_w2_handler2,2185573,13166890,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7351030,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b578896d29ea58a6ee'}]","""1""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""bedgraph""","""""",2,0.0,135000000,specific,0.418664491,1x,,30772075,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-15 10:03:36.867452,28313,2025.468497
14742640,bam,2016-09-19 00:10:33.566744,slurm_multi,,main_w3_handler2,2821220,13877775,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8101042,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b533b9e5b8d1efec32'}]","""10""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,,33014701,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-19 00:17:18.525986,90275,404.959242
14394448721,bam,2016-09-25 07:23:58.479385,slurm_multi,,main_w3_handler2,2807142,13935077,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8157630,slurm,,corral-repl,,0,no,,false,1,false,0.0,no,no,true,,1,,,yes,true,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d6860b07aa0c274e'}]","""50""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,,1.0,rpkm,,33035132,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-25 07:38:34.769432,62135,876.2900470000001
41207092844,bam,2016-06-15 09:41:21.895300,slurm_multi,,main_w1_handler2,2185573,13166996,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7351256,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b578896d29ea58a6ee'}]","""1""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""bigwig""","""""",2,0.0,135000000,specific,0.418664491,1x,,30772075,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-15 10:34:58.497354,28313,3216.6020540000004
19711176893,bam,2016-06-17 21:34:51.731251,slurm_multi,,main_w1_handler2,2741336,13196647,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7381286,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5242149c745528dfc'}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",0,,,,1.0,rpkm,,30743046,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 21:47:37.586249,85294,765.854998
25711970230,bam,2016-07-09 02:09:22.525771,slurm_multi,,main_w2_handler2,2761398,13365634,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7575695,slurm,,corral-repl,,0,no,,,0,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a4a9c2f99b18aa3b'}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,,31271638,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-07-09 02:40:03.928037,86121,1841.402266
