corData,corData_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.corData.values,parameters.corMethod,parameters.dbkey,parameters.outFileCorMatrix,parameters.outFileFormat,parameters.plotting_type.__current_case__,parameters.plotting_type.colorMap,parameters.plotting_type.plotNumbers,parameters.plotting_type.plotTitle,parameters.plotting_type.whatToPlot,parameters.plotting_type.zMax,parameters.plotting_type.zMin,parameters.removeOutliers,parameters.skipZeros,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
221433759,deeptools_coverage_matrix,2017-02-20 23:51:48.996220,slurm_normal,,main_w4_handler1,2976733,15090923,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9246015.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 28436318}]","""pearson""","""hg19""","""true""","""png""",0,['RdYlBu'],true,,heatmap,,,"""true""","""false""",,36070155,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.3.6.0,2.3.6.0,,2017-02-20 23:57:37.841996,99205,348.845776
24857501,deeptools_coverage_matrix,2017-03-01 22:42:51.419991,slurm_normal,,main_w3_handler0,2984536,15183182,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9334084.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 28578039}]","""spearman""","""hg19""","""false""","""png""",0,['RdYlBu'],false,,heatmap,,,"""false""","""false""",,35330310,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.3.6.0,2.3.6.0,,2017-03-01 22:50:14.967129,84399,443.547138
1847608,deeptools_coverage_matrix,2017-01-19 11:55:35.733416,slurm_normal,,main_w3_handler0,1578492,14816673,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8976001.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 27995444}]","""pearson""","""?""","""false""","""png""",0,['RdYlBu'],false,,heatmap,,,"""false""","""false""",,35262967,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.3.6.0,2.3.6.0,,2017-01-19 11:58:56.827962,30453,201.094546
620303269,deeptools_coverage_matrix,2016-11-02 16:24:00.289377,slurm_normal,,main_w4_handler1,2811244,14235121,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8444042.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c517dfa3cfe04c88'}]","""pearson""","""hg19""","""false""","""png""",0,['RdYlBu'],true,,heatmap,,,"""false""","""false""",,32866886,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.3.6.0,2.3.6.0,,2016-11-02 17:20:32.779004,60415,3392.4896270000004
102678817,deeptools_coverage_matrix,2017-02-07 17:51:46.774470,slurm_normal,,main_w3_handler0,2956227,14974903,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9132570.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/rn6.len""","[{'src': 'hda', 'id': 28237189}]","""spearman""","""rn6""","""false""","""png""",0,['YlOrRd'],true,,heatmap,,,"""false""","""false""",,34488366,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.3.6.0,2.3.6.0,,2017-02-07 17:56:08.765171,36816,261.990701
129956152,deeptools_coverage_matrix,2016-12-09 04:35:18.405939,slurm_normal,,main_w4_handler1,2881673,14525914,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8709233.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 27554609}]","""spearman""","""hg19""","""true""","""png""",0,['bwr'],false,,heatmap,+1,-1,"""true""","""false""",,34094627,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.3.6.0,2.3.6.0,,2016-12-09 07:18:27.759146,93861,9789.353207
102678817,deeptools_coverage_matrix,2017-02-07 17:52:02.501465,slurm_normal,,main_w4_handler1,2956227,14974906,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9132588.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/rn6.len""","[{'src': 'hda', 'id': 28237189}]","""spearman""","""rn6""","""false""","""png""",0,['YlOrRd'],true,,heatmap,,,"""true""","""true""",,34488366,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.3.6.0,2.3.6.0,,2017-02-07 17:56:13.851211,36816,251.349746
1425110,deeptools_coverage_matrix,2016-11-03 11:10:31.346158,slurm_normal,,main_w3_handler1,605821,14239976,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8449485.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b50532447c2ecf3178'}]","""spearman""","""hg19""","""false""","""png""",0,['RdYlBu'],false,,heatmap,,,"""false""","""false""",,32631277,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.3.6.0,2.3.6.0,,2016-11-03 11:41:05.752303,12956,1834.4061450000002
53960777,deeptools_coverage_matrix,2017-02-27 18:06:22.678470,slurm_normal,,main_w3_handler1,3012003,15156958,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9308710.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 28536009}]","""pearson""","""hg19""","""false""","""png""",0,['RdYlBu'],false,,heatmap,,,"""true""","""false""",,36304356,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.3.6.0,2.3.6.0,,2017-02-27 18:09:26.829880,42925,184.15141
68182237,deeptools_coverage_matrix,2017-02-04 01:58:56.533111,slurm_normal,,main_w3_handler0,2972283,14948171,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9105860.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 28205504}]","""spearman""","""hg19""","""false""","""pdf""",0,['RdYlBu'],false,,heatmap,,,"""false""","""false""",,35307271,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.3.6.0,2.3.6.0,,2017-02-04 02:03:08.707762,75824,252.174651
